Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309)
9.565707056349609e-12,0.11224537221744137,0.0,0.0,0.0,0.0,0.99999999612560497,3.8495874646107027e-09,1.2400581029711576e-11,3.2143179032717218e-15,1.2400619190975152e-11,2.3235124864517661e-15,6.9727290302974047e-16,4.00581319178303e-29,2.6103197502466668e-28,7.0928431297576083e-32,2.0015917436696699e-45,5.6558956711040625e-48,1.7673157207965609e-50,7.1280741799442295e-52,1.6066106716835472e-52,5.97629049971091e-33,2.4805826921300862e-34,8.4842688174173249e-49,7.6035467080383071e-47,1.0949405376233838e-43,1.9958110830129268e-50,1.5878034436027853e-59
1e-11,0.11224537227180179,0.0,0.0,0.0,0.0,0.99999999594970324,4.0243625617833391e-09,1.2963646611154719e-11,3.4947478487492557e-15,1.2963688113660057e-11,2.5262335954193701e-15,7.5810841837685863e-16,4.7290254439875627e-29,2.9444557427085838e-28,8.2695156494976699e-32,2.5349135327188925e-45,7.283605830415073e-48,2.2897807549775683e-50,9.4517311482811886e-52,2.1303421424443356e-52,7.2856434877810851e-33,3.0239982609114528e-34,1.1064533105748321e-48,9.604548046740576e-47,1.3756446063106218e-43,2.5828666612193678e-50,2.1319314373081502e-59
1.1957133947139367e-11,0.11224537227180179,0.0,0.0,0.0,0.0,0.99999999515700455,4.8119834854535517e-09,1.5501167522882162e-11,4.9107510518762877e-15,1.5501225912665406e-11,3.5498652893297249e-15,1.0652948717709416e-15,8.996465647905452e-29,4.7764032752888776e-28,1.5106021828758043e-31,5.9628933729735411e-45,1.7899453857886389e-47,5.7116948962484638e-50,2.4948010862583512e-51,5.6230620966615254e-52,1.5360109654920732e-32,6.3750268986035508e-34,2.8062968306641283e-48,2.2442352932853357e-46,3.1660663486004394e-43,6.4316893063321003e-50,5.7964847409939407e-59
1.673998772871888e-11,0.11224537238052275,0.0,0.0,0.0,0.0,0.99999999321980115,6.7367743833229447e-09,2.1702903372044794e-11,9.4431980957180114e-15,2.1703016046091146e-11,6.8265469800160654e-15,2.0486109089830343e-15,3.4852450788955249e-28,1.2770326007924298e-27,5.5997635742444725e-31,4.9933633735375796e-44,1.4961296080279656e-46,5.1732782859700244e-49,3.3315539556898692e-50,7.5088565370461305e-51,8.6575419346404603e-32,3.5919800489676074e-33,3.6347877310250027e-47,2.0241775650636844e-45,2.6430549715286999e-42,8.304856163815557e-49,1.1885081039935307e-57
2.630569529187791e-11,0.11224537259796488,0.0,0.0,0.0,0.0,0.99999998934538636,1.0586351631654861e-08,3.4108612378990439e-11,2.3038531815043951e-14,3.4108889331196219e-11,1.6656187210039953e-14,4.9984451996389177e-15,2.2363040850904328e-27,5.0659077084244621e-27,3.6416588739490692e-30,9.2649156895473712e-43,2.6315606600945051e-45,9.7198351905763991e-48,1.098585634043415e-48,2.4759230392512804e-49,9.6711957774901722e-31,4.009159507103114e-32,1.2680750441389608e-45,4.5461253252209588e-44,5.3213984045363138e-41,3.2020608269754101e-47,7.9218046386601462e-56
3.5871402855036944e-11,0.11224537281540764,0.0,0.0,0.0,0.0,0.99999998547095914,1.4435922811501225e-08,4.6517306523309159e-11,4.2679639746081076e-14,4.6517823100741902e-11,3.0858673243185193e-14,9.260564653806477e-15,7.3686208988236917e-27,1.2834651234883756e-26,1.2065752778159396e-29,4.9104565090432852e-42,1.4481290153540196e-44,5.4287368039578115e-47,7.2693985475459107e-48,1.6382973140278359e-48,4.0824602511491599e-30,1.6915709003862951e-31,8.1739513161139423e-45,2.533871420884232e-43,2.8064782306179411e-40,2.0848475045203865e-46,6.0654231179483115e-55
5.5002817981355e-11,0.11224537325029449,0.0,0.0,0.0,0.0,0.99999997772207028,2.2135046970639245e-08,7.1343643736181865e-11,1.00093670582201e-13,7.1344873058367116e-11,7.2383632275173761e-14,2.1722135891562216e-14,4.1943800854773311e-26,4.8819272898669261e-26,7.2172059941180215e-29,7.7384402119500717e-41,2.2353149132962056e-43,8.6143615304960952e-46,1.8922609473453436e-46,4.2641608161069377e-47,3.7541327722950593e-29,1.5531580838822018e-30,2.1727096827035383e-43,4.6480106368541111e-42,4.2500255923114779e-39,5.6261429986478232e-45,2.7502532505078885e-53
9.326564823399112e-11,0.11224537412007415,0.0,0.0,0.0,0.0,0.99999996222415177,3.753322248423073e-08,1.2103208886411566e-10,2.8744750853644023e-13,1.2103572606169708e-10,2.0794742862433668e-13,6.2405075566173e-14,3.6495836405511067e-25,2.6681643611625437e-25,7.0810371487390032e-28,2.419661529559626e-39,6.6825783099837784e-42,2.627745554349371e-44,1.0970708689561589e-44,2.471671885064982e-45,6.0690462561267538e-28,2.5021167124005632e-29,1.3389157862253502e-41,1.8719964135627002e-40,1.3089610993271367e-37,3.7106634513203979e-43,3.3343866042845197e-51
9.999999999999999e-11,0.11224537498986163,0.0,0.0,0.0,0.0,0.99999995949646092,4.0243329012528187e-08,1.2978230927873725e-10,3.3042963674193267e-13,1.2978651243838016e-10,2.3905784700173757e-13,7.1741448810306723e-14,4.8906084143823129e-25,3.3574878384706715e-25,9.6227690748253145e-28,3.8647430678380324e-39,1.0976274379201439e-41,4.3229291865784153e-44,1.9380951207164655e-44,4.3663323581311778e-45,8.7997004010940834e-28,3.6257024868857229e-29,2.3115896004488423e-41,3.0799877799299646e-40,2.0546388648279378e-37,6.4076077652516526e-43,6.1946403813582586e-51
1.3152847848662725e-10,0.11224537498986163,0.0,0.0,0.0,0.0,0.9999999467260462,5.2931300921258566e-08,1.7076819545517127e-10,5.7150081084473859e-13,1.7077561428960208e-10,4.1357483130752731e-13,1.241150086722687e-13,1.3378071904279681e-24,7.801504953609342e-25,2.7185463287448468e-27,1.4742018607892757e-38,4.3646007620594024e-41,1.7227127279907158e-43,8.4682879300304826e-44,1.9077435082077951e-44,2.8465419287643103e-27,1.1714754318835531e-28,9.8147463795815242e-41,1.2265480487207822e-39,7.626917740494801e-37,2.7210146737848645e-42,2.8655394563287846e-50
