Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550)
0.0018048939581683141,0.19431247477949787,0.0,0.0,0.0,0.0,0.1675089769255183,0.00024512931767782601,7.3217111127038561e-05,0.12439314177993144,2.6451157449165398e-05,0.26013170116459772,0.36509482376799574,1.3625427377024235e-07,1.2823762926251658e-05,0.074899106804499335,4.3209113647646003e-08,1.8946687446396214e-07,7.6206372814743299e-10,0.0025706211700547892,3.3164262222785283e-06,0.0030249883351416676,1.9948592077094474e-07,0.0014932361651158609,1.1405598514226725e-07,6.5545184173988218e-05,0.00034559133846995884,0.00011064627984076838,7.5026356649698971e-11
0.0018112188655903623,0.19442261662551652,0.0,0.0,0.0,0.0,0.16693781421848805,0.00024469040529699799,7.3026104320175099e-05,0.12457877276694986,2.6388721580920136e-05,0.26008341456543926,0.36534029118164441,1.3598843137989562e-07,1.2822314378032516e-05,0.075073650855341331,4.3230194608440164e-08,1.8946841309549251e-07,7.6206991675138814e-10,0.002577630948361003,3.3175558457923549e-06,0.0030272627966250396,1.9916429801312935e-07,0.0014972871330449806,1.1408879761010674e-07,6.5556221755785386e-05,0.00034660424676909385,0.00011078718665762475,7.5296965115273926e-11
0.0018175437730124104,0.19453232153655572,0.0,0.0,0.0,0.0,0.16636980193343756,0.00024425323458221216,7.2835900038527814e-05,0.12476377810065852,2.6326592011826949e-05,0.26003455444570417,0.36558436104618991,1.3572331349728442e-07,1.2820795405248044e-05,0.07524769682664105,4.3250944138874701e-08,1.8946815049090165e-07,7.6206886051785262e-10,0.0025846138617349967,3.3186472795034429e-06,0.0030295183742698336,1.9884304503281785e-07,0.0015013287959624716,1.1412081036284882e-07,6.5566852482899798e-05,0.00034761524325094273,0.00011092710645124508,7.5566846359378691e-11
0.0018238686804344585,0.19464159221216817,0.0,0.0,0.0,0.0,0.16580491448098056,0.00024381779368053098,7.2646493827374048e-05,0.12494816131673718,2.6264766306204504e-05,0.25998512890544684,0.36582704480279638,1.3545891920046852e-07,1.2819206886540718e-05,0.075421246947038958,4.3271365064766857e-08,1.8946610804099981e-07,7.6206064548381973e-10,0.002591570010898229,3.3197009309336513e-06,0.0030317552224154868,1.9852216812513494e-07,0.001505361185169988,1.1415203162712855e-07,6.5577080339609029e-05,0.00034862433270266079,0.00011106604535377458,7.5836000150184125e-11
0.0018301935878565067,0.19475043132242273,0.0,0.0,0.0,0.0,0.16524312654901452,0.00024338407058425627,7.2457881665857822e-05,0.12513192592096478,2.6203242194051367e-05,0.25993514593540895,0.36606835376914554,1.3519524737533047e-07,1.2817549556470447e-05,0.075594303432114041,4.3291460196251242e-08,1.8946230459222508e-07,7.6204534745244691e-10,0.0025984994965476947,3.3207171581480241e-06,0.0030339734937216787,1.9820167305659524e-07,0.0015093843320360836,1.1418246821187116e-07,6.5586909204006888e-05,0.00034963152002956508,0.00011120400935099962,7.6104426426430886e-11
0.0018365184952785548,0.19485884152050414,0.0,0.0,0.0,0.0,0.16468441310417856,0.00024295205369122272,7.227005911998206e-05,0.1253150753891448,2.6142017282943666e-05,0.25988461341713981,0.36630829913861468,1.3493229704197713e-07,1.2815824280975783e-05,0.075766868484142991,4.3311232303225769e-08,1.8945676121600498e-07,7.6202305117612289e-10,0.0026054024192305996,3.3216963634008583e-06,0.0030361733394143079,1.9788156585032143e-07,0.001513398267565998,1.1421212824589088e-07,6.5596342977353292e-05,0.00035063680998574464,0.00011134100448677956,7.63721250097481e-11
0.001842843402700603,0.1949668254301332,0.0,0.0,0.0,0.0,0.16412874938245647,0.00024252173121284645,7.2083022233638576e-05,0.1254976131678906,2.6081089359854284e-05,0.25983353912634127,0.36654689198462709,1.3467006701337834e-07,1.2814031768251276e-05,0.075938944292529009,4.3330684141930599e-08,1.8944949619984066e-07,7.6199383020987813e-10,0.0026122788794581782,3.3226388948537017e-06,0.0030383549090661722,1.9756185197196e-07,0.0015174030228560273,1.1424101830330375e-07,6.5605385449088967e-05,0.00035164020745767025,0.0001114770366486815,7.6639095906741733e-11
0.001849168310122651,0.1950743856592678,0.0,0.0,0.0,0.0,0.16357611089134802,0.00024209309179608487,7.1896766586964172e-05,0.12567954267449505,2.6020456072002597e-05,0.25978193073275424,0.36678414325949465,1.3440855625813948e-07,1.2812172874237993e-05,0.076110533033523775,4.3349818427416917e-08,1.8944053034367864e-07,7.6195776821416505e-10,0.0026191289775694552,3.3235451503770429e-06,0.0030405183508690412,1.9724253718948948e-07,0.0015213986286138875,1.1426914644112047e-07,6.5614040440756144e-05,0.00035264171716401036,0.00011161211179576545,7.6905338988072107e-11
0.0018554932175446992,0.19518152478622044,0.0,0.0,0.0,0.0,0.16302647339992191,0.00024166612386037896,7.1711288296537052e-05,0.12586086729775919,2.5960115264567441e-05,0.25972979580364491,0.36702006379903596,1.3414776351706912e-07,1.2810248278810559e-05,0.076281636870697847,4.3368637863531233e-08,1.8942988134254157e-07,7.6191493636097822e-10,0.0026259528138587417,3.3244154675366828e-06,0.0030426638113830507,1.9692362667229269e-07,0.0015253851156700835,1.1429651897817969e-07,6.5622311654170166e-05,0.0003536413439747588,0.00011174623571727027,7.7170854328887185e-11
0.0018618181249667473,0.19528824537485437,0.0,0.0,0.0,0.0,0.16247981294188713,0.00024124081630153775,7.1526582948138782e-05,0.12604159039779103,2.5900064620241506e-05,0.25967714180340229,0.36725466432099391,1.3388768771424435e-07,1.2808258831183578e-05,0.076452257954613106,4.3387145111457882e-08,1.8941756978281123e-07,7.6186541745178042e-10,0.0026327504884246121,3.3252502408967361e-06,0.0030447914358435074,1.9660512595098547e-07,0.0015293625144327666,1.1432314393138963e-07,6.5630202834670358e-05,0.00035463909257022944,0.00011187941429135777,7.743564184385566e-11
0.0018681430323887955,0.19539454995895994,0.0,0.0,0.0,0.0,0.16193610580487378,0.00024081715773472325,7.1342646741103714e-05,0.1262217153068943,2.5840302044393379e-05,0.25962397609723126,0.36748795543002455,1.3362832751804909e-07,1.2806205180254489e-05,0.076622398423348601,4.3405342824190329e-08,1.8940361272117692e-07,7.6180928009109665e-10,0.0026395221013153498,3.326049796501016e-06,0.003046901367869215,1.9628703990121759e-07,0.0015333308554742902,1.1434902733684471e-07,6.5637717597067443e-05,0.00035563496780704405,0.0001120116532082437,7.7699701678183234e-11
0.0018744679398108436,0.19550044105943867,0.0,0.0,0.0,0.0,0.1613953285346468,0.00024039513730619261,7.1159475255739982e-05,0.12640124532927843,2.578082525022238e-05,0.25957030595039171,0.36771994761557608,1.3336968181582973e-07,1.2804088172582033e-05,0.076792060402107773,4.3423233609911139e-08,1.8938803060251381e-07,7.6174660651122781e-10,0.0026462677523582832,3.3268145269573895e-06,0.0030489937498151924,1.9596937383553826e-07,0.0015372901688998574,1.143741772110843e-07,6.5644859614346295e-05,0.00035662897432339746,0.00011214295826969511,7.7963033784669934e-11
0.0018807928472328918,0.19560592116638228,0.0,0.0,0.0,0.0,0.16085745792332909,0.00023997474381273152,7.0977064787214583e-05,0.12658018374202951,2.5721632206304594e-05,0.2595161385321848,0.36795065125738569,1.3311174920193657e-07,1.2801908422450986e-05,0.076961246003817679,4.3440820072363283e-08,1.8937083978215433e-07,7.6167746249573849e-10,0.0026529875413286493,3.3275447455343879e-06,0.0030510687224272102,1.9565213233567864e-07,0.001541240485032951,1.143985992702352e-07,6.5651632414396769e-05,0.00035762111696666424,0.00011227333506541072,7.8225638381242736e-11
0.0018871177546549399,0.19571099275887693,0.0,0.0,0.0,0.0,0.16032247101507385,0.00023955596665515736,7.0795410895584812e-05,0.12675853379470603,2.5662720650245325e-05,0.25946148091473881,0.36818007662266583,1.328545285360072e-07,1.2799666778959184e-05,0.077129957328650425,4.3458104767444088e-08,1.8935206065538432e-07,7.616019300774741e-10,0.0026596815677530157,3.3282408446157414e-06,0.00305312642525508,1.9533532051771177e-07,0.0015451818336705623,1.1442230158148384e-07,6.5658039602192918e-05,0.00035861140032798907,0.00011240278932612612,7.8487515451729031e-11
0.001893442662076988,0.19581565828406333,0.0,0.0,0.0,0.0,0.15979034509285647,0.00023913879479518988,7.0614509989160289e-05,0.12693629871042167,2.560408861827494e-05,0.25940634007740082,0.36840823387228955,1.325980183349399e-07,1.2797363816780328e-05,0.07729819646471929,4.3475090251353413e-08,1.8933170878919983e-07,7.6152007186919417e-10,0.0026663499311086868,3.3289031229845277e-06,0.0030551669962364928,1.9501894266566142e-07,0.0015491142448988506,1.1444528949015623e-07,6.5664084618060971e-05,0.00035959982925104424,0.00011253132653842329,7.874866529102252e-11
0.0018997675694990362,0.1959199201803898,0.0,0.0,0.0,0.0,0.15926105768602869,0.0002387232178957791,7.0434357587855455e-05,0.12711348168529407,2.5545733864696503e-05,0.2593507229049461,0.36863513305708118,1.3234221744148347e-07,1.2795000394330841e-05,0.077465965487487062,4.3491779028227541e-08,1.8930980464918418e-07,7.6143197018649088e-10,0.0026729927305929849,3.3295319750692971e-06,0.0030571905721905332,1.9470300372410483e-07,0.0015530377481986807,1.1446757118099198e-07,6.5669771004032155e-05,0.00036058640827334496,0.00011265895236859557,7.900908790512401e-11
0.0019060924769210843,0.1960237808526991,0.0,0.0,0.0,0.0,0.15873458655517822,0.00023830922506316442,7.025495023641597e-05,0.12729008588967788,2.5487654499833658e-05,0.25929463619252291,0.36886078412492806,1.3208712428919275e-07,1.2792577039763718e-05,0.077633266460590558,4.35081736085914e-08,1.8928636289338151e-07,7.6133768398618522e-10,0.0026796100653626548,3.3301276828157693e-06,0.003059197288308009,1.9438750767070966e-07,0.0015569523734336346,1.1448915155858074e-07,6.5675102111232065e-05,0.0003615711422424003,0.00011278567219596827,7.9268783672345808e-11
0.0019124173843431324,0.19612724270003462,0.0,0.0,0.0,0.0,0.15821090970213855,0.00023789680623480068,7.0076283387515573e-05,0.1274661144674219,2.5429848284693621e-05,0.25923808664311632,0.36908519691590391,1.3183273771735817e-07,1.2790094629835705e-05,0.077800101435099481,4.3524276445084184e-08,1.892614042171351e-07,7.6123729650799678e-10,0.0026862020342580221,3.330690645724416e-06,0.0030611872787518145,1.9407245930846149e-07,0.001560858149756758,1.1451003901459818e-07,6.568008142486828e-05,0.00036255403563317725,0.00011291149163073225,7.9527752609505001e-11
