Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470),C7H9(588)
0.0010516698457971884,0.17700437315681272,0.0,0.0,0.0,0.0,0.26919262453300008,0.00031487741070492832,0.00010302533125378506,0.096418471852017365,3.7093683493463506e-05,0.25788545939105589,0.32089924470461534,1.726895956040345e-07,1.2132177178839563e-05,0.049773608135963751,3.7168767723166894e-08,1.6799576822030678e-07,6.7570377020068063e-10,0.0015175891647022592,2.7564799752227113e-06,0.0025545758152506499,2.3634317175864254e-07,0.00093388781051063517,1.0119826112346748e-07,5.9616713151471192e-05,0.00020980993942970941,8.4510016442305703e-05,3.8080944358371284e-11,5.0809875587365107e-10,2.001121172097047e-10,1.3117990232657552e-13,2.3563055612914267e-11
0.0010609278192158737,0.17728481949478367,0.0,0.0,0.0,0.0,0.26734064856583073,0.00031372366144173772,0.00010255966653025963,0.09685549559988435,3.6906473420986294e-05,0.25808371933144819,0.32171028084555409,1.7220510673051185e-07,1.2157464002457348e-05,0.050145549467176066,3.7304653893009843e-08,1.6865342546457817e-07,6.7834896468999006e-10,0.0015333607036308462,2.7708439086146921e-06,0.0025638518056247169,2.3600212734163508e-07,0.00094182560989642674,1.0151961404940113e-07,5.9774744366884768e-05,0.00021167892879882388,8.4979149867594423e-05,3.8578485596711255e-11,5.1131211345405163e-10,2.0137768199319347e-10,1.324502026985525e-13,2.3940097557615584e-11
0.0010692599952926904,0.17753528738527716,0.0,0.0,0.0,0.0,0.26569280545394314,0.00031269420010560274,0.00010214284815498688,0.097246188123307251,3.6739732891756359e-05,0.25825606376099736,0.32243179339614186,1.7176880405454787e-07,1.217966905569016e-05,0.050478691135261627,3.7425087705958767e-08,1.6923310293102877e-07,6.8068051300517371e-10,0.0015474953480392047,2.783550532009868e-06,0.0025720934715154696,2.3568925536339536e-07,0.00094894396769236076,1.0180369066874613e-07,5.9914261519180839e-05,0.00021335642660090946,8.5397273506289485e-05,3.9025860696089263e-11,5.1417105463922304e-10,2.0250366165556466e-10,1.3358898361110303e-13,2.4279657872073832e-11
0.0010775921713695072,0.17778394576086543,0.0,0.0,0.0,0.0,0.26406259828655454,0.00031167305678642072,0.00010172819453467751,0.097634419824616292,3.6574621847149565e-05,0.25842276688317406,0.32314546343277911,1.7133232214943579e-07,1.2201359627235188e-05,0.05081032152934415,3.7543780967908219e-08,1.6980137504291623e-07,6.8296618730119975e-10,0.0015615731037577471,2.796050326317926e-06,0.0025802355505119973,2.3537096564102117e-07,0.00095603811512139504,1.0208297607392523e-07,6.0051253474348632e-05,0.00021502958157276113,8.5811556742326756e-05,3.9472817178085405e-11,5.1699893154354049e-10,2.0361740680697055e-10,1.3472350442646417e-13,2.4619391039044933e-11
0.001085924347446324,0.17803081598739348,0.0,0.0,0.0,0.0,0.26244974179167557,0.00031066011294184829,0.00010131570957712056,0.098020218794082306,3.6411114964868138e-05,0.25858394867924472,0.32385141753532831,1.708957257162525e-07,1.2222544579820547e-05,0.051140450034111259,3.7660757592386356e-08,1.7035839807306785e-07,6.8520661613044919e-10,0.0015755937103161875,2.8083456178640948e-06,0.0025882794819070496,2.3504744611359837e-07,0.00096310815015721387,1.0235754422134408e-07,6.018576095680328e-05,0.00021669840180603818,8.6222038125284046e-05,3.9919328639937679e-11,5.1979600954845618e-10,2.0471902196655164e-10,1.358537593327374e-13,2.4959261321129182e-11
0.0010942565235231407,0.17827591899974138,0.0,0.0,0.0,0.0,0.26085395696584013,0.00030965525238809414,0.00010090539624690337,0.098403612630557108,3.6249187374769019e-05,0.25873972615247526,0.32454977951623143,1.7045907689160812e-07,1.2243232721494983e-05,0.051469086008061223,3.7776041083640934e-08,1.7090432819569881e-07,6.8740242764865514e-10,0.0015895569268835066,2.8204387544166249e-06,0.0025962266787136969,2.3471888030411878e-07,0.0009701541710240984,1.0262746885473538e-07,6.0317824013289011e-05,0.00021836289544394639,8.6628755900112914e-05,4.0365369531985153e-11,5.2256255454666481e-10,2.0580861185479468e-10,1.3697974322496967e-13,2.5299233841238074e-11
0.0011025886995999574,0.17851927542728577,0.0,0.0,0.0,0.0,0.25927497088297213,0.00030865836057294299,0.00010049725678188128,0.098784628453596229,3.6088814837755522e-05,0.25889021342305418,0.32524067050640254,1.7002243486712195e-07,1.2263432623111933e-05,0.051796238781727871,3.7889654348854271e-08,1.7143931950560495e-07,6.8955424164782032e-10,0.0016034625320574367,2.8323320495330807e-06,0.0026040785278939804,2.3438544578174012e-07,0.00097717627683134426,1.028928217304521e-07,6.0447481780586623e-05,0.00022002307113576789,8.7031747678919876e-05,4.0810914750855174e-11,5.2529883039060564e-10,2.0688628038866058e-10,1.3810145208606655e-13,2.5639274291543719e-11
0.0011109208756767742,0.17876090554022264,0.0,0.0,0.0,0.0,0.25771251654046662,0.00030766932589213614,0.00010009129223651017,0.099163292913705375,3.5929973500121391e-05,0.25903552180966216,0.32592420902096886,1.6958585689434464e-07,1.2283152667772937e-05,0.052121917654361478,3.8001620034501885e-08,1.7196352343677646e-07,6.9166266721781189e-10,0.0016173103226286378,2.8440278063441657e-06,0.0026118363913246816,2.3404731437228986e-07,0.0009841745668396349,1.0315367291251556e-07,6.0574772636970428e-05,0.00022167893770216624,8.743105061832649e-05,4.1255939563800602e-11,5.2800509938259561e-10,2.0795213087460119e-10,1.3921888280148561e-13,2.5979348871949067e-11
0.001119253051753591,0.17900082925106486,0.0,0.0,0.0,0.0,0.25616633267515232,0.00030668803918846687,9.9687503262980154e-05,0.099539632204176595,3.5772640163616584e-05,0.2591757599195178,0.32660051104182719,1.6914939843319368e-07,1.2302401068129969e-05,0.052446131892104432,3.8111960767318972e-08,1.7247708914523655e-07,6.9372830428616706e-10,0.0016311001133546819,2.8555283047530019e-06,0.0026195016060142117,2.3370465302202635e-07,0.00099114914119311209,1.034100914012835e-07,6.0699734197171432e-05,0.00022333050432841168,8.7826701376957309e-05,4.1700420379885765e-11,5.3068162380149426e-10,2.0900626660979852e-10,1.4033203290066911e-13,2.6319424898719961e-11
0.0011275852278304077,0.1792390661772902,0.0,0.0,0.0,0.0,0.25463616363544012,0.0003057143934975638,9.9285889642207649e-05,0.099913672071317072,3.5616791973201211e-05,0.25931103371544223,0.32726969007202311,1.6871311243204789e-07,1.232118602665438e-05,0.052768890726149195,3.8220698472516501e-08,1.7298016733989487e-07,6.9575175902634574e-10,0.0016448317359815448,2.8668358544728609e-06,0.0026270754849127748,2.33357625199173e-07,0.00099810009995367427,1.0366214620833264e-07,6.0822403472165361e-05,0.00022497778017830758,8.8218736311447091e-05,4.2144334197651935e-11,5.3332866566166943e-10,2.1004879078728306e-10,1.4144090061030739e-13,2.6659470346058372e-11
