Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32)
6.719061025869014e-09,0.11224552486024089,0.0,0.0,0.0,0.0,0.99999727562631469,2.7024958428058014e-06,9.4064138358914523e-09,1.4904736450384915e-09,9.5022222790476782e-09,1.1359368866636515e-09,3.4279584841083675e-10,3.8968430675609219e-18,1.113181611820828e-18,1.3896493275203721e-19,5.2644234079175328e-28
7.32782911481341e-09,0.11224553872304148,0.0,0.0,0.0,0.0,0.99999702848996275,2.947201283904264e-06,1.03236597352328e-08,1.7727422919695037e-09,1.0445343242338951e-08,1.357110491045013e-09,4.098975995370447e-10,5.2695551594846799e-18,1.55759555029445e-18,2.1195474429880873e-19,9.0577668321592766e-28
7.936597203757806e-09,0.11224555258814042,0.0,0.0,0.0,0.0,0.99999678130255376,3.1918818118593307e-06,1.1251066676806913e-08,2.079464231127533e-09,1.1402745423955306e-08,1.5989646814658054e-09,4.8339320308068924e-10,6.9453056843834137e-18,2.1215779911117631e-18,3.1258694125933523e-19,1.4900158476202436e-27
8.545365292702203e-09,0.11224556645556123,0.0,0.0,0.0,0.0,0.99999653406379907,3.4365373980632623e-06,1.2188502328939431e-08,2.4106374545592043e-09,1.2374558149179006e-08,1.8617258082155399e-09,5.6337918490571895e-10,8.9573983574830312e-18,2.8241673922553716e-18,4.4795999225449748e-19,2.3595595616203797e-27
9.1541333816466e-09,0.11224558032532732,0.0,0.0,0.0,0.0,0.9999962867734109,3.681168013909856e-06,1.3135838141780013e-08,2.766259961957296e-09,1.3360906948005369e-08,2.1456172948976851e-09,6.4995292892693099e-10,1.1339635041173311e-17,3.6856213747340037e-18,6.2625139921292939e-19,3.6164127730691784e-27
9.762901470590996e-09,0.11224559419746163,0.0,0.0,0.0,0.0,0.99999603943110404,3.9257736307943721e-06,1.4092949215911229e-08,3.1463297607820153e-09,1.4361913686419652e-08,2.4508597392986365e-09,7.4321264658437053e-10,1.4126292089166254e-17,4.7273777743666874e-18,8.5679667526157438e-19,5.3870786097988654e-27
9.999999999999999e-09,0.11224560807198684,0.0,0.0,0.0,0.0,0.99999594308392781,4.0210340616477895e-06,1.4468336552414421e-08,3.3009710977912813e-09,1.4755770210000241e-08,2.5755675208545782e-09,7.8136516820056314e-10,1.5328520457151827e-17,5.1867324949838313e-18,9.6295665886920889e-19,6.2481066366591405e-27
1.0371669559535392e-08,0.11224560807198684,0.0,0.0,0.0,0.0,0.99999579203659594,4.1703542201134917e-06,1.5059714237433895e-08,3.55084486632181e-09,1.5377696631248071e-08,2.7776709632661658e-09,8.4325736180860732e-10,1.735211728022825e-17,5.9720359057840815e-18,1.1501304198084898e-18,7.8265318597092146e-27
1.0980437648479789e-08,0.11224562194892534,0.0,0.0,0.0,0.0,0.99999554458960471,4.4149097532652026e-06,1.6036015344175689e-08,3.9798033018140874e-09,1.6408370583827047e-08,3.1262661155481171e-09,9.501868800688218e-10,2.1052313181912485e-17,7.4433178747652344e-18,1.5180676814548989e-18,1.1121676061934808e-26
1.1589205737424185e-08,0.11224563582829923,0.0,0.0,0.0,0.0,0.99999529708985069,4.6594402016487428e-06,1.7021738057328246e-08,4.4332030985043765e-09,1.7454046948301411e-08,3.4968577243764096e-09,1.0641017725967357e-09,2.5262527301378417e-17,9.1660491346484134e-18,1.9737471228773375e-18,1.5496027735292601e-26
1.2197973826368582e-08,0.11224564971013025,0.0,0.0,0.0,0.0,0.99999504953705676,4.9039455366645064e-06,1.8016771144079495e-08,4.9110422957679045e-09,1.851483386887226e-08,3.8896558030190478e-09,1.1851033445701613e-09,3.0018836242978428e-17,1.1166119707616792e-17,2.5317142462835524e-18,2.121315667305132e-26
1.2806741915312978e-08,0.11224566359443999,0.0,0.0,0.0,0.0,0.99999480193094703,5.1484257297140015e-06,1.9021006560489772e-08,5.4133189411568629e-09,1.9590836286871127e-08,4.3048678936721523e-09,1.3132936218824066e-09,3.5357741244258913e-17,1.3470468700667858e-17,3.2079579175364487e-18,2.8581810863164075e-26
1.3415510004257375e-08,0.11224567748124958,0.0,0.0,0.0,0.0,0.99999455427124695,5.3928807521997627e-06,2.0034339321687491e-08,5.9400310905150687e-09,2.0682156070452822e-08,4.7426991671666057e-09,1.4487753210431176e-09,4.131616022873168e-17,1.6107048921660585e-17,4.0199896168694641e-18,3.7959566953651813e-26
1.4024278093201771e-08,0.11224569137058016,0.0,0.0,0.0,0.0,0.99999430655768395,5.6373105755253283e-06,2.1056667456642289e-08,6.4911768080129293e-09,2.1788892059783486e-08,5.2033524577264734e-09,1.5916518387118059e-09,4.7931425390950299e-17,1.9104815327197336e-17,4.9868735430082527e-18,4.9758679077607463e-26
