Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535)
9.9267938192045e-12,0.1122453722256496,0.0,0.0,0.0,0.0,0.99999999597935041,3.994905582351459e-09,1.2868735082371447e-11,3.4615697354970885e-15,1.2868776193494384e-11,2.5022506219679309e-15,7.5091019275173328e-16,4.6454511085874972e-29,2.9196375864767532e-28,8.2316112491490152e-32,2.5011101349612999e-45,7.0687584948857556e-48,2.2271277954556288e-50,9.2444413995789949e-52,2.0836189604136762e-52,7.19223516659988e-33,2.9852148713413594e-34,1.1002484345724386e-48,9.5301680206948102e-47,1.3674838798910106e-43,2.5887616170603602e-50,2.1367614215778834e-59,1.7176218803808023e-96,1.101541573870742e-80
1e-11,0.11224537228206205,0.0,0.0,0.0,0.0,0.99999999594969946,4.0243664092962763e-09,1.2963648095589238e-11,3.5097256319657459e-15,1.2963689780655372e-11,2.5370623359231884e-15,7.6135698687371333e-16,4.7752695464112028e-29,2.9783624182333681e-28,8.4437120374605861e-32,2.6023506251096231e-45,7.3767703205750179e-48,2.3266354139399799e-50,9.6982760064893289e-52,2.1859090300066221e-52,7.4338433537171163e-33,3.0854863560871249e-34,1.150787446799432e-48,9.9116167431668204e-47,1.4208306046474448e-43,2.7039126482560266e-50,2.2467681139723209e-59,1.930447159275996e-96,1.198139440697397e-80
1.2408492405490747e-11,0.11224537228206205,0.0,0.0,0.0,0.0,0.9999999949741859,4.9936310656085977e-09,1.6086394019211695e-11,5.2884959323317346e-15,1.6086456926058396e-11,3.8229442041440826e-15,1.1472428146287557e-15,1.0432890137635376e-28,5.3434050416341646e-28,1.753380288401679e-31,7.4517130605777784e-45,2.237397891785614e-47,7.1940318463927834e-50,3.2359048169940637e-51,7.2934301543621566e-52,1.8485150885273734e-32,7.6718326093950276e-34,3.6395797296394215e-48,2.8148239925353131e-46,3.9541218353090898e-43,8.3437980263168557e-50,7.801195252611011e-59,1.4300637478949883e-95,6.5764560948477323e-80
1.737188957806324e-11,0.1122453723948871,0.0,0.0,0.0,0.0,0.99999999296385478,6.9910808003206364e-09,2.2522318043604258e-11,1.0169587861167414e-14,2.252243944995217e-11,7.3517011888469975e-15,2.2062040843110699e-15,4.041566852135102e-28,1.4292811226029353e-27,6.5025348600026612e-31,6.2427563366299091e-44,1.8711325517985573e-46,6.5034234580487999e-49,4.3236270132871489e-50,9.7448225308430486e-51,1.0418569726679952e-31,4.3224525033996926e-33,4.7165587472739694e-47,2.5450394869723839e-45,3.3008522698535999e-42,1.0781773258714788e-48,1.6004527537732907e-57,2.9832241082921417e-93,6.9484267397073051e-78
2.729868392320823e-11,0.11224537262053758,0.0,0.0,0.0,0.0,0.9999999889431832,1.0985975372534757e-08,3.5396575449782071e-11,2.4810701495730663e-14,3.5396873948501978e-11,1.7937578433851909e-14,5.3829783260416404e-15,2.5930371846211746e-27,5.6750462296311905e-27,4.232578106299815e-30,1.1591841918227022e-42,3.294218227029526e-45,1.2203749073981795e-47,1.4270812433665466e-48,3.216249893361064e-49,1.1637404717253483e-30,4.8239001593439686e-32,1.64701287418834e-45,5.7336587062691259e-44,6.6453129833900573e-41,4.1614118901505932e-47,1.0677993864001441e-55,1.9633502284724111e-90,2.1881433726399234e-75
3.722547826835322e-11,0.11224537284618864,0.0,0.0,0.0,0.0,0.99999998492249875,1.498086340945024e-08,4.8274047529509674e-11,4.5962641716202542e-14,4.8274604435631044e-11,3.3232790433090124e-14,9.9730165143436057e-15,8.5435581122065884e-27,1.4388281400156742e-26,1.4031953734356637e-29,6.1459584126063982e-42,1.8136537850928735e-44,6.81586008256203e-47,9.4469954330964469e-48,2.1290480853718902e-48,4.9122109725744416e-30,2.0351973713139554e-31,1.0620536110122633e-44,3.2003667251184491e-43,3.5045940902249154e-40,2.710693950113734e-46,8.1784699254542551e-55,2.4211117461712542e-89,2.5540210408987787e-74
5.70790669586432e-11,0.11224537329749226,0.0,0.0,0.0,0.0,0.99999997688109232,2.2970619882641113e-08,7.4038628569014784e-11,1.0779306889884795e-13,7.4039954566431631e-11,7.7952999059331789e-14,2.3393465901622308e-14,4.8623900527372057e-26,5.4813998152465195e-26,8.4058254226384877e-29,9.6979612530082752e-41,2.8042576060458079e-43,1.0823373835807086e-45,2.463276842989948e-46,5.5508785556985658e-47,4.5164525849444465e-29,1.8682708528545133e-30,2.8274083070013749e-43,5.8962199737835062e-42,5.306610315809331e-39,7.3290601286171309e-45,3.7144180128689384e-53,1.8330407196758721e-86,6.3152592354322886e-72
9.678624433922316e-11,0.11224537420010583,0.0,0.0,0.0,0.0,0.99999996079812836,3.8950054423657444e-08,1.2560631026249323e-10,3.0955850156368507e-13,1.2561023764263568e-10,2.2395050768865263e-13,6.7207566836470057e-14,4.2293002239614688e-25,3.004223056011251e-25,8.2703016472714907e-28,3.0387566889380764e-39,8.4068616829096991e-42,3.3084553530373415e-44,1.4321576369155586e-44,3.2265564907409269e-45,7.2988707469353325e-28,3.0083066575702041e-29,1.7467397806057761e-41,2.3856835301057329e-40,1.6339118618433349e-37,4.8471374991391159e-43,4.5151535731823987e-51,2.6592207458257677e-83,4.0218774216604465e-69
9.999999999999999e-11,0.11224537510272789,0.0,0.0,0.0,0.0,0.99999995949642217,4.0243367623259336e-08,1.2978225738936782e-10,3.3044402129828871e-13,1.2978646045091313e-10,2.3906790243398972e-13,7.1744361013202208e-14,4.8615256609669551e-25,3.3491479830638107e-25,9.57598306189694e-28,3.8258041547588111e-39,1.0746123360514711e-41,4.2325596114656589e-44,1.9059463517593934e-44,4.2938879729364686e-45,8.7314961734929745e-28,3.597616690164164e-29,2.2948303753173501e-41,3.0527481032373319e-40,2.0376396947912869e-37,6.3691337419682857e-43,6.1828986000865068e-51,4.0981687810404244e-83,6.272184230902434e-69
1.3649342171980312e-10,0.11224537510272789,0.0,0.0,0.0,0.0,0.99999994471496223,5.4929384420056878e-08,1.7722531480877503e-10,6.1546166598523992e-13,1.7723333258837249e-10,4.4540790725140737e-13,1.3366818446295808e-13,1.5499770602139495e-24,8.801105837332359e-25,3.1801750606726729e-27,1.8529828358008773e-38,5.4974106230108335e-41,2.1712974071433723e-43,1.1066467127331243e-43,2.4930128394775436e-44,3.4227589042542996e-27,1.4081281377886379e-28,1.2815251832026923e-40,1.5656834130347917e-39,9.5192278163555599e-37,3.5581803916774906e-42,3.8833247431457933e-50,3.3294876733471096e-82,5.2050828467959877e-68
