Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309)
7.174274534094958e-12,0.11224537216308102,0.0,0.0,0.0,0.0,0.99999999709420484,2.8871910703713605e-09,9.3001673629444307e-12,1.8899533328443355e-15,9.3001897688676287e-12,1.3661540441781128e-15,4.099744161573034e-16,1.4792377039274236e-29,1.2413282671877913e-28,2.8280905234270578e-32,5.4414760851723669e-46,1.4294778041543437e-48,4.3153600237382303e-51,1.5876604535031405e-52,3.5784711760108144e-53,1.9050268637638998e-33,7.907796295239354e-35,2.0300577788083023e-49,2.1008646224596994e-47,3.0787082150149399e-44,5.0047942116249866e-51,3.4211078351024694e-60
9.56569954772962e-12,0.11224537221744137,0.0,0.0,0.0,0.0,0.99999999612560497,3.8495874647074208e-09,1.2400566405341959e-11,3.2143153802666194e-15,1.2400604568220043e-11,2.323510662636432e-15,6.9727153346097646e-16,4.0058069094602706e-29,2.6103156489305957e-28,7.0928264196857073e-32,2.0015854618313855e-45,5.6558779111368865e-48,1.7673098567003472e-50,7.128046202745193e-52,1.6066043658894261e-52,5.9762764350667674e-33,2.4805768555401701e-34,8.4842355226739109e-49,7.6035226490395229e-47,1.0949371011429151e-43,1.9958032409394814e-50,1.587795966059909e-59
1e-11,0.11224537227180179,0.0,0.0,0.0,0.0,0.99999999594970024,4.0243657208156536e-09,1.2963641499775745e-11,3.4947502850835437e-15,1.2963683004098167e-11,2.5262353566853716e-15,7.5810805293347449e-16,4.7290318336164997e-29,2.9444573930384729e-28,8.2695185515274357e-32,2.534915962759211e-45,7.2836147678949448e-48,2.2897833869871591e-50,9.4517397084466047e-52,2.1303440718582926e-52,7.28565159094963e-33,3.0240016247943653e-34,1.1064540232941193e-48,9.604556593020432e-47,1.375645745101105e-43,2.5828679987010627e-50,2.1319321149803462e-59
1.1957124561364281e-11,0.11224537227180179,0.0,0.0,0.0,0.0,0.99999999515700455,4.8119834855751489e-09,1.5501149241845351e-11,4.9107471972952374e-15,1.5501207634095128e-11,3.5498625028945748e-15,1.065292779358641e-15,8.9964515407473223e-29,4.7763957691457811e-28,1.5105986236851151e-31,5.9628746590922154e-45,1.7899397647816258e-47,5.711676022779276e-50,2.4947912938248081e-51,5.6230400255395686e-52,1.5360073509006588e-32,6.375011900239524e-34,2.8062858176724734e-48,2.2442281812364287e-46,3.1660564122854649e-43,6.4316640280389133e-50,5.7964574426001819e-59
1.6739974588633605e-11,0.11224537238052275,0.0,0.0,0.0,0.0,0.99999999321980115,6.736774383495196e-09,2.1702877776940292e-11,9.4431906834984516e-15,2.1702990455729372e-11,6.8265416215440055e-15,2.0486068852561374e-15,3.4852396165680822e-28,1.2770305929739752e-27,5.5997503764589462e-31,4.9933477045493711e-44,1.4961249084066055e-46,5.1732614596789975e-49,3.3315408758571168e-50,7.5088270572843234e-51,8.6575215679507895e-32,3.5919716018761094e-33,3.6347734653361979e-47,2.0241711157926362e-45,2.6430466784514374e-42,8.3048234840946603e-49,1.1885025060625465e-57
2.630567464317225e-11,0.11224537259796488,0.0,0.0,0.0,0.0,0.99999998934538636,1.058635163193198e-08,3.4108572152835618e-11,2.3038513731490174e-14,3.4108849116610469e-11,1.6656174135646406e-14,4.9984353824796455e-15,2.2363005844502326e-27,5.0658997360948661e-27,3.6416502857984436e-30,9.2648866330260133e-43,2.6315523904430322e-45,9.7198040201074011e-48,1.0985813194574897e-48,2.4759133155316087e-49,9.6711730441384661e-31,4.009150089036101e-32,1.2680700675825618e-45,4.5461107454890854e-44,5.3213817171620477e-41,3.202048207125567e-47,7.9217673264697566e-56
3.58713746977109e-11,0.11224537281540763,0.0,0.0,0.0,0.0,0.99999998547095936,1.4435922811887958e-08,4.6517251662214523e-11,4.2679606245715186e-14,4.6517768261076408e-11,3.0858649020136682e-14,9.2605464663610896e-15,7.3686093734497145e-27,1.2834631021829e-26,1.2065724311854812e-29,4.9104411127356315e-42,1.4481244636635172e-44,5.4287194499143728e-47,7.2693699934985622e-48,1.6382908790033461e-48,4.0824506590435864e-30,1.6915669290309886e-31,8.1739192381095736e-45,2.5338632698231338e-43,2.8064694321241426e-40,2.0848392821738613e-46,6.0653945492596344e-55
5.500277480678818e-11,0.11224537325029449,0.0,0.0,0.0,0.0,0.99999997772207039,2.2135046971259429e-08,7.1343559593545777e-11,1.0009359201612975e-13,7.1344788965972402e-11,7.2383575454808361e-14,2.1722093233542167e-14,4.1943735396263033e-26,4.8819195893734374e-26,7.2171889497065829e-29,7.7384159731113055e-41,2.2353078825179144e-43,8.6143341518879811e-46,1.8922535104148198e-46,4.2641440579503445e-47,3.7541239641173459e-29,1.5531544445060464e-30,2.1727011575352965e-43,4.6479955501497625e-42,4.2500122814904458e-39,5.6261207460775591e-45,2.7502402968923594e-53
9.326557502494277e-11,0.11224537412007413,0.0,0.0,0.0,0.0,0.99999996222415222,3.7533222485374774e-08,1.2103194611177107e-10,2.8744728291198811e-13,1.2103558345354514e-10,2.0794726537835452e-13,6.2404953036081276e-14,3.6495779732023864e-25,2.6681601410088679e-25,7.0810203953342486e-28,2.4196539730325157e-39,6.6825572710587868e-42,2.6277372352113463e-44,1.0970665538814891e-44,2.4716621641935017e-45,6.0690320623452832e-28,2.5021108751267211e-29,1.3389105391160512e-41,1.8719902858639927e-40,1.3089570092154921e-37,3.7106487219889656e-43,3.3343709123157285e-51
9.999999999999999e-11,0.11224537498986162,0.0,0.0,0.0,0.0,0.9999999594964295,4.0243360602614808e-08,1.2978225820510581e-10,3.3042989583447942e-13,1.2978646153732905e-10,2.3905803460103348e-13,7.1741420573136707e-14,4.8906164649976411e-25,3.3574910933742619e-25,9.6227784083840825e-28,3.8647496495063179e-39,1.0976295370136866e-41,4.3229374392313298e-44,1.9380984356215076e-44,4.3663398268203285e-45,8.7997146761660062e-28,3.625708370705025e-29,2.3115931729323495e-41,3.0799933128126412e-40,2.0546420506344683e-37,6.4076173324053529e-43,6.1946485450692225e-51
