Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18)
1e-11,0.11224537228606316,0.0,0.0,0.0,0.0,0.99999999594970002,4.0243657624964699e-09,1.2963620932055975e-11,3.4531205977600033e-15,1.2963661942455675e-11,2.4961430271550802e-15,7.4907752842377889e-16,4.9931665867324192e-29,2.9181214901394273e-28,8.467846806308918e-32,3.3942908300850675e-45,9.6380232898038876e-48,3.1566203407679241e-50,1.6152669978536033e-51,3.6406313927836613e-52,8.4993033354520189e-33
1.2584510470177285e-11,0.11224537228606316,0.0,0.0,0.0,0.0,0.99999999490289393,5.0644662618433218e-09,1.6314596877815168e-11,5.3871823549709901e-15,1.6314660975276727e-11,3.8942950796376702e-15,1.1686551713731781e-15,1.1878674420193555e-28,5.6088909940928922e-28,1.9600349663207562e-31,1.0968739229320559e-44,3.1144423337012164e-47,1.0472919432417077e-49,5.8615261641200853e-51,1.3211173949641214e-51,2.4015689628699303e-32
1.6779347441736688e-11,0.11224537238141774,0.0,0.0,0.0,0.0,0.99999999320385413,6.7526194583251903e-09,2.1753919883685892e-11,9.4580777215815325e-15,2.1754032749557923e-11,6.8373103742918378e-15,2.0518385774879325e-15,3.5614022839593568e-28,1.288091929209142e-27,5.7292244444906071e-31,5.0981876782766337e-44,1.4979008661185824e-46,5.1932658761177076e-49,3.4100512141403604e-50,7.6857698604070424e-51,9.0789314983415392e-32
2.5169021384855492e-11,0.11224537257212712,0.0,0.0,0.0,0.0,0.99999998980576787,1.0128922353472812e-08,3.2634286824643954e-11,2.1084635684609565e-14,3.2634540049462601e-11,1.5243396833743103e-14,4.5744665821249509e-15,1.8390964183209643e-27,4.3941373010868571e-27,2.971023562866005e-30,6.5915471544264155e-43,1.8991105362520541e-45,6.9569162317709026e-48,7.1428930813480145e-49,1.6098397718753874e-49,7.3765395974447705e-31
4.1948369271093094e-11,0.11224537295354704,0.0,0.0,0.0,0.0,0.99999998300956838,1.6881514148637437e-08,5.4401904117430264e-11,5.8280349043215516e-14,5.4402613480933345e-11,4.2141297947796092e-14,1.2646441674687464e-14,1.4966117306856787e-26,2.1575928487311673e-26,2.5650757371539882e-29,1.7812199416243255e-41,4.8508150269026629e-44,1.8549610044656877e-46,3.5062815409420091e-47,7.9015661942271821e-48,1.0993090844542887e-29
7.550706504356831e-11,0.1122453737163915,0.0,0.0,0.0,0.0,0.99999996941706104,3.0386641740921167e-08,9.7964663111093989e-11,1.8845697604629556e-13,9.7967019650102094e-11,1.3631459187274995e-13,4.0907834345909137e-14,1.6438753824392655e-25,1.3998413362730695e-25,3.15851054319857e-28,7.6633583071893791e-40,1.9925661010675012e-42,7.8083694895888869e-45,2.8507823639362813e-45,6.4231039171686361e-46,2.3467636898171143e-28
9.999999999999999e-11,0.11224537447924199,0.0,0.0,0.0,0.0,0.99999995949642939,4.0243360611191427e-08,1.2978225333159475e-10,3.3042123014066065e-13,1.2978645774277186e-10,2.3905262355535564e-13,7.1739802897457709e-14,4.8497480139409333e-25,3.3611551271645701e-25,9.5714178943858316e-28,3.5084487341190561e-39,9.8588655840993315e-42,3.8780420989999712e-44,1.6306699927926085e-44,3.6738623675736987e-45,8.5407034457965464e-28
1.0906576081604353e-10,0.11224537447924199,0.0,0.0,0.0,0.0,0.99999995582440937,4.3891694665086983e-08,1.4156410006982137e-10,3.9301442025496999e-13,1.4156912660381779e-10,2.8435598844205367e-13,8.5335511317638945e-14,6.4889778125986868e-25,4.3218601563335315e-25,1.2864053097659082e-27,4.9932450026222352e-39,1.4150038894529562e-41,5.5681012825701494e-44,2.3726691014160062e-44,5.3455434118541071e-45,1.180931560966326e-27
1.7618315236099394e-10,0.1122453760049611,0.0,0.0,0.0,0.0,0.99999992863867371,7.0901576476680529e-08,2.2887284872890054e-10,1.0252776761468267e-12,2.2888660728203104e-10,7.4228147016295634e-13,2.227633555319066e-13,4.4645657123859783e-24,2.0907591753067839e-24,1.0161113253903285e-26,1.1470316207114214e-37,3.3197485016394778e-40,1.3183380068707418e-42,9.6718258117347338e-43,2.1782793146368073e-43,1.3565822919958221e-26
2.3658880475144935e-10,0.11224537737812898,0.0,0.0,0.0,0.0,0.99999990417101825,9.5210214685923468e-08,3.0757585189908665e-10,1.8487022500256875e-12,3.0760158983012611e-10,1.3390977775554581e-12,4.018776870444869e-13,1.3434706357355885e-23,5.3743306149200668e-24,3.2483746590548397e-26,5.641200520120677e-37,1.7429119389930867e-39,6.9318405139401843e-42,5.6805063465361428e-42,1.2792556558578932e-42,4.9889347139575079e-26
