Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32)
9.082091734775892e-13,0.11224537202064479,0.0,0.0,0.0,0.0,0.99999999963214892,3.6549658169877679e-10,1.177231413396143e-12,3.6320571497219948e-17,1.1772318416836058e-12,2.625270086966984e-17,7.8782713897067637e-18,7.4265826394898223e-33,4.0679999805816319e-31,1.7806036086693314e-35,1.0036366503924235e-50
1e-12,0.11224537204128955,0.0,0.0,0.0,0.0,0.99999999959497088,4.0243655942874988e-10,1.2962153898248073e-12,4.733310595879785e-17,1.2962159481639098e-12,3.4212758413142812e-17,1.0267035882398834e-17,1.8681414076675751e-32,6.9545386957463493e-31,4.4872581058739295e-35,7.4059060733743659e-50
1.8164187319045692e-12,0.11224537204128955,0.0,0.0,0.0,0.0,0.99999999926429772,7.3099324544984683e-10,2.3544992163820233e-12,1.4528232113802952e-16,2.3545009314445046e-12,1.0501220897422522e-16,3.1513517164572166e-17,1.1878570070507381e-31,3.2628392677433774e-30,2.8561160865270338e-34,6.4349860939983892e-49
2.724628290331549e-12,0.11224537206193441,0.0,0.0,0.0,0.0,0.99999999889644609,1.0964898545181142e-09,3.5317939364131898e-12,3.0872494536063561e-16,3.5317975837293176e-12,2.231529801908571e-16,6.6966849446666738e-17,4.5280060995619493e-31,9.345793807649689e-30,1.0526906635443846e-33,3.5912053210131245e-48
4.54104740718551e-12,0.11224537210322404,0.0,0.0,0.0,0.0,0.99999999816074259,1.8274828540573336e-09,5.8864910400347666e-12,8.5353363424062703e-16,5.8865011438096629e-12,6.169667781246339e-16,1.8514807355619185e-16,3.7214242350430179e-30,4.3183689488670315e-29,8.1415061049455656e-33,9.3750413451387701e-47
6.1502895225163524e-12,0.11224537213980429,0.0,0.0,0.0,0.0,0.99999999750895141,2.475100135332444e-09,7.9727004615293411e-12,1.5066235779542016e-15,7.9727183191532473e-12,1.0890616723610008e-15,3.2682107143101755e-16,1.064744349747612e-29,9.6200807285802023e-29,2.2043006722178847e-32,3.8992406920624359e-46
7.759531637847195e-12,0.11224537217638451,0.0,0.0,0.0,0.0,0.99999999685716023,3.1227172339036184e-09,1.0058999817592955e-11,2.3417680997656595e-15,1.0059027610275672e-11,1.692771439237917e-15,5.0799104799887032e-16,2.4194251123568304e-29,1.8143998067173384e-28,4.9505140289937592e-32,1.1604285792440007e-45
9.368773753178038e-12,0.11224537221296481,0.0,0.0,0.0,0.0,0.99999999620536861,3.7703341614586045e-09,1.2145383337926429e-11,3.3472934201499776e-15,1.2145423113778654e-11,2.4196614986270666e-15,7.2612686244009893e-16,4.7586790401333671e-29,3.0310359200140031e-28,9.4952709502212806e-32,2.9626993790806416e-45
1e-11,0.11224537228612538,0.0,0.0,0.0,0.0,0.99999999594970268,4.0243622792221096e-09,1.2963786014991771e-11,3.7769570599672129e-15,1.296383091669781e-11,2.7302674592083991e-15,8.1933807620346171e-16,6.0182826269690968e-29,3.6006087863097643e-28,1.1815436741517157e-31,4.2235443513493984e-45
1.2587257983839724e-11,0.11224537228612538,0.0,0.0,0.0,0.0,0.99999999490178426,5.0655676275789287e-09,1.6318341653924367e-11,5.7455804810993349e-15,1.631841007041559e-11,4.1534161439272748e-15,1.2464176577653048e-15,1.319499013697641e-28,6.4788990290880775e-28,2.448997758048841e-31,1.2652848807335919e-44
1.580574221450141e-11,0.112245372359286,0.0,0.0,0.0,0.0,0.99999999359819891,6.3608004604530028e-09,2.049161152317386e-11,8.7746300925793254e-15,2.0491716220045159e-11,6.3432350059119171e-15,1.9035715239723927e-15,2.9414966846684454e-28,1.1822873585949658e-27,5.1919614389828164e-31,3.7320411130161969e-44
1.9024226445163095e-11,0.11224537243244667,0.0,0.0,0.0,0.0,0.99999999229461256,7.6560326178577786e-09,2.4665213749429738e-11,1.2476608216088278e-14,2.4665362924414661e-11,9.0196397397948039e-15,2.7067481392878519e-15,5.7941580094724808e-28,1.9648795220241955e-27,9.8470488851814192e-31,9.4875759171849553e-44
2.5461194906486463e-11,0.11224537257876818,0.0,0.0,0.0,0.0,0.99999998968743575,1.0246494868527052e-08,3.3013433722547062e-11,2.1937010011223488e-14,3.3013697206863556e-11,1.585965570597021e-14,4.7594085421124236e-15,1.837434878710642e-27,4.5891489205655986e-27,3.0110612375978206e-30,5.6168287131151126e-43
3.1898163367809834e-11,0.11224537272508994,0.0,0.0,0.0,0.0,0.99999998708025328,1.2836954374639891e-08,4.1363003802811014e-11,3.4131694718450986e-14,4.136341559625589e-11,2.4677294578063775e-14,7.4055504964148241e-15,4.4157881774774246e-27,8.9264877377748897e-27,7.1483661490087414e-30,1.9979234126100933e-42
4.4772100290456577e-11,0.11224537301773412,0.0,0.0,0.0,0.0,0.99999998186587236,1.8017865146465082e-08,5.8066196359081166e-11,6.6730448121692301e-14,5.8067009152151839e-11,4.82518294737226e-14,1.4480208877588549e-14,1.7510497681172915e-26,2.5274683533439619e-26,2.8806875352330728e-29,1.7318048073278222e-41
7.051997413575006e-11,0.11224537360302511,0.0,0.0,0.0,0.0,0.999999971437047,2.8379653725934399e-08,9.1488784334001606e-11,1.6476686403357619e-13,9.1490831436503966e-11,1.1916959165278239e-13,3.5762608385084516e-14,1.1405797225668958e-25,1.068530982508168e-25,2.0305571022307597e-28,3.4430013364151849e-40
9.999999999999999e-11,0.11224537477361775,0.0,0.0,0.0,0.0,0.99999995949646037,4.0243328659936204e-08,1.2978247810041979e-10,3.3078107361294816e-13,1.2978669503298782e-10,2.3931883448382647e-13,7.1819831394419259e-14,5.4071121225870087e-25,3.5153890556656296e-25,1.0958948858271812e-27,5.4142020100227501e-39
1.22015721826337e-10,0.11224537477361775,0.0,0.0,0.0,0.0,0.99999995057914215,4.9103099012926287e-08,1.5839871472698956e-10,4.9220081358645511e-13,1.5840507894344213e-10,3.5617003710296891e-13,1.0688752208548928e-13,1.0794555508232272e-24,6.3961388334394592e-25,2.2454600166893205e-27,1.2470066473308776e-38
1.7351146951692398e-10,0.11224537594422461,0.0,0.0,0.0,0.0,0.99999992972089735,6.9826368458527341e-08,2.2539490653524297e-10,9.9478238006182037e-13,2.2540820735786626e-10,7.2016871113686816e-13,2.161271098012985e-13,4.057579849502733e-24,1.9440811867056387e-24,8.9578592426810652e-27,7.8675912422190099e-38
2.2500721720751095e-10,0.11224537711484574,0.0,0.0,0.0,0.0,0.99999990886231305,9.0549462045448526e-08,2.9247725130675435e-10,1.6725111482958748e-12,2.9250032427947499e-10,1.2113217916045733e-12,3.6352973111383167e-13,1.0794750430138641e-23,4.4685984937477006e-24,2.5059349978508756e-26,3.2274888337830588e-37
2.765029648980979e-10,0.11224537828548116,0.0,0.0,0.0,0.0,0.99999988800338857,1.1127237975637196e-07,3.5964563690401782e-10,2.525386135961849e-12,3.5968154041073677e-10,1.8297901346682975e-12,5.4914531336476519e-13,2.361311017901743e-23,8.7596529976625622e-24,5.7603724218950665e-26,1.0379935938650005e-36
3.794944602792718e-10,0.11224538062679484,0.0,0.0,0.0,0.0,0.99999984628451977,1.5271768748684064e-07,4.9424011580181309e-10,4.7565703021025121e-12,4.9431167892515785e-10,3.4492673415054008e-12,1.0352006288991333e-12,7.9114383893139561e-23,2.5166794567656244e-23,2.1333315410145377e-25,6.9509753209906498e-36
4.824859556604457e-10,0.11224538296816583,0.0,0.0,0.0,0.0,0.9999998045642885,1.9416229151280374e-07,6.2917744750046441e-10,7.6883252446321931e-12,6.2929950534889326e-10,5.5798856898825588e-12,1.6746941436373251e-12,1.9846723960196096e-22,5.7114698400857555e-23,5.844852012218887e-25,2.7716089092778289e-35
5.854774510416197e-10,0.11224538530959421,0.0,0.0,0.0,0.0,0.99999976284269398,2.3560619169010787e-07,7.6445669302448903e-10,1.1320640614128551e-11,7.6464594445550316e-10,8.2229950491845861e-12,2.4680490272026426e-12,4.1844553555705705e-22,1.1219712737175158e-22,1.3421841471369165e-24,8.6357460604604778e-35
6.884689464227936e-10,0.11224538765108026,0.0,0.0,0.0,0.0,0.99999972111973401,2.7704938787601816e-07,9.0007692660332678e-10,1.5653505952274151e-11,9.0035190771983986e-10,1.1379929605360328e-11,3.4156860720562796e-12,7.8453403360128667e-22,1.9965124556281808e-22,2.7419925172337214e-24,2.3202367675248595e-34
