Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19)
1e-11,0.11224537229312749,0.0,0.0,0.0,0.0,0.99999999594970013,4.0243657554351599e-09,1.2963624416246901e-11,3.4601732083084623e-15,1.2963665510819286e-11,2.5012414171072795e-15,7.5060752676132922e-16,4.9821641366116003e-29,2.9272783718322061e-28,8.4908859463252651e-32,3.3740434562252579e-45,9.5801076925239287e-48,3.1350530665834906e-50,1.6044982805168385e-51,3.6163590090491203e-52,8.4534391829875482e-33,3.5083271600823876e-34
1.2895285920160971e-11,0.11224537229312749,0.0,0.0,0.0,0.0,0.99999999477702028,5.1895335072777193e-09,1.6717554437497734e-11,5.6565413797684291e-15,1.6717621756440312e-11,4.0890217552240255e-15,1.2270915940507695e-15,1.3095291214226683e-28,6.0392825629922789e-28,2.1623441341956563e-31,1.2704464742924699e-44,3.6078370913433357e-47,1.2180559102741345e-49,6.9576497242236049e-51,1.5681684683971807e-51,2.7130290390988394e-32,1.1258022749916605e-33
1.7193714712040596e-11,0.11224537239083687,0.0,0.0,0.0,0.0,0.99999999303602238,6.9193756728543704e-09,2.2291252819527108e-11,9.9309813969998232e-15,2.2291371366463469e-11,7.1792030076258275e-15,2.154438840950023e-15,3.9260880578098463e-28,1.3872496669494645e-27,6.321787918899856e-31,5.9056996168575498e-44,1.7354860128182286e-46,6.0371891930361999e-49,4.0483287565602525e-50,9.1243428837635425e-51,1.0256303068563179e-31,4.2550649710606014e-33
2.5790572295799848e-11,0.11224537258625583,0.0,0.0,0.0,0.0,0.9999999895540197,1.0379056331297266e-08,3.3440456536100648e-11,2.2138866767819224e-14,3.3440722548234998e-11,1.6005657193373018e-14,4.8032177422972241e-15,2.0273133589470213e-27,4.7347829681504245e-27,3.2798819123732624e-30,7.638923785202915e-43,2.2015195476327396e-45,8.0821462671560756e-48,8.4844814738798127e-49,1.9121973618600791e-49,8.3329445269649912e-31,3.4548000795194707e-32
4.298428746331835e-11,0.11224537297709512,0.0,0.0,0.0,0.0,0.99999998258998513,1.7298402953273894e-08,5.5746091404659476e-11,6.1194363205853549e-14,5.5746836828836348e-11,4.4248788355984002e-14,1.3278894664673537e-14,1.6495829771977739e-26,2.3271344108435374e-26,2.8344690737854952e-29,2.0659101172991696e-41,5.6287464046129011e-44,2.1550018003136785e-46,4.1689576549346217e-47,9.394891036871483e-48,1.2417716647689485e-29,5.1402842889925027e-31
7.737171779835535e-11,0.11224537375877831,0.0,0.0,0.0,0.0,0.99999996866180341,3.113703739912627e-08,1.0038626075582349e-10,1.9787980519712394e-13,1.0038873866080042e-10,1.431328644417787e-13,4.2954009355166889e-14,1.811459297708593e-25,1.5124544598169436e-25,3.4961739490217429e-28,8.9001305751920075e-40,2.3160431159286936e-42,9.0816137582342835e-45,3.3953296258353665e-45,7.6499497780358465e-46,2.6505928326795223e-28,1.0936731560396291e-29
9.999999999999999e-11,0.11224537454046782,0.0,0.0,0.0,0.0,0.9999999594964295,4.0243360602481884e-08,1.2978225688457105e-10,3.3042981813528301e-13,1.2978646277498904e-10,2.3905982768249477e-13,7.1741973406870925e-14,4.9087720186401072e-25,3.3817439078328447e-25,9.7257318846790988e-28,3.6675550780273409e-39,1.0285504921858404e-41,4.0474718602118135e-44,1.7345842874166571e-44,3.9079425070914314e-45,8.7648731630500967e-28,3.6119021291681755e-29
1.1175914813339234e-10,0.11224537454046782,0.0,0.0,0.0,0.0,0.9999999547334707,4.4975593443166021e-08,1.450649400588044e-10,4.1266508414602833e-13,1.4507022819929725e-10,2.9858117727440822e-13,8.9604564956396878e-14,7.1495249483708195e-25,4.6750875046024247e-25,1.4252895810907573e-27,5.8021928008504585e-39,1.6458706393533253e-41,6.4799352907762598e-44,2.8276179068684787e-44,6.3704562029869671e-45,1.3337548302499208e-27,5.4948463213182188e-29
1.8053400880346636e-10,0.11224537610386598,0.0,0.0,0.0,0.0,0.99999992687634998,7.265247029116455e-08,2.3453765720832506e-10,1.0765413179085327e-12,2.3455214717089036e-10,7.7942683007875752e-13,2.3391118985023498e-13,4.9170174177932366e-24,2.2669801387387564e-24,1.1284364426234329e-26,1.3354507023177413e-37,3.8717257948887233e-40,1.53800587991088e-42,1.1557515583910351e-42,2.6029212127650629e-43,1.5318608076757718e-26,6.2761263271687735e-28
2.4243138340653294e-10,0.11224537751094607,0.0,0.0,0.0,0.0,0.99999990180442333,9.7561391259892973e-08,3.1519447387747109e-10,1.9411367919206128e-12,3.1522160107018117e-10,1.4061263699918193e-12,4.2199437770014593e-13,1.4792925269880815e-23,5.8353507694679469e-24,3.6115654874719266e-26,6.5732264140608879e-37,2.0351050454553977e-39,8.0960919287556376e-42,6.7948606462450764e-42,1.5301763543416825e-42,5.6330859603443939e-26,2.3020415058319593e-27
