Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4)
6.022071603518328e-08,0.1122467318492884,0.0,0.0,0.0,0.0,0.99997577035383645,2.4229646163542037e-05
7.546669029482981e-08,0.11224707591871773,0.0,0.0,0.0,0.0,0.99996963985518783,3.0360144812214744e-05
9.071266455447634e-08,0.11224741985327227,0.0,0.0,0.0,0.0,0.99996351179726362,3.6488202736275386e-05
9.999999999999998e-08,0.11224776362601237,0.0,0.0,0.0,0.0,0.99995978019106724,4.0219808932724559e-05
1.0595863881412287e-07,0.11224776362601237,0.0,0.0,0.0,0.0,0.99995738666004863,4.2613339951275124e-05
1.212046130737694e-07,0.11224810721009021,0.0,0.0,0.0,0.0,0.99995126492271391,4.8735077286189886e-05
1.416821546038294e-07,0.11224856834899966,0.0,0.0,0.0,0.0,0.99994304873485007,5.6951265149995463e-05
1.6215969613388939e-07,0.1122490290342289,0.0,0.0,0.0,0.0,0.99993484069719318,6.5159302806671316e-05
1.8263723766394938e-07,0.11224948920124649,0.0,0.0,0.0,0.0,0.99992664195970893,7.3358040291011926e-05
2.0311477919400937e-07,0.11224994878581156,0.0,0.0,0.0,0.0,0.99991845366723697,8.1546332763021275e-05
2.2359232072406936e-07,0.11225040772393957,0.0,0.0,0.0,0.0,0.99991027695870782,8.9723041292233638e-05
2.4406986225412933e-07,0.11225086595210183,0.0,0.0,0.0,0.0,0.99990211296659937,9.788703340051813e-05
2.645474037841893e-07,0.11225132340709779,0.0,0.0,0.0,0.0,0.99989396281635734,0.00010603718364256794
3.055024868443093e-07,0.11225223574697006,0.0,0.0,0.0,0.0,0.99987770850294622,0.00012229149705382839
3.421492992213566e-07,0.1122530488730348,0.0,0.0,0.0,0.0,0.99986322201310607,0.0001367779868940246
3.7513143036069913e-07,0.11225377776884109,0.0,0.0,0.0,0.0,0.9998502363304409,0.00014976366955898963
4.081135615000417e-07,0.11225450364041782,0.0,0.0,0.0,0.0,0.99983730469413923,0.00016269530586081332
4.4109569263938424e-07,0.11225522624124157,0.0,0.0,0.0,0.0,0.99982443149334599,0.00017556850665393866
4.740778237787268e-07,0.11225594532941828,0.0,0.0,0.0,0.0,0.99981162103482624,0.00018837896517391749
5.400420860574119e-07,0.11225737202526195,0.0,0.0,0.0,0.0,0.9997862051276375,0.00021379487236253871
5.994099221082285e-07,0.11225864171679918,0.0,0.0,0.0,0.0,0.9997635867207878,0.00023641327921221315
6.587777581590451e-07,0.11225989650794056,0.0,0.0,0.0,0.0,0.99974123426314998,0.0002587657368499304
