Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8)
8.44088133170981e-09,0.1122455640693016,0.0,0.0,0.0,0.0,0.99999657710580103,3.3945452320366427e-06,1.1529545110678331e-08,2.3520624868211168e-09,1.2704066942429606e-08,1.763292159286195e-09
9.291926435176669e-09,0.11224558345708802,0.0,0.0,0.0,0.0,0.9999962315358113,3.7365324480227146e-06,1.2750177010962405e-08,2.8501523091215845e-09,1.4187615650907655e-08,2.1437954745334178e-09
9.999999999999999e-09,0.11224560284912946,0.0,0.0,0.0,0.0,0.99999594395511815,4.0210301933312194e-06,1.3772890784699131e-08,3.3009783664837118e-09,1.5451183536820249e-08,2.4896355593024131e-09
1.0142971538643528e-08,0.11224560284912946,0.0,0.0,0.0,0.0,0.99999588588075605,4.078470794070799e-06,1.3980163793780387e-08,3.3960204556134856e-09,1.5709558228853798e-08,2.5627074453434473e-09
1.0994016642110388e-08,0.11224562224545338,0.0,0.0,0.0,0.0,0.99999554014043823,4.4203601918954097e-06,1.5219209968337432e-08,3.9896616614999663e-09,1.7270181678924962e-08,3.0203166860437479e-09
1.1845061745577247e-08,0.1122456416460864,0.0,0.0,0.0,0.0,0.99999519431467065,4.7622005632040049e-06,1.6467029209438796e-08,4.631070704973361e-09,1.886976377301053e-08,3.5169026342725455e-09
1.2696106849044107e-08,0.11224566105105382,0.0,0.0,0.0,0.0,0.99999484840327457,5.1039918296963836e-06,1.772334394022692e-08,5.3202424078171068e-09,2.0508573468902909e-08,4.0527359682465465e-09
1.3547151952510966e-08,0.11224568046038041,0.0,0.0,0.0,0.0,0.99999450240608012,5.4457339130646209e-06,1.8987885213362452e-08,6.0571716356129231e-09,2.2186871028887778e-08,4.6280787255691234e-09
1.4398197055977826e-08,0.11224569987408958,0.0,0.0,0.0,0.0,0.9999941563229261,5.7874267349925842e-06,2.0260392320153172e-08,6.841853298312342e-09,2.3904908410034765e-08,5.243184694096964e-09
1.5249242159444685e-08,0.1122457192922042,0.0,0.0,0.0,0.0,0.99999381015365885,6.1290702171557907e-06,2.1540612649146886e-08,7.6742823504282211e-09,2.5662929405415595e-08,5.8982995533484615e-09
1.6100287262911547e-08,0.11224573871474582,0.0,0.0,0.0,0.0,0.99999346389813215,6.4706642812208444e-06,2.2828301218164944e-08,8.5544537917064977e-09,2.7461170111398668e-08,6.5936613424701093e-09
1.6951332366378408e-08,0.11224575814173574,0.0,0.0,0.0,0.0,0.99999311755620857,6.8122088488454614e-06,2.4123220650101183e-08,9.4823626671401525e-09,2.9299858951836098e-08,7.3295004844375312e-09
1.780237746984527e-08,0.11224577757319389,0.0,0.0,0.0,0.0,0.99999277112775642,7.1537038416782545e-06,2.542514095010518e-08,1.0458004067278334e-08,3.1179216900560546e-08,8.1060400088668528e-09
1.865342257331213e-08,0.11224579700913966,0.0,0.0,0.0,0.0,0.9999924246126527,7.4951491813584712e-06,2.6733839249251642e-08,1.1481373128584664e-08,3.3099457737356495e-08,8.9234958083447543e-09
1.950446767677899e-08,0.11224581644959158,0.0,0.0,0.0,0.0,0.99999207801078049,7.8365447895156635e-06,2.8049099486410649e-08,1.2552465033879505e-08,3.506078836563333e-08,9.7820769565510885e-09
2.0355512780245852e-08,0.11224583589456753,0.0,0.0,0.0,0.0,0.99999173132203023,8.1778905877695311e-06,2.9370712253357083e-08,1.3671275012534741e-08,3.7063408967130999e-08,1.0681985863154328e-08
2.1206557883712713e-08,0.11224585534408452,0.0,0.0,0.0,0.0,0.99999138454629732,8.5191864977296835e-06,3.0698474525729157e-08,1.4837798340837775e-08,3.910751327057493e-08,1.1623418542841767e-08
2.2057602987179575e-08,0.11224587479815898,0.0,0.0,0.0,0.0,0.99999103768348596,8.8604324409956371e-06,3.2032189626327239e-08,1.6052030341997166e-08,4.1193288588397435e-08,1.2606564652033684e-08
2.2908648090646436e-08,0.11224589425680649,0.0,0.0,0.0,0.0,0.99999069073350333,9.2016283391564797e-06,3.3371666842808624e-08,1.731396638668156e-08,4.3320916198455989e-08,1.3631607871164459e-08
2.3759693194113297e-08,0.11224591372004228,0.0,0.0,0.0,0.0,0.9999903436962656,9.5427741137909263e-06,3.4716721513338454e-08,1.8623601892817017e-08,4.5490571258645202e-08,1.4698725819061879e-08
2.4610738297580158e-08,0.11224593318788031,0.0,0.0,0.0,0.0,0.99998999657169285,9.8838696864669056e-06,3.6067174417610295e-08,1.9980932326493518e-08,4.7702423414868868e-08,1.5808090661876049e-08
2.546178340104702e-08,0.11224595266033484,0.0,0.0,0.0,0.0,0.99998964935971069,1.0224914978741611e-05,3.7422851975289868e-08,2.1385953201574487e-08,4.9956636603071701e-08,1.6959868914678168e-08
2.631282850451388e-08,0.11224597213741871,0.0,0.0,0.0,0.0,0.99998930206025094,1.0565909912161407e-05,3.8783586022734065e-08,2.2838660079970453e-08,5.2253369272229103e-08,1.8154221664732772e-08
2.716387360798074e-08,0.11224599161914466,0.0,0.0,0.0,0.0,0.99998895467325033,1.0906854408261659e-05,4.0149213648296237e-08,2.4339048571837322e-08,5.45927745488408e-08,1.9391304736190969e-08
2.8014918711447603e-08,0.11224601110552444,0.0,0.0,0.0,0.0,0.99998860719865035,1.1247748388566566e-05,4.1519576792115958e-08,2.5887114336131875e-08,5.697500063652041e-08,2.0671269090268189e-08
2.8865963814914464e-08,0.11224603059656965,0.0,0.0,0.0,0.0,0.9999882596363987,1.1588591774589146e-05,4.2894522331840484e-08,2.7482853080412419e-08,5.9400190730533197e-08,2.1994260739552584e-08
2.9717008918381325e-08,0.11224605009229102,0.0,0.0,0.0,0.0,0.99998791198644521,1.1929384487831051e-05,4.4273901649377791e-08,2.9126260561443069e-08,6.1868483450354832e-08,2.336042118121007e-08
3.0568054021848186e-08,0.11224606959269931,0.0,0.0,0.0,0.0,0.99998756424874724,1.2270126449782685e-05,4.5657571022503677e-08,3.0817332584497723e-08,6.4380012448905997e-08,2.4769887005450041e-08
3.1419099125315044e-08,0.11224608909780392,0.0,0.0,0.0,0.0,0.9999872164232646,1.2610817581922995e-05,4.7045391038224378e-08,3.2556065004202317e-08,6.6934906998218376e-08,2.6222790482098154e-08
3.22701442287819e-08,0.11224610860761458,0.0,0.0,0.0,0.0,0.99998686850996232,1.2951457805719427e-05,4.8437226484979207e-08,3.4342453724636818e-08,6.9533292097133482e-08,2.7719259668395533e-08
3.312118933224876e-08,0.11224612812214002,0.0,0.0,0.0,0.0,0.99998652050880965,1.3292047042627851e-05,4.9832946228333589e-08,3.6176494699444382e-08,7.2175288595501546e-08,2.9259418533306146e-08
3.436487355950761e-08,0.1122461566484059,0.0,0.0,0.0,0.0,0.99998601179540236,1.3789679050677812e-05,5.1879320105037168e-08,3.894238368316615e-08,7.6114874273252349e-08,3.1588968925690659e-08
3.5608557786766466e-08,0.11224618518478326,0.0,0.0,0.0,0.0,0.99998550289425803,1.4287201759367691e-05,5.3933337628367946e-08,4.1810016884072024e-08,8.0148192261352233e-08,3.4012435758528152e-08
3.685224201402532e-08,0.11224621373129542,0.0,0.0,0.0,0.0,0.99998499380532491,1.4784614923439277e-05,5.5994634703178187e-08,4.4779382245891358e-08,8.4275573729902564e-08,3.6530160636307867e-08
3.809592624128417e-08,0.11224624228796254,0.0,0.0,0.0,0.0,0.99998448452856881,1.528191829758101e-05,5.8062863308263382e-08,4.7850467940509447e-08,8.8497333445162168e-08,3.9142469038704106e-08
3.9339610468543026e-08,0.11224627085480433,0.0,0.0,0.0,0.0,0.99998397506396874,1.5779111636427823e-05,6.0137690876185776e-08,5.1023262368434692e-08,9.2813770389261891e-08,4.1849670940755397e-08
4.058329469580188e-08,0.1122462994318379,0.0,0.0,0.0,0.0,0.99998346541152172,1.6276194694561218e-05,6.2218799685970951e-08,5.4297754159186067e-08,9.7225168367122435e-08,4.4652061420168772e-08
4.307066315031959e-08,0.11224635661654271,0.0,0.0,0.0,0.0,0.99998244554313909,1.7270028986746436e-05,6.6398660596587257e-08,6.1151785494955925e-08,1.0633391053795173e-07,5.0543517718160194e-08
4.5558031604837306e-08,0.11224641384218553,0.0,0.0,0.0,0.0,0.99998142492366204,1.8263419209720801e-05,7.060017720054273e-08,6.8412475580666926e-08,1.1582555083664589e-07,5.6818924608385064e-08
4.804540005935502e-08,0.11224647110885229,0.0,0.0,0.0,0.0,0.99998040355353424,1.9256363398218354e-05,7.4821278491985066e-08,7.6079741739693257e-08,1.2570187698873253e-07,6.3480170118220406e-08
5.053276851387273e-08,0.11224652841660807,0.0,0.0,0.0,0.0,0.99997938143338294,2.0248859586129801e-05,7.9060073729126498e-08,8.4153504995349172e-08,1.3596449112573777e-07,7.0528961195980236e-08
5.3020136968390446e-08,0.11224658576549904,0.0,0.0,0.0,0.0,0.99997835856400197,2.1240905806511727e-05,8.3314836849074246e-08,9.2633690077201754e-08,1.4661482536340834e-07,7.7966839295767955e-08
5.550750542290816e-08,0.11224664315555422,0.0,0.0,0.0,0.0,0.99997733494634011,2.2232500091597748e-05,8.7583992263854518e-08,1.0152022542524501e-07,1.576541560009229e-07,8.5795194581156687e-08
5.799487387742587e-08,0.11224670058678671,0.0,0.0,0.0,0.0,0.9999763105814865,2.3223640472811479e-05,9.1866101666414625e-08,1.1081304319253755e-07,1.6908361671162959e-07,9.4015279118876301e-08
6.048224233194359e-08,0.11224675805919512,0.0,0.0,0.0,0.0,0.9999752854706585,2.4214324980780956e-05,9.6159851888166294e-08,1.205120792462917e-07,1.8090421068377906e-07,1.0262821902095227e-07
6.296961078646129e-08,0.11224681557276482,0.0,0.0,0.0,0.0,0.99997425961519049,2.520455164535478e-05,1.0046404390026751e-07,1.3061727316730811e-07,1.9311682161920581e-07,1.1163502544312321e-07
6.5456979240979e-08,0.11224687312746905,0.0,0.0,0.0,0.0,0.99997323301652519,2.6194318495619489e-05,1.0477758286670967e-07,1.4112856824791499e-07,2.0572222368174178e-07,1.2103660453147357e-07
6.79443476954967e-08,0.11224693072326983,0.0,0.0,0.0,0.0,0.99997220567620237,2.7183623559918073e-05,1.0909946906447579e-07,1.5204591148870734e-07,2.1872109057978124e-07,1.3083376650200648e-07
7.043171615001441e-08,0.11224698836011916,0.0,0.0,0.0,0.0,0.99997117759585319,2.8172464865869615e-05,1.1342878955165611e-07,1.6336925359427697e-07,2.321140039019094e-07,1.4102723397226513e-07
7.291908460453212e-08,0.11224704603795972,0.0,0.0,0.0,0.0,0.99997014877718993,2.9160840440389661e-05,1.1776471054761582e-07,1.7509854896799756e-07,2.4590146074143616e-07,1.5161764958090901e-07
7.540645305904983e-08,0.11224710375672552,0.0,0.0,0.0,0.0,0.99996911922200071,3.0148748309711617e-05,1.2210647049726563e-07,1.8723375570591644e-07,2.600838806377467e-07,1.626055829231988e-07
7.789382151356753e-08,0.11224716151634292,0.0,0.0,0.0,0.0,0.99996808893214251,3.1136186499408793e-05,1.2645337375848931e-07,1.9977483558984906e-07,2.7466161189531273e-07,1.7399153686333629e-07
8.038118996808524e-08,0.1122472193167309,0.0,0.0,0.0,0.0,0.99996705790953588,3.212315303441716e-05,1.3080478484000567e-07,2.1272175407978783e-07,2.8963493735297922e-07,1.857759532963808e-07
8.286855842260295e-08,0.11224727715780201,0.0,0.0,0.0,0.0,0.99996602615615959,3.31096459390586e-05,1.3516012313450536e-07,2.2607448030570577e-07,3.0500407965859826e-07,1.9795921841489935e-07
8.535592687712065e-08,0.1122473350394627,0.0,0.0,0.0,0.0,0.99996499367404434,3.409566323706472e-05,1.3951885811019097e-07,2.3983298705880413e-07,3.2076920608583478e-07,2.1054166751722406e-07
8.784329533163836e-08,0.11224739296161396,0.0,0.0,0.0,0.0,0.99996396046527014,3.5081202951601222e-05,1.4388050492687011e-07,2.5399725078225515e-07,3.3693043292694952e-07,2.2352358939116728e-07
9.033066378615607e-08,0.11224745092415139,0.0,0.0,0.0,0.0,0.99996292653196295,3.6066263105292615e-05,1.4824462043869368e-07,2.6856725156149121e-07,3.5348782949940807e-07,2.3690523031110279e-07
9.281803224067377e-08,0.11224750892696633,0.0,0.0,0.0,0.0,0.99996189187628748,3.7050841720247199e-05,1.5261079954614837e-07,2.8354297311408977e-07,3.7044142180366136e-07,2.5068679768580145e-07
9.530540069519148e-08,0.11224756696994548,0.0,0.0,0.0,0.0,0.99996085650044797,3.8034936818082719e-05,1.569786718656477e-07,2.9892440277929806e-07,3.8779119586371251e-07,2.648684633886814e-07
9.779276914970919e-08,0.11224762505297167,0.0,0.0,0.0,0.0,0.99995982040668219,3.90185464199519e-05,1.613478986902972e-07,3.1471153150722481e-07,4.0553710077685926e-07,2.794503667968934e-07
9.999999999999998e-08,0.11224768317592415,0.0,0.0,0.0,0.0,0.99995890040266555,3.9890969734809237e-05,1.6522592930013994e-07,3.2906037959582903e-07,4.2161604384836478e-07,2.9272524707202688e-07
1.0028013760422689e-07,0.11224768317592415,0.0,0.0,0.0,0.0,0.99995878359725998,4.0001668546568588e-05,1.6571817021747291e-07,3.3090435384773105e-07,4.2367905149694861e-07,2.9443261756360338e-07
1.027675060587446e-07,0.11224774133867875,0.0,0.0,0.0,0.0,0.99995774607448118,4.0984301218234016e-05,1.7008920301961345e-07,3.4750286793904754e-07,4.4221693137471222e-07,3.0981529814707313e-07
