Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25)
1.7874673761442282e-09,0.11224541264015621,0.0,0.0,0.0,0.0,0.99999927581827575,7.1923627788223598e-07,2.3682474868259307e-09,1.0550769753545105e-10,2.3710508285915188e-09,7.7398113716308453e-11,2.3242594107727706e-11,3.1172696261329332e-20,6.8624153558346289e-21,2.3614731730297515e-22
2.151348423851261e-09,0.11224542091557604,0.0,0.0,0.0,0.0,0.99999912834327009,8.6562773366229118e-07,2.8627152821499271e-09,1.5283449819978798e-10,2.8672245739356764e-09,1.1244692105868897e-10,3.3775026150484972e-11,6.2646444212325495e-20,1.3854208513906158e-20,5.6803818101782226e-22
2.515229471558294e-09,0.11224542919173999,0.0,0.0,0.0,0.0,0.99999898085093486,1.0120103752911786e-06,3.3612758918742782e-09,2.0890429664931804e-10,3.368047301423379e-09,1.5415021454543908e-10,4.6312361598649543e-11,1.1232130048259891e-19,2.5138143565569005e-20,1.1956524725974381e-21
2.8791105192653265e-09,0.11224543746865376,0.0,0.0,0.0,0.0,0.9999988333412031,1.1583841966552152e-06,3.8638929632758639e-09,2.73716650847434e-10,3.8735547456212185e-09,2.0256259230122839e-10,6.0873375958067619e-11,1.8539807458448928e-19,4.2179136887663367e-20,2.2831857911403952e-21
3.6068726146793924e-09,0.1122454540247536,0.0,0.0,0.0,0.0,0.99999853826928797,1.4511053541383511e-06,4.8811540833750903e-09,4.2956726277338552e-10,4.8987637118901262e-09,3.1973065967168621e-10,9.6142214615261039e-11,4.2369882385849435e-19,1.0035305472634633e-19,6.7786534815763215e-21
4.209507576151737e-09,0.11224546773661452,0.0,0.0,0.0,0.0,0.99999829387706241,1.6934710007022932e-06,5.735487459952674e-09,5.8508623570177876e-10,5.7621887767892181e-09,4.3753406525154108e-10,1.3164029002601956e-10,7.4170128221524159e-19,1.8218826716319369e-19,1.4327936417733753e-20
4.812142537624082e-09,0.11224548145060356,0.0,0.0,0.0,0.0,0.99999804943628978,1.93581237722843e-06,6.6005046609081978e-09,7.6457843587492798e-10,6.6388971291338688e-09,5.7441909342523316e-10,1.7293364308716155e-10,1.1989267127195854e-18,3.0563432172477677e-19,2.7425102066952421e-20
5.414777499096427e-09,0.11224549516674556,0.0,0.0,0.0,0.0,0.999997804946678,2.1781294559557591e-06,7.4760567555120348e-09,9.680418789942253e-10,7.5290348485142971e-09,7.3062122344248062e-10,2.2011124008976597e-10,1.8244032174708807e-18,4.8255462060487422e-19,4.8646328479734287e-20
6.017412460568772e-09,0.11224550888506474,0.0,0.0,0.0,0.0,0.99999756040793764,2.4204222091254152e-06,8.3619990089377812e-09,1.1954745875704731e-09,8.4327438062845688e-09,9.0637268953074564e-10,2.7326300097179264e-10,2.6479256918725089e-18,7.261594282243103e-19,8.1255815925721965e-20
6.620047422041117e-09,0.1122455226055852,0.0,0.0,0.0,0.0,0.99999731581978135,2.6626906089804315e-06,9.2581907886361205e-09,1.4468745910341374e-09,9.3501617590221868e-09,1.1019025535123457e-09,3.3247977833724866e-10,3.6999927419944766e-18,1.0509759874668894e-18,1.2927316340878993e-19
