Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13)
1.2492887264039604e-06,0.11229309332582525,0.0,0.0,0.0,0.0,0.99913341542076506,0.00041496058571136084,1.0858801740407565e-05,5.3337129853863923e-05,3.0901652051123376e-05,0.0001965953974947128,0.00015992073526670492,1.7564157119590957e-10,1.0101475140500612e-08
1.280329606029231e-06,0.11229500797522042,0.0,0.0,0.0,0.0,0.99909833004411441,0.00042237304143560471,1.1244278063023578e-05,5.6110888520424265e-05,3.2060643120629628e-05,0.00020915800947522606,0.00017071157219240786,1.902228994257962e-10,1.1332855531687226e-08
1.3113704856545015e-06,0.11229696270848752,0.0,0.0,0.0,0.0,0.99906249607245623,0.00042963129238645455,1.1629780325039199e-05,5.895724109456094e-05,3.3219756871089025e-05,0.00022215368370873221,0.00018189929274301187,2.0553440937517694e-10,1.2674880117115637e-08
1.3424113652797721e-06,0.11229895740372006,0.0,0.0,0.0,0.0,0.99902591547928821,0.00043673588129793822,1.2014985568042649e-05,6.1875966549177595e-05,3.4377898822384542e-05,0.00023558172549944498,0.00019348370770724116,2.2158315601296286e-10,1.4133684266633799e-08
1.3734522449050427e-06,0.11230099190658602,0.0,0.0,0.0,0.0,0.9989885908517816,0.00044368747619348792,1.2399582952199336e-05,6.4866798423582198e-05,3.5534015619855604e-05,0.00024944106257488645,0.00020546425860937058,2.3837505708965836e-10,1.5715470030869093e-08
1.4044931245303132e-06,0.11230306603196283,0.0,0.0,0.0,0.0,0.99895052536448736,0.00045048686621508181,1.2783273966676894e-05,6.7929425282523884e-05,3.6687095781381249e-05,0.00026373025987763699,0.00021784003198216568,2.5591490392932345e-10,1.7426492159223921e-08
1.4355340041555838e-06,0.11230517956536623,0.0,0.0,0.0,0.0,0.99891172275276252,0.00045713495723030602,1.3165772586537387e-05,7.1063491355172892e-05,3.7836170260829288e-05,0.00027844753464838218,0.00023060977390599254,2.7420637645190382e-10,1.927304397750227e-08
1.4665748837808544e-06,0.11230733226441929,0.0,0.0,0.0,0.0,0.99887218728606897,0.00046363276726063573,1.3546805380942782e-05,7.4268597331568934e-05,3.8980312844607387e-05,0.0002935907716993748,0.00024377190471866681,2.9325206213265807e-10,2.1261443231093769e-08
1.497615763406125e-06,0.11230952386032828,0.0,0.0,0.0,0.0,0.9988319237412796,0.00046998142176754213,1.3926111577009191e-05,7.7544301297704683e-05,4.0118640394979481e-05,0.00030915753879474461,0.00025732453381736425,3.13053478553723e-10,2.339801798574044e-08
1.5286566430313955e-06,0.11231175405934979,0.0,0.0,0.0,0.0,0.99879093737605251,0.00047618214881635932,1.4303443081066213e-05,8.0890119800453784e-05,4.1250312945422505e-05,0.00032514510209140883,0.00027126547450907344,3.336110992640483e-10,2.5689092646942634e-08
1.559697522656666e-06,0.11231402254423847,0.0,0.0,0.0,0.0,0.99874923390234316,0.0004822362741338547,1.4678564458343824e-05,8.4305529035684862e-05,4.2374533651853364e-05,0.00034155044160379924,0.00028559225887480932,3.5492438265943429e-10,2.814097414975906e-08
1.5907384022819367e-06,0.11231632897567255,0.0,0.0,0.0,0.0,0.99870681946011441,0.00048814521608156252,1.5051252873246958e-05,8.778996614862044e-05,4.3490548607476923e-05,0.00035837026664334895,0.00030030215260129538,3.769918035739906e-10,3.075993837872588e-08
1.6217792819072072e-06,0.11231867299366144,0.0,0.0,0.0,0.0,0.99866370059133946,0.00049391048057082355,1.5421297993326646e-05,9.1342830632614916e-05,4.4597646531642873e-05,0.00037560103117690761,0.00031539216972765148,3.9981088727533088e-10,3.3552216881452671e-08
1.6528201615324778e-06,0.11232105421893057,0.0,0.0,0.0,0.0,0.99861988421436221,0.00049953365594315952,1.5788501859905543e-05,9.4963485813546176e-05,4.5695158342477519e-05,0.00039323894905512265,0.00033085908726120794,4.2337824556114369e-10,3.652398393251331e-08
1.6838610411577484e-06,0.11232347225427906,0.0,0.0,0.0,0.0,0.99857537759867476,0.00050501640783573475,1.6152678727780858e-05,9.8651260409070367e-05,4.6782456621613175e-05,0.00041128000907160505,0.00034669945962576042,4.4768961466320703e-10,3.9681343994711213e-08
1.714901920783019e-06,0.11232592668590613,0.0,0.0,0.0,0.0,0.9985301883401555,0.00051036047405010859,1.6513654876296585e-05,0.00010240545015258364,4.7858954979067004e-05,0.00042971998981768312,0.00036290963290932989,4.7273989467458799e-10,4.3030319619487487e-08
1.7459428004082895e-06,0.1123284170847051,0.0,0.0,0.0,0.0,0.99848432433682555,0.00051556765944266571,1.6871268394291372e-05,0.00010622531947126797,4.8924107326896151e-05,0.00044855447429763365,0.00037948575887862638,4.9852319022300282e-10,4.6576839825898899e-08
1.77698368003356e-06,0.11233094300752344,0.0,0.0,0.0,0.0,0.99843779376516451,0.00052063983085476437,1.7225368941546434e-05,0.0001101101032074644,4.9977407070560947e-05,0.00046777886427071675,0.00039642380872882086,5.2503285212186104e-10,5.0326728994279346e-08
1.8080245596588306e-06,0.11233350399838773,0.0,0.0,0.0,0.0,0.99839060505702271,0.00052557891209917512,1.7575817489244399e-05,0.00011405900837321847,5.1018386226642701e-05,0.00048738839429033384,0.00041371958654100348,5.5226151974280531e-10,5.4285696305469637e-08
1.8390654392841012e-06,0.11233609958969112,0.0,0.0,0.0,0.0,0.99834276687717127,0.00053038687901765986,1.7922486041784896e-05,0.00011807121592863377,5.2046614475098065e-05,0.00050737814541493298,0.00043136874242374987,5.8020116386744472e-10,5.8459325751012282e-08
1.8701063189093718e-06,0.1123387293033423,0.0,0.0,0.0,0.0,0.99829428810150922,0.00053506575462324262,1.8265257342223935e-05,0.00012214588257520074,5.3061698153932248e-05,0.00052774305856830353,0.0004493667853180817,6.0884312978974085e-10,6.2853066735166472e-08
1.9011471985346423e-06,0.1123413926518745,0.0,0.0,0.0,0.0,0.99824517779595701,0.00053961760433974431,1.8604024563569234e-05,0.00012628214255563626,5.4063279204009495e-05,0.00054847794752919238,0.00046770909544726328,6.3817818045421058e-10,6.7472225285701704e-08
1.932188078159913e-06,0.11234408913951471,0.0,0.0,0.0,0.0,0.99819544519605763,0.00054404453135007563,1.893869098809187e-05,0.00013047910945220847,5.5051034071494282e-05,0.00056957751153265362,0.00048639093639521729,6.6819653942939202e-10,7.2321955886463297e-08
1.963228957785184e-06,0.11234681826321226,0.0,0.0,0.0,0.0,0.99814509968729836,0.00054834867206351957,1.9269169676700507e-05,0.00013473587797609968,5.6024672575070037e-05,0.00059103634746842455,0.0005054074668000341,6.9888793353103234e-10,7.7407253940562541e-08
1.9942698374104547e-06,0.11234957951362558,0.0,0.0,0.0,0.0,0.99809415078616648,0.00055253219171098227,1.9595383130309438e-05,0.00013905152574096938,5.6983936744684872e-05,0.00061284896166440158,0.00052475375165166776,7.3024163492481828e-10,8.2732948869067874e-08
2.0253107170357254e-06,0.112352372376069,0.0,0.0,0.0,0.0,0.99804260812195111,0.00055659728007601342,1.9917262945028787e-05,0.00014342511501443426,5.7928599638199837e-05,0.0006350097812457021,0.00054442477318517187,7.6224650255356264e-10,8.8303697846478611e-08
2.0563515966609962e-06,0.11235519633141652,0.0,0.0,0.0,0.0,0.9979904814192887,0.0005605461473683444,2.0234749462903521e-05,0.0001478556944417073,5.8858464141964925e-05,0.00065751316506198381,0.00056441544136287861,7.9489102274861936e-10,9.4123980170984953e-08
2.087392476286267e-06,0.1123580508569657,0.0,0.0,0.0,0.0,0.99793778048146309,0.00056438102024563804,2.0547791419818767e-05,0.00015234230073616188,5.9773361760986786e-05,0.00068035341417779912,0.00058472060394087978,8.2816334889987015e-10,1.0019809226442523e-07
2.1184333559115378e-06,0.11236093542726014,0.0,0.0,0.0,0.0,0.9978845151744492,0.00056810413798811263,2.0856345592075432e-05,0.00015688396033212705,6.0673151403964893e-05,0.00070352478192282886,0.00060533505611710156,8.6205134007304595e-10,1.0653014329393785e-07
2.1494742355368086e-06,0.11236384951487169,0.0,0.0,0.0,0.0,0.99783069541170832,0.00057171774882971125,2.116037644303011e-05,0.00016147969099575,6.1557718168081421e-05,0.00072702148350076287,0.00062625354976006745,8.9654259847713773e-10,1.1312405140463673e-07
2.1805151151620793e-06,0.1123667925911424,0.0,0.0,0.0,0.0,0.99777633113972031,0.00057522410644856258,2.1459855771083729e-05,0.00016612850339026424,6.2426972128048024e-05,0.00075083770515732876,0.00064747080221904567,9.3162450569810243e-10,1.1998354055025242e-07
2.21155599478735e-06,0.11236976412688757,0.0,0.0,0.0,0.0,0.99772143232424548,0.00057862546661861043,2.1754762360196583e-05,0.00017082940259248219,6.3280847133544455e-05,0.00077496761290956316,0.00066898150471776576,9.6728425762789741e-10,1.2711213790655422e-07
2.242596874412621e-06,0.11237276359305995,0.0,0.0,0.0,0.0,0.99766600893730983,0.00058192408402349979,2.2045081634002211e-05,0.00017558138955779437,6.4119299618821046e-05,0.00079940536083987327,0.0006907803303352406,1.0035088980301356e-09,1.3451317185047605e-07
2.2736377540378917e-06,0.11237579046137618,0.0,0.0,0.0,0.0,0.99761007094489917,0.00058512220923302282,2.2330805314490357e-05,0.00018038346253139816,6.4942307427878486e-05,0.00082414509895979509,0.00071286194157848214,1.0402853506952471e-09,1.4218977048619894e-07
2.3046786336631625e-06,0.1123788442049066,0.0,0.0,0.0,0.0,0.99755362829534611,0.00058822208584174474,2.2611931086130983e-05,0.00018523461840390263,6.5749868658291724e-05,0.0008491809806495486,0.00073522099755301412,1.077600450148973e-09,1.5014486069800144e-07
2.3357195132884332e-06,0.11238192429862842,0.0,0.0,0.0,0.0,0.99749669090840132,0.00059122594776878123,2.2888462266215976e-05,0.00019013385400985265,6.6542000526412234e-05,0.00087450716968060481,0.00075785216073811406,1.1154409708882549e-09,1.5838116770848559e-07
2.366760392913704e-06,0.11238503021994489,0.0,0.0,0.0,0.0,0.99743926866496357,0.0005941360167171036,2.3160407482103664e-05,0.00019508016736808164,6.7318738256363317e-05,0.00090011784682940193,0.00078075010337456626,1.1537936551280389e-09,1.6690121511978222e-07
2.397801272538975e-06,0.1123881614491696,0.0,0.0,0.0,0.0,0.99738137139746019,0.00059695449979023146,2.342778035596531e-05,0.00020007255886315319,6.8080133994942853e-05,0.00092600721609122831,0.00080390951347352401,1.1926452390513249e-09,1.7570732541454882e-07
2.4288421521642456e-06,0.11239131746997864,0.0,0.0,0.0,0.0,0.99732300888085379,0.00059968358726368066,2.36905991975503e-05,0.00020511003236746965,6.8826255754254873e-05,0.00095216951050400636,0.00082732510045573657,1.2319824775628422e-09,1.8480162089296099e-07
2.4598830317895164e-06,0.1123944977698301,0.0,0.0,0.0,0.0,0.99726419082425832,0.00060232545050811618,2.3948886705409152e-05,0.00021019159630392359,6.9557186383620978e-05,0.00097859899759235726,0.00085099160043098938,1.2717921675540889e-09,1.9418602502146524e-07
