,base.py,chemkin.py,model.py,model.py,poll.py,~,~,~,~,~,~,~,~,~,~,~
,1260,1659,234,1066,77,0,0,0,0,0,0,0,0,0,0,0
,isMoleculeForbidden,markDuplicateReaction,checkForExistingSpecies,removeSpeciesFromEdge,poll,<gc.collect>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.species.Species' objects>,<method 'isCyclic' of 'rmgpy.molecule.graph.Graph' objects>,<method 'isIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isIsomorphic' of 'rmgpy.species.Species' objects>,<method 'isSubgraphIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'split' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'update' of 'rmgpy.molecule.molecule.Molecule' objects>
,,,,,,,,,,,,,,,,
50,947.824048,1166.371178,1489.496918,696.654837,0.0,0.0,5027.194105,12473.324482,1133.278692,211.919399,2938.627691,607.551289,3518.385287,0.0,2216.768004,1179.473038
51,950.183579,1166.580436,1491.383923,697.928689,0.0,0.0,5037.308612,12502.227944,1134.909815,212.110127,2956.347035,608.828743,3529.155674,0.0,2223.829854,1182.87307
52,959.417717,1170.016435,1499.449112,698.613527,0.0,0.0,5056.563873,12532.523128,1139.589162,212.990263,2967.577414,611.357385,3557.397826,0.0,2235.104586,1191.57112
53,982.139115,1173.568317,1512.266629,700.246634,0.0,0.0,5155.908693,12739.511851,1147.994387,215.796081,3004.506197,614.67396,3642.536986,0.0,2285.623275,1219.117566
54,990.585981,1175.185529,1521.156042,700.920831,0.0,0.0,5206.168895,12822.439419,1153.348439,216.603869,3044.45977,619.678095,3676.884772,0.0,2307.74428,1230.147115
55,995.818084,1175.787597,1526.882576,713.104159,0.0,0.0,5246.125531,12895.043291,1158.699868,217.21881,3079.527759,622.378734,3700.187651,0.0,2322.789506,1237.471685
56,1006.675336,1181.438735,1541.168222,717.050664,0.0,0.0,5291.970012,13005.337393,1167.927721,218.832482,3118.878902,628.685681,3738.057815,0.0,2340.415593,1248.437002
57,1017.498984,1186.5838,1550.80987,720.614187,0.0,0.0,5310.874771,13050.78123,1171.042154,220.942088,3140.067942,631.44518,3765.986004,0.0,2351.300629,1257.870846
58,1028.547027,1194.355052,1563.947407,720.663646,0.0,0.0,5357.370505,13156.767138,1178.435567,222.719341,3183.259548,636.393903,3800.758566,0.0,2369.498573,1269.26188
59,1037.99048,1199.159812,1573.231571,738.301388,0.0,0.0,5374.860662,13200.491892,1182.58244,224.549002,3199.439208,639.734754,3823.257879,0.0,2377.811118,1277.10351
60,1053.016859,1210.532966,1588.148729,747.031653,0.0,0.0,5396.505691,13273.942128,1187.383523,227.292972,3223.39038,645.315415,3856.130867,0.0,2388.890925,1288.695572
61,1061.5155,1215.309134,1596.373203,770.950868,0.0,0.0,5410.040996,13313.650387,1191.224821,228.888902,3237.097979,648.051901,3875.947082,0.0,2395.886137,1295.566567
62,1067.927105,1220.664039,1603.358852,771.560657,0.0,0.0,5418.350761,13346.080926,1193.45727,230.011879,3245.509249,650.606273,3888.612702,0.0,2399.850113,1300.109679
