Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38)
0.0006768003745721355,0.16447942801336365,0.0,0.0,0.0,0.0,0.36020336522518526,0.00037010831834701527,0.00013662541869914588,0.074652586131771115,5.1176621688494839e-05,0.24493837020700795,0.28228009487240219,1.9459378056416095e-07,1.1515493199480126e-05,0.033699730287478802,2.8692237739206208e-08,1.4421247041153766e-07,5.8004446981508683e-10,0.00088250347899050685,2.2217462808389595e-06,0.0023730005635263351,3.0265447562775629e-07,0.00039803090241425965
0.0006805171294060598,0.1646503898656305,0.0,0.0,0.0,0.0,0.35885710682402322,0.0003693921423388226,0.00013643667102266151,0.074886049149249248,5.10543837785241e-05,0.24523853056745934,0.28288536740644393,1.9447775422192587e-07,1.1549575253939373e-05,0.033889878021912748,2.8798875988412747e-08,1.4493795792999358e-07,5.8296249086157018e-10,0.00089015418640348194,2.235486267180503e-06,0.0023808148752257874,3.0292327999016484e-07,0.00040075898979057641
0.0006842338842399841,0.16482064752350317,0.0,0.0,0.0,0.0,0.35751974241310985,0.00036867973169953555,0.00013624734211667525,0.075118545453120744,5.0932829537641709e-05,0.24553511371908662,0.28348671411779974,1.9435975023292138e-07,1.1583388908595934e-05,0.034079651865926187,2.8904859412822204e-08,1.4565917622834835e-07,5.8586334045606921e-10,0.00089780486756339828,2.2491641477201382e-06,0.0023885774574168685,3.0318485127653271e-07,0.00040348495506581947
0.0006879506390739084,0.16499020575312148,0.0,0.0,0.0,0.0,0.3561911832594219,0.00036797105116093636,0.00013605745411007813,0.07535008217873157,5.0811952570278406e-05,0.24582816245729452,0.28408417380706558,1.942398092425631e-07,1.1616936200610096e-05,0.034269051732709173,2.9010191965017875e-08,1.4637613265539692e-07,5.8874704815654017e-10,0.00090545525477850244,2.2627797607042838e-06,0.0023962887118360531,3.0343928893601607e-07,0.00040620877018995996
0.0006916673939078327,0.1651590694227102,0.0,0.0,0.0,0.0,0.35487134192078629,0.00036726606593719515,0.00013586702851073454,0.075580666382695422,5.0691746607740414e-05,0.24611771888286149,0.28467778471373228,1.9411797094170231e-07,1.1650219145826465e-05,0.034458077576255963,2.9114877614720986e-08,1.4708883512126525e-07,5.9161364577870916e-10,0.00091310508555911849,2.2763329578910796e-06,0.0024039490369798587,3.0368669076245681e-07,0.00040893040798228002
0.0006953841487417569,0.16532724313525513,0.0,0.0,0.0,0.0,0.353560132132547,0.00036656474178895805,0.00013567608640779722,0.075810305043760517,5.0572205417143449e-05,0.24640382448030262,0.28526758456448703,1.9399427443725701e-07,1.1683239749793802e-05,0.034646729378228706,2.9218920311578214e-08,1.4779729143490216e-07,5.9446316473136924e-10,0.00092075410167578994,2.2898236021154683e-06,0.0024115588280249844,3.0392715333872698e-07,0.00041164984190490629
0.0006991009035756812,0.16549473163112693,0.0,0.0,0.0,0.0,0.35225746879961944,0.00036586704481375316,0.00013548464845579487,0.076039005064124615,5.0453322899287447e-05,0.24668652011941683,0.28585361057702507,1.938687580606295e-07,1.1715999978864623e-05,0.034835007149166979,2.9322323966362717e-08,1.4850150961968976e-07,5.9729563728577547e-10,0.00092840204929887352,2.3032515577628827e-06,0.0024191184768515939,3.0416077146546957e-07,0.00041436704613241691
0.0007028176584096055,0.16566153947424322,0.0,0.0,0.0,0.0,0.35096326794391203,0.00036517294168598405,0.00013529273478765077,0.076266773270233609,5.0335092976855177e-05,0.24696584609110456,0.28643589948227804,1.9374145930917246e-07,1.1748501829976205e-05,0.035022910922780259,2.9425092467366612e-08,1.4920149897462363e-07,6.0011110084388495e-10,0.00093604867850726066,2.3166167139798121e-06,0.0024266283720079315,3.0438763928532564e-07,0.00041708199538084445
0.0007065344132435298,0.16582767126195228,0.0,0.0,0.0,0.0,0.34967744669892531,0.00036448239940811776,0.00013510036511035257,0.076493616414190446,5.0217509727045678e-05,0.24724184210627539,0.28701448752732439,1.9361241504612586e-07,1.1780747243183946e-05,0.035210440757828115,2.9527229730740062e-08,1.4989726850569572e-07,6.0290959162918254e-10,0.0009436937435513725,2.3299189597567953e-06,0.002434088898752114,3.04607848993115e-07,0.00041979466503250018
0.000710251168077454,0.16599313149870235,0.0,0.0,0.0,0.0,0.34839992335118791,0.00036379538554665746,0.00013490755869930858,0.076719541174823297,5.0100567206982722e-05,0.24751454726444563,0.28758941045741154,1.9348166155230227e-07,1.181273816100888e-05,0.035397596744504066,2.9628739606957803e-08,1.5058882697351358e-07,6.0569114487816843e-10,0.00095133700314776017,2.3431581961421561e-06,0.0024415004391263105,3.0482149173682762e-07,0.00042250503113240784
