Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14)
9.810964487110931e-10,0.11224539430420902,0.0,0.0,0.0,0.0,0.99999960256573006,3.9479719960377304e-07,1.2872647681276588e-09,3.178714115931185e-11,1.2878998253063892e-09,2.3164763005209422e-11,6.953663839321475e-12,3.1330615161468348e-21
9.999999999999999e-10,0.11224539813413982,0.0,0.0,0.0,0.0,0.99999959490683643,4.0240343811145517e-07,1.3123707887193568e-09,3.3023831463779387e-11,1.313035698137567e-09,2.4069751847551818e-11,7.225381409930918e-12,3.3738367492513754e-21
1.1495406426537045e-09,0.11224539813413982,0.0,0.0,0.0,0.0,0.99999953431786726,4.6257340099921262e-07,1.5113776169831879e-09,4.3638690366356501e-11,1.5123099526106452e-09,3.1845730030475966e-11,9.5602170393468877e-12,5.7776981476553629e-21
1.3179848365963159e-09,0.11224540196422665,0.0,0.0,0.0,0.0,0.9999994660663295,5.3034771725445538e-07,1.7363896610546635e-09,5.7364000728685973e-11,1.7376944896633432e-09,4.1919897334638367e-11,1.2585482675723202e-11,9.7677028880095795e-21
1.4864290305389272e-09,0.11224540579447004,0.0,0.0,0.0,0.0,0.9999993978111108,5.9812014776328263e-07,1.9622970996704318e-09,7.2963028184775297e-11,1.9640571763340193e-09,5.3392829704892474e-11,1.6031277296177604e-11,1.5466403036386177e-20
1.6548732244815386e-09,0.11224540962487065,0.0,0.0,0.0,0.0,0.99999932955220505,6.6589069191931372e-07,2.1890961618297037e-09,9.0435728691436554e-11,2.1914017227256047e-09,6.627006979686694e-11,1.9899425026466576e-11,2.3268083302903481e-20
1.991761612366761e-09,0.11224541728614564,0.0,0.0,0.0,0.0,0.99999919302330431,8.0142611874730895e-07,2.6453542126372211e-09,1.3100197283619043e-10,2.6490510948578226e-09,9.6259536738674719e-11,2.8910109257157265e-11,4.6878274140162962e-20
2.328650000251984e-09,0.11224542494805624,0.0,0.0,0.0,0.0,0.9999990564795741,9.3695399288673927e-07,3.1051342326104675e-09,1.7906238145834196e-10,3.1106716982092575e-09,1.31932190095821e-10,3.9632266651501525e-11,8.4246538804534765e-20
2.6655383881372066e-09,0.11224543261060706,0.0,0.0,0.0,0.0,0.99999891992096224,1.0724743094859093e-06,3.5684071333936114e-09,2.3461660345846925e-10,3.5762921311865236e-09,1.7333154240474489e-10,5.2080741918416292e-11,1.3936233094865462e-19
3.339315163907652e-09,0.11224544793764742,0.0,0.0,0.0,0.0,0.99999864675888284,1.3434922506600631e-06,4.505317454323606e-09,3.6820508644882151e-10,4.5196446439251924e-09,2.7348266049437745e-10,8.2216522788919073e-11,3.1974522815087563e-19
3.924981213581501e-09,0.11224546126247242,0.0,0.0,0.0,0.0,0.99999840926973449,1.5790441940179815e-06,5.3307904309258637e-09,5.0867240747600244e-10,5.3528933727400164e-09,3.7955134774905964e-10,1.1416367367992445e-10,5.7594217220526824e-19
4.51064726325535e-09,0.11224547458929622,0.0,0.0,0.0,0.0,0.9999981717348656,1.814573227259855e-06,6.1664218549965879e-09,6.7178278062175631e-10,6.1986213107777612e-09,5.0353610179554989e-10,1.5154498454509378e-10,9.5100846498455181e-19
5.096313312929199e-09,0.11224548791814185,0.0,0.0,0.0,0.0,0.99999793415400695,2.0500793249034619e-06,7.0120731003894444e-09,8.5753438153132546e-10,7.0569644726579471e-09,6.4565455312249684e-10,1.9444167769374e-10,1.4711569946151372e-18
5.681979362603048e-09,0.11224550124903171,0.0,0.0,0.0,0.0,0.99999769652689152,2.2855624614685192e-06,7.8676093449234686e-09,1.0659253918688928e-09,7.9280550580792783e-09,8.0612139067604778e-10,2.4293584032706615e-10,2.1633700824952875e-18
6.267645412276897e-09,0.11224551458198798,0.0,0.0,0.0,0.0,0.99999745885325464,2.5210226114764709e-06,8.7328994794185508e-09,1.2969539994148315e-09,8.812021542642221e-09,9.8514843234976234e-10,2.971104040858211e-10,3.0553092327269436e-18
6.853311461950746e-09,0.11224552791703261,0.0,0.0,0.0,0.0,0.99999722113283329,2.7564597494503867e-06,9.6078160018644667e-09,1.5506183981618612e-09,9.7089887835828546e-09,1.1829447063863789e-09,3.5704912062148766e-10,4.1752347414254913e-18
