Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18)
3.482121947326243e-06,0.11251024480341268,0.0,0.0,0.0,0.0,0.99512227008200038,0.00065275666639745186,3.0341399093421931e-05,0.00039655707117161474,8.6592648883214142e-05,0.0019673402696383496,0.0017430435058904971,2.5660072075399736e-09,1.1199951161622627e-08,9.2219214476306458e-07,1.4560231216125882e-12,6.6665686271079839e-13,2.6813932465254777e-15,3.0778451251690413e-11,7.1128179731593917e-13,1.623652069494964e-07
3.553086576515179e-06,0.11251885406900969,0.0,0.0,0.0,0.0,0.99496292399884301,0.00065442777146670602,3.0651123934735164e-05,0.00041047096065034537,8.733026813700665e-05,0.0020421623320337847,0.0018108529976384824,2.6705403910688138e-09,1.1727711278237162e-08,9.9235677381107218e-07,1.5708608132195784e-12,7.2495376822778782e-13,2.9158721553627117e-15,3.4451135189980643e-11,7.8009870920228428e-13,1.7375474068475419e-07
3.624051205704115e-06,0.1125275172243425,0.0,0.0,0.0,0.0,0.99480259113115643,0.00065594480852550067,3.094766912779156e-05,0.0004244700222407511,8.8024576954599896e-05,0.0021175489814032555,0.0018792064902982007,2.775668109211171e-09,1.2261397258629368e-08,1.0656423504581139e-06,1.6908193673302746e-12,7.862762987857919e-13,3.1625205867304491e-15,3.843949988752044e-11,8.5322656726828115e-13,1.855991046730028e-07
3.695015834893051e-06,0.11253623111360449,0.0,0.0,0.0,0.0,0.99464133164706059,0.00065731943837216155,3.1231693228571795e-05,0.00043854823889161475,8.8677805062516832e-05,0.0021934647192450589,0.0019480707573067387,2.8813302444076458e-09,1.2800632681073393e-08,1.1420720167916461e-06,1.8159193941382596e-12,8.5065615126523599e-13,3.421466030403903e-15,4.2759500894826059e-11,9.3077501780433521e-13,1.9790049275783609e-07
3.7659804640819867e-06,0.11254499274546628,0.0,0.0,0.0,0.0,0.99447920260023515,0.00065856256800622269,3.1503833346164088e-05,0.0004526999443183943,8.9292106172089144e-05,0.0022698759324637184,0.0020174143042596261,2.9874715500625112e-09,1.3345064799653433e-08,1.2216665152639089e-06,1.9461776565718259e-12,9.1812217171519346e-13,3.6928245096693899e-15,4.7427236488734397e-11,1.0128511213279618e-12,2.1066083870603738e-07
3.836945093270922e-06,0.11255379928383805,0.0,0.0,0.0,0.0,0.99431625804366641,0.00065968438567909392,3.1764704102732752e-05,0.00046691980966282566,8.9869554728076641e-05,0.0023467508236290368,0.0020872073073039516,3.0940412489653598e-09,1.3894363906491495e-08,1.3044443525600562e-06,2.0816075836173433e-12,9.8870059051050582e-13,3.976701527163525e-15,5.2458932563523096e-11,1.0995594966302337e-12,2.2388183744438653e-07
3.907909722459858e-06,0.11256264804324201,0.0,0.0,0.0,0.0,0.9941525491465113,0.00066069439630437004,3.201489694582097e-05,0.00048120282958252102,9.0412143836402913e-05,0.0024240593390879692,0.0021574215492426215,3.2009927937203188e-09,1.4448222606793103e-08,1.3904219577285589e-06,2.2222196151563152e-12,1.0624152619062872e-12,4.273193028406552e-15,5.7870928855643085e-11,1.1910024720534129e-12,2.3756496506014617e-07
3.978874351648794e-06,0.1125715364821011,0.0,0.0,0.0,0.0,0.99398812431243311,0.0006616014567690366,3.2254979745444713e-05,0.00049554430802310626,9.0921784162858947e-05,0.002501773096026969,0.0022280303543902066,3.3082837233900625e-09,1.5006354967826049e-08,1.4796138340227456e-06,2.3680214496052703e-12,1.1392878870378246e-12,4.5823862987327902e-15,6.3679666422224593e-11,1.287280239201431e-12,2.5171149757217621e-07
4.04983898083773e-06,0.11258046219674221,0.0,0.0,0.0,0.0,0.99382302929811972,0.00066241381081919178,3.2485496630229865e-05,0.00050993984385805618,9.1400303645829549e-05,0.0025798653093165305,0.0022990085229737975,3.4158752463766711e-09,1.5568495594960584e-08,1.5720327038998229e-06,2.5190184962821146e-12,1.2193382142428838e-12,4.9043607690177867e-15,6.9901676317703747e-11,1.3884910058565387e-12,2.6632252850393847e-07
4.120803610026666e-06,0.11258942291515119,0.0,0.0,0.0,0.0,0.99365730733105406,0.00066313912326403752,3.2706968026592684e-05,0.0005243853165467113,9.1849447878406747e-05,0.0026583107187581581,0.0023703322656780631,3.523731975444581e-09,1.6134398706105503e-08,1.6676896468653844e-06,2.6752141635063729e-12,1.3025842482958637e-12,5.2391888572604534e-15,7.6553569400666083e-11,1.4947311478578497e-12,2.8139898525290068e-07
4.191768239215602e-06,0.11259841649095201,0.0,0.0,0.0,0.0,0.99349099922587347,0.00066378451332940063,3.291989086881695e-05,0.00053887687191641232,9.2270881056732436e-05,0.0027370855171746523,0.0024419791387577969,3.6318218622412049e-09,1.6703837162318799e-08,1.7665942300802693e-06,2.8366099728509863e-12,1.3890424479944704e-12,5.5869367632967e-15,8.3652027223334685e-11,1.6060953609859807e-12,2.9694164428598272e-07
