Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4)
9.190527381999503e-12,0.11224537220757567,0.0,0.0,0.0,0.0,0.99999999630139436,3.6986055559916879e-09
1e-11,0.11224537241515134,0.0,0.0,0.0,0.0,0.99999999597563305,4.024367047619522e-09
1.8381055007464847e-11,0.11224537241515134,0.0,0.0,0.0,0.0,0.99999999260278882,7.3972111869823521e-09
3.6762110258395534e-11,0.11224537283030271,0.0,0.0,0.0,0.0,0.99999998520557765,1.4794422379297271e-08
7.35242207602569e-11,0.11224537366060545,0.0,0.0,0.0,0.0,0.99999997041115551,2.9588844480189494e-08
9.999999999999999e-11,0.11224537449090818,0.0,0.0,0.0,0.0,0.99999995975633071,4.0243669239876591e-08
1.1028633126211826e-10,0.11224537449090818,0.0,0.0,0.0,0.0,0.99999995561673383,4.4383266235862769e-08
1.8381055226584098e-10,0.11224537615151353,0.0,0.0,0.0,0.0,0.99999992602789156,7.3972108544632712e-08
2.573347732695637e-10,0.11224537781211896,0.0,0.0,0.0,0.0,0.99999989643905063,1.0356094937785024e-07
3.308589942732864e-10,0.11224537947272432,0.0,0.0,0.0,0.0,0.99999986685021136,1.3314978868141444e-07
4.779074362807319e-10,0.11224538279393484,0.0,0.0,0.0,0.0,0.99999980767253704,1.9232746291479832e-07
7.720043202956228e-10,0.1122453894363554,0.0,0.0,0.0,0.0,0.99999968931720951,3.1068279048567782e-07
9.999999999999999e-10,0.11224539541453314,0.0,0.0,0.0,0.0,0.99999959756344137,4.0243655865080062e-07
1.0366915159090246e-09,0.11224539541453314,0.0,0.0,0.0,0.0,0.99999958279744028,4.1720255977214414e-07
1.3013787115224265e-09,0.11224540139271015,0.0,0.0,0.0,0.0,0.99999947627769792,5.2372230204242901e-07
1.5660659071358283e-09,0.11224540737088601,0.0,0.0,0.0,0.0,0.9999993697579852,6.3024201486603694e-07
2.095440298362632e-09,0.11224541932723374,0.0,0.0,0.0,0.0,0.99999915671866113,8.43281338998759e-07
