Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25)
7.54575231357089e-12,0.11224537217152518,0.0,0.0,0.0,0.0,0.99999999694374486,3.0366871195413418e-09,9.7818455192615094e-12,2.2143972006553268e-15,9.7818717947622443e-12,1.6006960803909195e-15,4.8035972969632152e-16,2.1624134749747875e-29,1.6671225521963067e-28,4.4216211589549363e-32
9.1250958989012e-12,0.11224537220742586,0.0,0.0,0.0,0.0,0.99999999630406289,3.6722723286322511e-09,1.1829453972466398e-11,3.1744993187691154e-15,1.1829491686151766e-11,2.2947472530523712e-15,6.886407509864284e-16,4.2752980110400066e-29,2.7959818454489445e-28,8.5211367076847774e-32
1e-11,0.1122453722792272,0.0,0.0,0.0,0.0,0.99999999594969957,4.0243654551237859e-09,1.2963787868545104e-11,3.7601111517830032e-15,1.2963832566993736e-11,2.7180878183587602e-15,8.1568301815254389e-16,5.9412700053256814e-29,3.5584795485203556e-28,1.15706088860343e-31
1.2283783069561823e-11,0.1122453722792272,0.0,0.0,0.0,0.0,0.99999999502469739,4.9434423705129786e-09,1.5924855919051239e-11,5.4693141355791925e-15,1.5924921028291586e-11,3.953693602803087e-15,1.1864819148413277e-15,1.1954672270181096e-28,6.0095993144153248e-28,2.2146057697581437e-31
1.5442470240222444e-11,0.11224537235102863,0.0,0.0,0.0,0.0,0.999999993745331,6.2146118028003274e-09,2.002055778413207e-11,8.3713308991067414e-15,2.0020657638189036e-11,6.0516653045663348e-15,1.8160728265318805e-15,2.6759586417816348e-28,1.099978493130107e-27,4.7129015378529532e-31
1.8601157410883065e-11,0.1122453724228301,0.0,0.0,0.0,0.0,0.99999999246596294,7.4857805842538159e-09,2.4116579888368506e-11,1.1921734489190501e-14,2.411672237961947e-11,8.6184724941800676e-15,2.5863596241055041e-15,5.2853563569150613e-28,1.8318995454722443e-27,8.9616602077590712e-31
2.491853175220431e-11,0.11224537256643317,0.0,0.0,0.0,0.0,0.99999998990722361,1.0028116158055036e-08,3.230960271552405e-11,2.1004236615311519e-14,3.2309854889434674e-11,1.5185217481782509e-14,4.5570122188234761e-15,1.6847565388128973e-27,4.2925119380225449e-27,2.754852166176235e-30
3.123590609352555e-11,0.11224537271003646,0.0,0.0,0.0,0.0,0.99999998734847917,1.2570449087942016e-08,4.0503926162109816e-11,3.2720760135618941e-14,4.0504320734995057e-11,2.365704274566184e-14,7.099376235246021e-15,4.0595683572561137e-27,8.3644444905409052e-27,6.5580275732736695e-30
4.387065477616804e-11,0.11224537299724367,0.0,0.0,0.0,0.0,0.99999998223097497,1.7655107010545738e-08,5.6896476413056012e-11,6.4061114844770073e-14,5.6897256172948575e-11,4.6321297355319295e-14,1.3900859986705486e-14,1.6146891989674679e-26,2.3726075383448524e-26,2.6506203495903815e-29
6.914015214145302e-11,0.11224537357166067,0.0,0.0,0.0,0.0,0.99999997199590529,2.7824391104842099e-08,8.9697183890193493e-11,1.5837214535604834e-13,8.9699149554458523e-11,1.1454309879254386e-13,3.4374193982272224e-14,1.0545145826196173e-25,1.0040719305941004e-25,1.8718472262380521e-28
9.999999999999999e-11,0.11224537472050493,0.0,0.0,0.0,0.0,0.9999999594964285,4.0243360281027368e-08,1.297825647959449e-10,3.30750379305404e-13,1.297867811398896e-10,2.3929648413754024e-13,7.1813122513565771e-14,5.3814127816602719e-25,3.5095699596785155e-25,1.0893842738743579e-27
1.1967914687202296e-10,0.11224537472050493,0.0,0.0,0.0,0.0,0.9999999515255209,4.8162832276278535e-08,1.5536097242021094e-10,4.7351979561432078e-13,1.5536708474343806e-10,3.4264445979711146e-13,1.0282840037831491e-13,9.9988652352744082e-25,6.0082284912853375e-25,2.070068989806586e-27
1.702181416025929e-10,0.11224537586936294,0.0,0.0,0.0,0.0,0.999999931054809,6.8501104080087778e-08,2.2110785210297822e-10,9.5736767487057113e-13,2.2112062393002981e-10,6.9306169624865438e-13,2.0799194529411772e-13,3.7610020922480707e-24,1.8249740727746844e-24,8.2545628403304065e-27
2.2075713633316283e-10,0.11224537701823468,0.0,0.0,0.0,0.0,0.99999991058377025,8.8839206500039506e-08,2.8693772034923469e-10,1.6099152778825491e-12,2.869598687850701e-10,1.1659423717047125e-12,3.4991051486209821e-13,1.0010004735800544e-23,4.191958966281793e-24,2.3080161747259294e-26
2.7129613106373277e-10,0.11224537816712016,0.0,0.0,0.0,0.0,0.99999989011240398,1.0917713951980096e-07,3.5285047111821863e-10,2.4311616384514843e-12,3.5288492395524136e-10,1.7614385301183729e-12,5.2863129241564759e-13,2.1903492385351263e-23,8.212047020198186e-24,5.3026900087901213e-26
3.7237412052487265e-10,0.11224538046493245,0.0,0.0,0.0,0.0,0.99999984916868812,1.4985249729885706e-07,4.8492422803419053e-10,4.5797463874366776e-12,4.8499285159519121e-10,3.3208395513810717e-12,9.9665457727153956e-13,7.3421868522057218e-23,2.3566695760001967e-23,1.9618952848233744e-25
