Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535)
1e-12,0.11224537202820618,0.0,0.0,0.0,0.0,0.99999999959497077,4.0243664085298227e-10,1.2962139470445819e-12,4.8058825620109685e-17,1.2962145139742105e-12,3.4737307668713419e-17,1.0424430044299381e-17,1.6457170659526432e-32,6.856370827267879e-31,3.9497553433697492e-35,4.3250460485183575e-50,9.0161907419669453e-53,1.8346900225366697e-55,3.5329773774713015e-57,7.9632256402199223e-58,6.2079476829116772e-37,2.5779176977931993e-38,5.5534604438144437e-54,2.0006858749745523e-51,3.1294759807985451e-48,1.6486889616562686e-55,3.3183879824894522e-65,1.4791555153476707e-105,1.8124926034150167e-88
1.2408497048509023e-12,0.11224537202820618,0.0,0.0,0.0,0.0,0.99999999949741958,4.9936337882456227e-10,1.6084107276063143e-12,6.779838440660302e-17,1.6084115274786284e-12,4.9005280572666191e-17,1.4706152212095976e-17,2.5873309459558468e-32,1.0384693631192371e-30,6.2101127761850979e-35,7.000073815123671e-50,1.4592661989373451e-52,2.9790907264193687e-55,5.7462832980377373e-57,1.2951950825696892e-57,9.9497007705512734e-37,4.1317142443454296e-38,9.0325561028299495e-54,3.2383288389890114e-51,5.0649766456021379e-48,2.6815520220542142e-55,5.410594941750925e-65,2.417520814608263e-105,2.9616442914738868e-88
2.4816999356426913e-12,0.11224537205641236,0.0,0.0,0.0,0.0,0.99999999899483882,9.9872683329147663e-10,3.2168891316817791e-12,2.7119359569380353e-16,3.2168923360484222e-12,1.9602468392987441e-16,5.8825702761099064e-17,4.1376777009317949e-31,8.3371590779386639e-30,9.9702180964950149e-34,4.4908747315525987e-48,9.3651528736469147e-51,2.537483391991479e-53,7.3755214144629244e-55,1.6624022944021145e-55,3.1823734884618744e-35,1.3212806990224139e-36,1.1596777125380121e-51,2.1068353226354746e-49,3.2402202792899841e-46,3.444452656980668e-53,1.3894252901526507e-62,1.8466514540490905e-101,6.0554352783325948e-85
3.722550166434481e-12,0.11224537208461856,0.0,0.0,0.0,0.0,0.99999999849225796,1.498090185683688e-09,4.8254177795453467e-12,5.7628640412229787e-16,4.8254245959862689e-12,4.1655763181356124e-16,1.2500620929114204e-16,1.5771279608508181e-30,2.3895205214600127e-29,3.6766062273763415e-33,2.5081321101840916e-47,4.6506481626789626e-50,1.338696730640291e-52,4.3716349215803736e-54,9.8533912031722334e-55,1.493318385914773e-34,6.199636368798362e-36,7.5895234276844269e-51,1.1910051557483961e-48,1.820753023476133e-45,2.2676182770414783e-52,1.0448025622163266e-61,1.0580753980511607e-100,4.8061018536105369e-84
4.96340039722627e-12,0.11224537211282476,0.0,0.0,0.0,0.0,0.99999999798967654,1.9974534360009527e-09,6.4339966695854841e-12,9.8307679196261846e-16,6.4340083088795773e-12,7.1060642047920852e-16,2.1324837745098776e-16,4.2425645210512077e-30,5.0532683495734912e-29,9.3432908225635493e-33,9.4336551438391147e-47,1.9709878819482042e-49,5.760131672365215e-52,1.9773220332256659e-53,4.4567512467668226e-54,4.6543624374595469e-34,1.9321813687690679e-35,3.1725208230691573e-50,4.2837765711117967e-48,6.4859432379284934e-45,9.1341384513588599e-52,4.8298144730367382e-61,1.8120262277595843e-99,4.02182461343933e-83
7.445100858809848e-12,0.11224537216923716,0.0,0.0,0.0,0.0,0.99999999698451381,2.9961796969069692e-09,9.6512723594513266e-12,2.0353355075255296e-15,9.6512964959958568e-12,1.4712482979196771e-15,4.4151227189186435e-16,1.7154611365341531e-29,1.3881714917661264e-28,3.2817096473693728e-32,6.7989678526776456e-46,1.7863655589209751e-48,5.4426746388889831e-51,2.0588397030490337e-52,4.6404701432541158e-53,2.2926554420767502e-33,9.5166478087612377e-35,2.6323917472057921e-49,2.6316389438499103e-47,3.8450730668639744e-44,6.4907916718321732e-51,4.6035668864009959e-60,1.9736616802130636e-97,1.6085015570927706e-81
9.926801320393427e-12,0.1122453722256496,0.0,0.0,0.0,0.0,0.99999999597935041,3.9949055823635871e-09,1.2868732794072618e-11,3.4615723512458405e-15,1.2868773906899888e-11,2.5022532159696447e-15,7.5091062671202409e-16,4.6454594221387075e-29,2.9196442962940771e-28,8.2316294041952372e-32,2.5011175875951073e-45,7.0687873836392048e-48,2.2271391101073425e-50,9.2444864289110922e-52,2.0836305820293347e-52,7.1922549842254442e-33,2.9852224687916108e-34,1.1002534841061283e-48,9.5302009259959344e-47,1.3674880450932961e-43,2.5887724829583382e-50,2.136770274943783e-59,1.7176339417360032e-96,1.101548108851975e-80
1e-11,0.11224537228206205,0.0,0.0,0.0,0.0,0.99999999594970246,4.0243633682977325e-09,1.296363599328287e-11,3.5097232953502877e-15,1.2963677680017588e-11,2.5370613596604534e-15,7.6135634462668398e-16,4.7752645637370204e-29,2.9783631612277135e-28,8.4437085713194992e-32,2.6023477884783427e-45,7.3767682242247595e-48,2.3266368158386768e-50,9.6982756850596367e-52,2.1859105022611726e-52,7.433838610494448e-33,3.0854837392801656e-34,1.150787434998274e-48,9.911611065170556e-47,1.4208293537292249e-43,2.7039119399454233e-50,2.2467658887039118e-59,1.9304382494340018e-96,1.1981363738259653e-80
1.2408501781977006e-11,0.11224537228206205,0.0,0.0,0.0,0.0,0.9999999949741859,4.9936310656230311e-09,1.6086391158964649e-11,5.2884999286039362e-15,1.6086454068415311e-11,3.8229481672971739e-15,1.1472434776651893e-15,1.0432908804446014e-28,5.3434173219611179e-28,1.7533841556008601e-31,7.4517352578910273e-45,2.237407035434401e-47,7.1940684321910521e-50,3.2359205786510918e-51,7.2934708335604184e-52,1.8485201814046431e-32,7.6718521316340744e-34,3.6395964293704619e-48,2.8148337115992832e-46,3.9541338782768322e-43,8.3438330470256853e-50,7.8012275655367246e-59,1.4300737870982727e-95,6.5764950964639357e-80
1.7371902705144162e-11,0.1122453723948871,0.0,0.0,0.0,0.0,0.99999999296385478,6.9910808003387533e-09,2.252231403962214e-11,1.0169595545853194e-14,2.252243545097793e-11,7.3517088103163379e-15,2.2062053594991929e-15,4.0415740778204997e-28,1.4292844075968745e-27,6.5025492025915927e-31,6.2427749221562304e-44,1.8711401977070855e-46,6.5034566584241214e-49,4.3236480709656778e-50,9.7448768778718173e-51,1.041859841747222e-31,4.3224634958215358e-33,4.7165803835132917e-47,2.5450482736370484e-45,3.3008623193716748e-42,1.0781818502386779e-48,1.6004593809426884e-57,2.9832448553008872e-93,6.9484678976436695e-78
