Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50)
0.00010687545528683321,0.12476502416818552,0.0,0.0,0.0,0.0,0.79219117936252226,0.00058263766541391169,0.00010461643603360579,0.019384490476194824,8.3871478237523947e-05,0.094788043304506936,0.090278484849930146,1.193228094413501e-07,1.8493324795342167e-06,0.002584693432036243,3.4611356244304516e-09,1.0835119574891825e-08,4.3580461755973514e-11
0.00010751744555946188,0.12483279623847282,0.0,0.0,0.0,0.0,0.79118977271839142,0.00058220219917371374,0.00010487988788437577,0.019487081468017909,8.3800786940573432e-05,0.095222769677402924,0.090715902891281092,1.1978047696701986e-07,1.8641439899689056e-06,0.0026115919357570299,3.4945416036771246e-09,1.0972011353466646e-08,4.4131060844476912e-11
0.00010880142610471921,0.12496807833733072,0.0,0.0,0.0,0.0,0.78919441839760029,0.0005813341235887153,0.00010540241776258676,0.019691789540219426,8.3659959940449836e-05,0.096088201816645846,0.091587501270648783,1.2068890095057575e-07,1.8938194359943693e-06,0.0026656631104153305,3.5615758541206084e-09,1.1248024491750217e-08,4.5241226728415816e-11
0.00011008540664997654,0.1251030126162091,0.0,0.0,0.0,0.0,0.78720894284273357,0.00058046983420865562,0.00010591917307481244,0.019895868818756487,8.3519867140093736e-05,0.096948311316945299,0.092454811757284414,1.2158819613624404e-07,1.9235628857713023e-06,0.002720096036522646,3.6289006358602469e-09,1.1526988197955986e-08,4.6363260235387042e-11
0.00011136938719523387,0.1252376009583845,0.0,0.0,0.0,0.0,0.78523326698221674,0.00057960930361262552,0.00010643022110385506,0.020099322978097332,8.3380501277843227e-05,0.097803143544490836,0.093317868872480406,1.2247846433507036e-07,1.9533720750014097e-06,0.0027748861932991383,3.6965090330775297e-09,1.1808875772245915e-08,4.7497053974671416e-11
0.0001126533677404912,0.12537184517533062,0.0,0.0,0.0,0.0,0.78326731280532502,0.00057875250486519856,0.00010693562913046457,0.020302155659371112,8.32418540147511e-05,0.098652743230415063,0.09417670667032578,1.2335980639195595e-07,1.9832448233365973e-06,0.0028300291352252541,3.7643942163089897e-09,1.2093660725796233e-08,4.8642501404279331e-11
0.00011393734828574853,0.1255057471316161,0.0,0.0,0.0,0.0,0.78131100312703261,0.00057789941112470101,0.00010743546201595729,0.020504370468638292,8.3103918731594769e-05,0.099497154630577206,0.09503135884180873,1.2423232105474106e-07,2.0131789404890894e-06,0.0028855204651442854,3.8325495398895102e-09,1.2381316136381513e-08,4.9799494239017079e-11
0.00011522132883100585,0.1256393086340123,0.0,0.0,0.0,0.0,0.77936426162291517,0.00057704999577486247,0.00010792978467498976,0.020705970977844049,8.2966687885926895e-05,0.10033642149954151,0.09588185870029059,1.2509610616827131e-07,2.0431723095187425e-06,0.0029413558389058399,3.9009684195698132e-09,1.2671815120728531e-08,5.0967924350362006e-11
0.00011650530937626318,0.1257725314815181,0.0,0.0,0.0,0.0,0.77742701283455073,0.0005762042324716438,0.0001084186608665384,0.020906960725460944,8.2830154278609397e-05,0.10117058708602075,0.096728239178415637,1.2595125819943859e-07,2.0732228399204697e-06,0.0029975309669141035,3.9696443899601963e-09,1.2965130843348929e-08,5.2147683801988034e-11
0.00011778928992152051,0.12590541744973735,0.0,0.0,0.0,0.0,0.77549918218429015,0.0005753620951286008,0.00010890215327081189,0.021107343217305702,8.2694310953240754e-05,0.10199969412138088,0.097570532821467812,1.2679787217036382e-07,2.103328479503752e-06,0.0030540416167050108,4.0385711104415774e-09,1.3261236268143663e-08,5.3338663850685703e-11
0.00011907327046677784,0.12603796830063427,0.0,0.0,0.0,0.0,0.77358069592821388,0.00057452355789223346,0.00010938032372364294,0.021307121926603053,8.2559151024803347e-05,0.10282378485051484,0.098408771808430634,1.2763604186790149e-07,2.133487213280235e-06,0.0031108836079543592,4.1077423421601948e-09,1.3560104331933847e-08,5.4540755644326428e-11
0.00012035725101203517,0.12617018579094266,0.0,0.0,0.0,0.0,0.77167148116573747,0.00057368859521173758,0.00010985323350563362,0.021506300294641994,8.2424667344828861e-05,0.10364290102392908,0.09924298794775939,1.2846585988286326e-07,2.1636970797812967e-06,0.0031680528143162444,4.1771519431949617e-09,1.3861708139869746e-08,5.5753851007819844e-11
0.0001216412315572925,0.12630207164176224,0.0,0.0,0.0,0.0,0.76977146582667133,0.00057285718168530316,0.00011032094218427925,0.021704881731362591,8.2290853723126006e-05,0.10445708390541746,0.10007321268263511,1.2928741743712434e-07,2.1939561094582444e-06,0.0032255451630014329,4.2467938981205228e-09,1.4166020605417279e-08,5.6977840995104287e-11
