Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18)
2.097419259567906e-12,0.11224537204767712,0.0,0.0,0.0,0.0,0.99999999915048376,8.4407826806815689e-10,2.7187500018479787e-12,1.9370971743525863e-16,2.7187522896026261e-12,1.4001685730808607e-16,4.2018121266468558e-17,2.1113902034414829e-31,5.0274930880937663e-30,5.0814685884009779e-34,1.6357705155169033e-48,3.4098598855318124e-51,8.7166981683638859e-54,2.2696138007983557e-55,5.1156030380438516e-56,1.3724351790472847e-35
3.1461291116024484e-12,0.1122453720715157,0.0,0.0,0.0,0.0,0.99999999872572565,1.2661173700566282e-09,4.0781851067058527e-12,4.1163316352204056e-16,4.0781899725080885e-12,2.9753895226463008e-16,8.9289469385046454e-17,8.0481203295764709e-31,1.4404132296474194e-29,1.8732949390283791e-33,9.1347285165074787e-48,1.6930661817734004e-50,4.6298720444186954e-53,1.345087872014905e-54,3.0317557512690004e-55,6.4402852410708163e-35
4.1948389636369906e-12,0.1122453720953543,0.0,0.0,0.0,0.0,0.99999999830096686,1.6881563991345161e-09,5.4376560995456366e-12,7.0219774576882548e-16,5.437664406822144e-12,5.0757134618017717e-16,1.5231883504182382e-16,2.1650559203328327e-30,3.0449210660212573e-29,4.7591113577036686e-33,3.435233678290862e-47,7.1732845331686192e-50,1.9959996062519478e-52,6.0824347185387957e-54,1.3709458139238031e-54,2.0073504502237165e-34
6.292258667706075e-12,0.11224537214303147,0.0,0.0,0.0,0.0,0.99999999745144952,2.5322342860559639e-09,8.1566823087265762e-12,1.4538111776505993e-15,8.1566995313500938e-12,1.0508788907456698e-15,3.1536199016074318e-16,8.7547176223962677e-30,8.3572737588502226e-29,1.6704573552460819e-32,2.4744561103878762e-46,6.4950235638141683e-49,1.8937053169010083e-51,6.3278643495366655e-53,1.4262599547844347e-53,9.888223878775211e-34
8.38967837177516e-12,0.11224537219070865,0.0,0.0,0.0,0.0,0.99999999660193151,3.3763119047998806e-09,1.0875840482548971e-11,2.4725518891406472e-15,1.0875869811685908e-11,1.7872970477696652e-15,5.3635653473196028e-16,2.3708734430982314e-29,1.7563384103229381e-28,4.1876145127498679e-32,9.1001342254186271e-46,2.5688186403090462e-48,7.779594716510969e-51,2.83997972112095e-52,6.4011128873243206e-53,3.10211363765697e-33
1e-11,0.11224537228606311,0.0,0.0,0.0,0.0,0.99999999594970257,4.0243634249720287e-09,1.2963608028370284e-11,3.4531187557444242e-15,1.2963649040838305e-11,2.4961424302960259e-15,7.4907681841381393e-16,4.993162074238064e-29,2.9181235187904574e-28,8.4678420410205107e-32,3.3942866187390313e-45,9.6380259368321785e-48,3.1566219077701499e-50,1.6152678012027545e-51,3.6406335428131749e-52,8.4992950051958214e-33
1.2584517779913328e-11,0.11224537228606311,0.0,0.0,0.0,0.0,0.99999999490289415,5.0644662618837478e-09,1.631459011634243e-11,5.387185484169439e-15,1.6314654217102461e-11,3.89429848809766e-15,1.1686553659995033e-15,1.187869167482196e-28,5.6089043174255789e-28,1.9600382880524983e-31,1.096876457832572e-44,3.1144542610712418e-47,1.0472963046154106e-49,5.8615531090215105e-51,1.3211235911440438e-51,2.4015737798256043e-32
1.6779357188051495e-11,0.11224537238141774,0.0,0.0,0.0,0.0,0.99999999320385413,6.7526194583777676e-09,2.1753910868352921e-11,9.458083215398648e-15,2.1754023740016299e-11,6.8373163587007582e-15,2.0518389193153216e-15,3.561407453919347e-28,1.2880949886965439e-27,5.7292341530876184e-31,5.098199459188654e-44,1.4979066022047609e-46,5.1932874614579621e-49,3.4100668889878421e-50,7.6858059055310847e-51,9.0789497014548974e-32
2.5169036004327833e-11,0.11224537257212712,0.0,0.0,0.0,0.0,0.99999998980576787,1.0128922353547672e-08,3.2634273301535075e-11,2.1084647931820026e-14,3.2634526539265889e-11,1.5243410176088005e-14,4.5744673447795103e-15,1.8390990834571448e-27,4.3941477363532739e-27,2.9710285963642623e-30,6.5915623773186941e-43,1.8991178069113251e-45,6.9569450392388304e-48,7.1429259079261663e-49,1.6098473202023588e-49,7.376554369437127e-31
4.1948393636880505e-11,0.11224537295354704,0.0,0.0,0.0,0.0,0.99999998300956838,1.6881514148748762e-08,5.4401881578545625e-11,5.8280382895869218e-14,5.4402590977749214e-11,4.2141334836105296e-14,1.2646443786415711e-14,1.4966138909921252e-26,2.1575979710691656e-26,2.5650800810644399e-29,1.7812240502113522e-41,4.8508335884855755e-44,1.8549686598251205e-46,3.5062976478414675e-47,7.901603227668607e-48,1.09931127970929e-29
