Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(809),C5H8(470),C7H9(588)
1e-12,0.11224537202967877,0.0,0.0,0.0,0.0,0.99999999959497077,4.0243664020532715e-10,1.2962142666428439e-12,4.8705680577033733e-17,1.2962148412257135e-12,3.5204875947837333e-17,1.0564744224436288e-17,1.7794387126589331e-32,7.1417763027257403e-31,4.2714245031966781e-35,5.1222687728693738e-50,1.0678139747538448e-52,2.2248028815621445e-55,4.3943707558467662e-57,9.9047750881203962e-58,7.0123834507338322e-37,2.9119439043322179e-38,6.9076875453440538e-54,2.3711409905724797e-51,3.7057967421028514e-48,2.0507765292121669e-55,4.3389751205334e-65,2.4823391227666246e-105,2.7480520761241628e-88,9.8479066277112656e-91,2.3273781009837635e-80,1.1807064469520241e-126
1.3056326831256632e-12,0.11224537202967877,0.0,0.0,0.0,0.0,0.99999999947118079,5.2543441882189479e-10,1.692385378371574e-12,7.5062496614916726e-17,1.6923862640149622e-12,5.4255896916408139e-17,1.628182691488254e-17,3.1713783090931011e-32,1.2099834233189666e-30,7.6135020887849217e-35,9.5009809704231265e-50,1.9806201313265947e-52,4.1448837246345477e-55,8.2064492208383173e-57,1.8497080726263217e-57,1.2832410866827213e-36,5.3287399837159728e-38,1.2900079274726192e-53,4.3985271487598786e-51,6.8735147717935475e-48,3.8298236595757268e-55,8.1307445239025322e-65,4.6670683909622683e-105,5.1649890770295346e-88,1.8513200260931048e-90,4.3695931246080452e-80,2.2200749014106828e-126
2.6112659196508307e-12,0.11224537205935754,0.0,0.0,0.0,0.0,0.99999999894236102,1.0508689097633782e-09,3.3848456465998648e-12,3.0025004912185566e-16,3.3848491948552173e-12,2.1702773316738916e-16,6.5128580930244631e-17,5.0715590061492417e-31,9.7159095910460927e-30,1.2225503252810373e-33,6.0960859454399447e-48,1.2713399064594098e-50,3.5014960622471902e-53,1.0535152553075159e-54,2.3745632046579337e-55,4.1042941262519924e-35,1.7040190728094285e-36,1.6564838287971165e-51,2.8640382420048305e-49,4.3971006417749093e-46,4.9203016577072493e-53,2.0882881484250207e-62,3.5536802451409668e-101,1.0523182324276173e-84,7.4757593601976205e-87,2.4050618444518659e-77,1.4295855901649388e-121
3.916899156175998e-12,0.11224537208903633,0.0,0.0,0.0,0.0,0.99999999841354092,1.5763032876935481e-09,5.0773615415998239e-12,6.3803136673177046e-16,5.0773690899854617e-12,4.6118996333201319e-16,1.3840008714696308e-16,1.9330654499234211e-30,2.7850243958294682e-29,4.508701313626009e-33,3.4048016961863878e-47,6.3136557552308645e-50,1.8436366306226579e-52,6.2446722780910031e-54,1.407508131755629e-54,1.9259075364029373e-34,7.9953908103336352e-36,1.0841447831955551e-50,1.6195316998669169e-48,2.4708119054806401e-45,3.2394125274024132e-52,1.570399042945492e-61,2.0338105764839257e-100,8.3446668033550681e-84,6.660776211813134e-86,1.547678984225479e-76,9.1509136430002017e-121
5.222532392701166e-12,0.11224537211871513,0.0,0.0,0.0,0.0,0.99999999788472049,2.1017375526121221e-09,6.76993306149413e-12,1.0884064287908235e-15,6.769945951254921e-12,7.8674526240415091e-16,2.3609716761246967e-16,5.2000046655319162e-30,5.8904528662059618e-29,1.1459059643761169e-32,1.2807048227038949e-46,2.6760476649965644e-49,7.9285329264952884e-52,2.8247437370653968e-53,6.3667738157453883e-54,6.0026015416951764e-34,2.4918179072687249e-35,4.5321713683587413e-50,5.8278549515538241e-48,8.8015526626830471e-45,1.3049804544849189e-51,7.2599289184669589e-61,3.4860428485520218e-99,6.9828195294045762e-83,5.61351481894933e-85,1.1779279021660705e-75,2.9590845162582651e-119
7.8337988657515e-12,0.11224537217807277,0.0,0.0,0.0,0.0,0.9999999968270793,3.1526058170353892e-09,1.0155206643096356e-11,2.2534071163431795e-15,1.0155233374983304e-11,1.6288887075815234e-15,4.8881920593707896e-16,2.1025645671516107e-29,1.6186311748722161e-28,4.0257521869834712e-32,9.2320790650925035e-46,2.4261779246042559e-48,7.4830410287454542e-51,2.942029554602721e-52,6.6311030663239337e-53,2.9567334446170759e-33,1.2272817032514884e-34,3.7613398171336825e-49,3.5863889130279122e-47,5.2178093303034619e-44,9.2765835815841216e-51,6.9211465477012326e-60,3.7965547741272246e-97,2.7916809962358109e-81,2.3866372099313477e-83,3.1877139630025109e-74,1.4348800200883433e-116
1e-11,0.11224537223743043,0.0,0.0,0.0,0.0,0.99999999594970257,4.0243633439403637e-09,1.2963648009458951e-11,3.5340502543479562e-15,1.2963689990597485e-11,2.5546504445896075e-15,7.6663474815005888e-16,4.9395935446093719e-29,3.0472250757959847e-28,8.8388168071309294e-32,2.8563570008201787e-45,8.0244214346172737e-48,2.548856255930187e-50,1.0923713951195926e-51,2.4621108448928086e-52,7.9183533701123838e-33,3.2865127120771245e-34,1.3072588005988116e-48,1.0941440240650436e-46,1.5646997792000856e-43,3.0883316352906855e-50,2.6488175751891229e-59,2.6242563063827398e-96,1.5360251824551404e-80,1.4550662974114238e-82,1.3963583115500294e-73,1.467647466623856e-115
1.0445065338801835e-11,0.11224537223743043,0.0,0.0,0.0,0.0,0.99999999576943766,4.2034736657822166e-09,1.354068476139142e-11,3.8324549935856758e-15,1.3540730298588205e-11,2.7703657166246769e-15,8.3136962143879917e-16,5.6936533331020861e-29,3.4052575809340074e-28,1.0099925026162822e-31,3.3965572903933953e-45,9.6022202427420618e-48,3.0586718502891742e-50,1.3212200426295759e-51,2.9779150680030916e-52,9.2754233454521306e-33,3.8497319615001708e-34,1.5723134710441838e-48,1.2998757405938832e-46,1.8556869224901883e-43,3.7006412342688638e-50,3.2128631156970892e-59,3.3024538025802819e-96,1.9100457197484491e-80,1.8198778628354352e-82,1.7101716366550574e-73,1.8750708224409045e-115
1.305633181185217e-11,0.11224537229678816,0.0,0.0,0.0,0.0,0.99999999471179457,5.2543410692388775e-09,1.6926382013853044e-11,5.8551247223659409e-15,1.6926451698959488e-11,4.2325751364703925e-15,1.2701702220654744e-15,1.2786783537334537e-28,6.2338501690303612e-28,2.15177840059074e-31,1.012096887994869e-44,3.0399054177401861e-47,9.8734224395453145e-50,4.6255539952489497e-51,1.0425557603273877e-51,2.3838989624630047e-32,9.8934357931390317e-34,5.2018613111296681e-48,3.8430572244652035e-46,5.365746819396537e-43,1.1930079949002915e-49,1.1731419814742466e-58,2.7503712746120391e-95,1.1400926923368769e-79,1.1223861920818331e-81,8.8836825405952401e-73,2.5813661759917446e-114
1.827886475795284e-11,0.11224537241550364,0.0,0.0,0.0,0.0,0.99999999259650652,7.3560745123681414e-09,2.3698447601231021e-11,1.1259194547268029e-14,2.3698582114284752e-11,8.1394589023765051e-15,2.4426051018808284e-15,4.9531685588881986e-28,1.6685531377943692e-27,7.9849426155312419e-31,8.4841023438961504e-44,2.5442108583217228e-46,8.9033268469988139e-49,6.185315110024269e-50,1.3940759911551675e-50,1.3435417204179811e-31,5.5737620731290244e-33,6.7462102301876662e-47,3.4867848952548731e-45,4.4791093322783526e-42,1.543215223099913e-48,2.4086956198147932e-57,5.7069686241661843e-93,1.1951009715474895e-77,2.2116216915646066e-79,2.963593598604201e-71,3.1472963875420092e-111
