Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30)
2.934776815895423e-09,0.11224543873493087,0.0,0.0,0.0,0.0,0.99999881077347852,1.1807758360173625e-06,3.9411375430199732e-09,2.8440230323375629e-10,3.9513013918181392e-09,2.1056369416458877e-10,6.3280618420966064e-11,1.9909173968886047e-19,4.5469402164981047e-20,2.5218707588626988e-21,2.7441493577325926e-30,1.8045887432386119e-32,7.2482993304448492e-35,4.4599792531351351e-34
3.2611814999841183e-09,0.11224544616014775,0.0,0.0,0.0,0.0,0.99999867843859447,1.3120658208508372e-06,4.3959607484412898e-09,3.5117715384385841e-10,4.4094110961564841e-09,2.6067470735821744e-10,7.8360956982644631e-11,2.9335740902969142e-19,6.8157228157267793e-20,4.1804795900242668e-21,5.3634087036873335e-30,3.6656222656968175e-32,1.4725161500420061e-34,9.9113494040060699e-34
3.5875861840728135e-09,0.11224545358597736,0.0,0.0,0.0,0.0,0.99999854608960481,1.443348698588588e-06,4.8539894561259904e-09,4.24985763855893e-10,4.8713476528958446e-09,3.1627289370378271e-10,9.5100913967411576e-11,4.1569175279238514e-19,9.838576943015346e-20,6.6161772285553634e-21,9.8548620825393626e-30,6.9875166221014328e-32,2.8072609585033605e-34,2.0577731944355228e-33
3.913990868161509e-09,0.11224546101242365,0.0,0.0,0.0,0.0,0.99999841372646203,1.5746244648189989e-06,5.315198748556543e-09,5.0582781609046112e-10,5.3371355300170223e-09,3.7739663804499598e-10,1.135143400665036e-10,5.7037574941920796e-19,1.3763689701721259e-19,1.0073515141660018e-20,1.7190777679612582e-29,1.261990434326756e-31,5.0705673612828474e-34,4.0318151978788941e-33
4.566800236338899e-09,0.11224547586718246,0.0,0.0,0.0,0.0,0.99999814895753114,1.8371546451122309e-06,6.2470613083184154e-09,6.8861098131446711e-10,6.2803612213887987e-09,5.1637287876508847e-10,1.5541743298426925e-10,9.9445746919855322e-19,2.4974323708338421e-19,2.1267361588302884e-20,4.6015962040875535e-29,3.6221467453505306e-31,1.4555701547545936e-33,1.3542729076557261e-32
5.21960960451629e-09,0.11224549072445585,0.0,0.0,0.0,0.0,0.99999788413142887,2.0996563264411282e-06,7.1913566071692315e-09,8.9952412335603931e-10,7.2392763737080096e-09,6.7790469629303522e-10,2.041827536570188e-10,1.6018917904173614e-18,4.1875014278145884e-19,4.0688053374290214e-20,1.0741731085945189e-28,9.0151602065040691e-31,3.623179774044362e-33,3.8584481822917333e-32
5.87241897269368e-09,0.1122455055842749,0.0,0.0,0.0,0.0,0.99999761924778685,2.3621294735190951e-06,8.147898725714847e-09,1.1385647253517405e-09,8.2140632722388528e-09,8.622887950764581e-10,2.5992416270439773e-10,2.4302607381811415e-18,6.608275189190802e-19,7.2154876381614406e-20,2.2590970395438999e-28,2.0107461230389013e-30,8.0818620894262784e-33,9.6719758094531381e-32
6.525228340871071e-09,0.11224552044667026,0.0,0.0,0.0,0.0,0.99999735430623837,2.6245740510621907e-06,9.1165074581607993e-09,1.4057302799271503e-09,9.2048984714472368e-09,1.0698174613743198e-09,3.2275682001764643e-10,3.5181576760833654e-18,9.9397973007263719e-19,1.2049653820949674e-19,4.3807577202069545e-28,4.1166620176399001e-30,1.654738896768823e-32,2.1955711582322446e-31
7.178037709048461e-09,0.11224553531167203,0.0,0.0,0.0,0.0,0.99999708930642106,2.8869900237889426e-06,1.0097008113902759e-08,1.7010182893494221e-09,1.0211952993280386e-08,1.3007787159488774e-09,3.9279713903066484e-10,4.9050196114458061e-18,1.4379819003314998e-18,1.916596138019836e-19,7.9590892791818276e-28,7.8680208052568881e-30,3.1628197256103568e-32,4.6060034992775531e-31
7.830847077225852e-09,0.11224555017930997,0.0,0.0,0.0,0.0,0.99999682424797443,3.149377356420182e-06,1.1089231339679915e-08,2.0244262656748437e-09,1.123539250487511e-08,1.5554564508574091e-09,4.701627456605433e-10,6.6310472011134431e-18,2.0143240978338026e-18,2.9280996671387743e-19,1.370469740046884e-27,1.420950131146067e-29,5.7122662951952982e-32,9.0585447594599672e-31
