Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50)
9.668617389500948e-13,0.11224537202197805,0.0,0.0,0.0,0.0,0.9999999996083927,3.8910082171094799e-10,1.253258298207785e-12,4.1163281851387224e-17,1.2532587836559095e-12,2.9753062738823386e-17,8.9286977508975188e-18,9.5388120104651619e-33,4.9089597505981088e-31,2.2874516807912827e-35,1.4611650903331673e-50,3.2643809943444274e-53,5.8467866279905168e-56
1e-12,0.11224537204395613,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243687727195117e-10,1.2962139214481442e-12,4.5395777702352502e-17,1.2962144568901475e-12,3.2812392756206126e-17,9.8467829032358774e-18,1.4440957789710587e-32,6.0904237168160894e-31,3.4668054676678808e-35,4.6224255755369206e-50,1.0327568958905712e-52,2.3438184248286154e-55
1.933723887709789e-12,0.11224537204395613,0.0,0.0,0.0,0.0,0.99999999921678495,7.7820172576363814e-10,2.5065578034861815e-12,1.6465316643356847e-16,2.5065597475862644e-12,1.1901394427264356e-16,3.5715311014327278e-17,1.525668119897161e-31,3.938007418606537e-30,3.669699823468438e-34,9.3696032222686876e-49,2.0934426795442175e-51,5.1910415019377431e-54
2.9005860364694832e-12,0.11224537206593421,0.0,0.0,0.0,0.0,0.99999999882517687,1.1673025678425169e-09,3.7598878145707445e-12,3.4988799217389305e-16,3.759891949171724e-12,2.5290708667315972e-16,7.5895790096681182e-17,5.8156542924310288e-31,1.1280935675808052e-29,1.352676305493562e-33,5.229181393925503e-48,1.0393904444139795e-50,2.7665988455187688e-53
3.867448185229177e-12,0.11224537208791233,0.0,0.0,0.0,0.0,0.99999999843356913,1.5564033479474698e-09,5.01324833069905e-12,5.9686775068484711e-16,5.0132553891633016e-12,4.3143357628669025e-16,1.2947046881793276e-16,1.5645296314227367e-30,2.3842969049899092e-29,3.4360287889641468e-33,1.9735660933433811e-47,4.4032310472372473e-50,1.1939457116070646e-52
5.801172482748565e-12,0.11224537213186851,0.0,0.0,0.0,0.0,0.99999999765035252,2.3346047626083973e-09,7.5200409537401049e-12,1.2357388197260908e-15,7.5200555857808768e-12,8.9324165854076805e-16,2.680562282925015e-16,6.3266453982546277e-30,6.5416241903036333e-29,1.2057079018670474e-32,1.4377865122453764e-46,3.9852839334733336e-49,1.1351863547890494e-51
7.734896780267954e-12,0.11224537217582468,0.0,0.0,0.0,0.0,0.99999999686713614,3.1128059493187776e-09,1.0026945748215241e-11,2.1016679609151864e-15,1.0026970663236614e-11,1.5191915012666866e-15,4.5590001012390103e-16,1.7133834442387597e-29,1.3743023329581562e-28,3.0217925947650808e-32,5.2954620384885989e-46,1.5758809068599441e-48,4.673117555763891e-51
1e-11,0.11224537226373717,0.0,0.0,0.0,0.0,0.99999999594970035,4.0243657835934095e-09,1.29636105228143e-11,3.4320497080763862e-15,1.2963651280976344e-11,2.4809101616794879e-15,7.4450622661953877e-16,4.9762877708300855e-29,2.8836085584075185e-28,8.3191862070759215e-32,3.128885634364502e-45,9.3808658218486424e-48,3.0672359163925219e-50
1.160234537530673e-11,0.11224537226373717,0.0,0.0,0.0,0.0,0.99999999530070105,4.6692075743977289e-09,1.5041123637950539e-11,4.5791052395312759e-15,1.5041178078302389e-11,3.3101203172169372e-15,9.9334752152605252e-16,8.5856685537326745e-29,4.3850903363944228e-28,1.4132141321082933e-31,6.3669057183063688e-45,1.9089090833151199e-47,6.3304546328852912e-50
1.5469793970345507e-11,0.1122453723516497,0.0,0.0,0.0,0.0,0.99999999373426451,6.2256082129777853e-09,2.0055786990836594e-11,8.0393666022987077e-15,2.0055882830193069e-11,5.8116444473584305e-15,1.7440414679755533e-15,2.5743700851119867e-28,1.0063129376772491e-27,4.128350467802552e-31,2.9554590442298526e-44,9.1765757154023656e-47,3.1445359924674215e-49
