Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3)
5.8932763215581654e-08,0.11224670277942866,0.0,0.0,0.0,0.0,0.99997617399703709,2.3597374178144365e-05,1.1431439235700879e-07,1.1431439235700879e-07
6.97997599351681e-08,0.11224694804600356,0.0,0.0,0.0,0.0,0.99997175798130444,2.7921504044506345e-05,1.6025732548855438e-07,1.6025732548855438e-07
8.066675665475457e-08,0.11224719325020893,0.0,0.0,0.0,0.0,0.99996733539206151,3.2236799661450814e-05,2.1390413857514461e-07,2.1390413857514461e-07
9.153375337434103e-08,0.11224743838263503,0.0,0.0,0.0,0.0,0.99996290641293051,3.6543109359040831e-05,2.7523885518317463e-07,2.7523885518317463e-07
9.999999999999998e-08,0.11224792839482099,0.0,0.0,0.0,0.0,0.99995945157828803,3.9891739926895309e-05,3.2834089250655158e-07,3.2834089250655158e-07
1.1326774681351395e-07,0.11224792839482099,0.0,0.0,0.0,0.0,0.99995403001528416,4.5128171216467611e-05,4.2090674969921388e-07,4.2090674969921388e-07
1.3500174025268686e-07,0.11224841800853946,0.0,0.0,0.0,0.0,0.99994513024014997,5.3675504129892037e-05,5.971278601696478e-07,5.971278601696478e-07
1.5673573369185979e-07,0.11224890715082929,0.0,0.0,0.0,0.0,0.99993620852478371,6.218394551068297e-05,8.0376485284983463e-07,8.0376485284983463e-07
1.784697271310327e-07,0.11224939574978894,0.0,0.0,0.0,0.0,0.99992726629120943,7.065235620675932e-05,1.0406762919210989e-06,1.0406762919210989e-06
2.0020372057020564e-07,0.11224988373465877,0.0,0.0,0.0,0.0,0.99991830494553813,7.907962101297697e-05,1.3077167245024797e-06,1.3077167245024797e-06
