Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39)
6.747690582711151e-12,0.11224537215338418,0.0,0.0,0.0,0.0,0.99999999726698385,2.7155186311677967e-09,8.7471288729419955e-12,1.671881545084157e-15,8.7471486858524901e-12,1.2085152643215722e-15,3.6266803653161407e-16,1.1576824769644846e-29,1.0317619173684237e-28,2.2112043965928963e-32,3.7646038599857606e-46,9.8870857113153232e-49,2.937876310413289e-51,1.0329002626060332e-52,2.3280847563823297e-53,1.4022527382127304e-33,5.8209669979605046e-35,1.3208405836988491e-49,1.4476569956354652e-47
8.996920935839551e-12,0.11224537220451232,0.0,0.0,0.0,0.0,0.99999999635597725,3.6206909554961839e-09,1.166314216079864e-11,2.8434324285427736e-15,1.166317590418933e-11,2.0554015943353866e-15,6.1681368471904708e-16,3.1350769703193818e-29,2.1689968815616352e-28,5.5444801984724188e-32,1.384601542402362e-45,3.9111895120204546e-48,1.2048856550437374e-50,4.6365665140506329e-52,1.045046272919568e-52,4.3990717952745162e-33,1.8259944558056981e-34,5.5194517133169788e-49,5.2344754051960113e-47
1e-11,0.11224537225564044,0.0,0.0,0.0,0.0,0.99999999594969935,4.0243664470425352e-09,1.2963635810595886e-11,3.4720262910288695e-15,1.2963677040602158e-11,2.5098060125038177e-15,7.5317786385358447e-16,4.6387444553439206e-29,2.8894329219328014e-28,7.975064856718627e-32,2.3924692381274366e-45,7.0012225602435126e-48,2.185610759571871e-50,8.8181012870065142e-52,1.9875280305618447e-52,6.9964373375777946e-33,2.9040078677811085e-34,1.0143994620374186e-48,8.9905866491004323e-47
1.1246151288967952e-11,0.11224537225564044,0.0,0.0,0.0,0.0,0.99999999544496987,4.5258629494491536e-09,1.4579318038112166e-11,4.3441219229715212e-15,1.4579369663603327e-11,3.1402418104121451e-15,9.4236810334583235e-16,7.0410352732528433e-29,3.967682722982054e-28,1.1805747896083266e-31,4.1242181713714033e-45,1.2375131663161463e-47,3.8975026594395296e-50,1.6224791713974857e-51,3.6569309694611348e-52,1.1306525678580884e-32,4.692835313536655e-34,1.8253705239607203e-48,1.5433076011193067e-46
1.5744611995224753e-11,0.11224537235789678,0.0,0.0,0.0,0.0,0.99999999362295333,6.3362059255201745e-09,2.041216771987256e-11,8.3535907226692158e-15,2.0412267320488321e-11,6.0388082067036496e-15,1.8122125374869395e-15,2.7278691959130244e-28,1.0600446244934779e-27,4.3733854726981389e-31,3.4513837519924921e-44,1.0335052126107261e-46,3.5419179497666021e-49,2.1647525763101142e-50,4.8790637504488477e-51,6.3731389324181297e-32,2.6443561785366915e-33,2.3623379521708978e-47,1.3865839064956461e-45
2.4741533407738352e-11,0.11224537256240981,0.0,0.0,0.0,0.0,0.99999998997891248,9.956887854969343e-09,3.2079846300426895e-11,2.0380221756919244e-14,3.2080091011159256e-11,1.4734094566483659e-14,4.4216283218471489e-15,1.7505794901975712e-27,4.1990573114203153e-27,2.8400498734939609e-30,6.3964335543614193e-43,1.815171132544456e-45,6.6699093930394887e-48,7.1275566517897591e-49,1.6063737052320563e-49,7.1202969706862064e-31,2.9520266060066648e-32,8.229650911405266e-46,3.0988868467820411e-44
4.2735376232765554e-11,0.11224537297143715,0.0,0.0,0.0,0.0,0.99999998269079993,1.7198235609795832e-08,5.542312412914751e-11,6.0477126124043339e-14,5.5423860958864935e-11,4.3730271663307263e-14,1.3123293742625137e-14,1.6520891179268155e-26,2.3156272743745877e-26,2.876156434141964e-29,2.155932547422699e-41,5.7346015299248286e-44,2.199259664858844e-46,4.4206516510786088e-47,9.9619977718414086e-48,1.2804198598097621e-29,5.2996214971439728e-31,5.5081641893417361e-44,1.2873566173503267e-42
7.872306188281995e-11,0.11224537378949705,0.0,0.0,0.0,0.0,0.99999996811445058,3.1680866719156199e-08,1.0214133258989076e-10,2.0482622250825337e-13,1.0214390162408082e-10,1.4816044305822366e-13,4.4462814709497414e-14,1.9732541469967809e-25,1.6154061080236576e-25,3.8691080635360866e-28,1.0395564140430418e-39,2.6694301769446473e-42,1.047811198108096e-44,4.0879099196736586e-45,9.2102128235500033e-46,3.0040929243122528e-28,1.2391807119825027e-29,5.3605490126536448e-42,7.8634010564075789e-41
9.999999999999999e-11,0.1122453746075639,0.0,0.0,0.0,0.0,0.99999995949642229,4.0243367658779689e-08,1.2978229975201689e-10,3.3040800923939894e-13,1.2978650880314988e-10,2.3904656075485637e-13,7.1738030569672956e-14,5.0221784140644452e-25,3.4280328386163379e-25,1.0078586140335753e-27,3.936451784158326e-39,1.094371330658057e-41,4.309550523379037e-44,1.9133295395451564e-44,4.3105680293244217e-45,9.2191142403444542e-28,3.7981097259703895e-29,2.3523012434827883e-41,3.139442850074764e-40
1.1471074753287435e-10,0.1122453746075639,0.0,0.0,0.0,0.0,0.99999995353793514,4.616341195456013e-08,1.4890171951821766e-10,4.3471827356612007e-13,1.4890730438383959e-10,3.1454786277724691e-13,9.4396293184772225e-14,7.9904841958774755e-25,5.1133680079798389e-25,1.6149769025416344e-27,6.9365446294002326e-39,1.9588686643577496e-41,7.7184109340329929e-44,3.5034065241079085e-44,7.8928070735584338e-45,1.5477759575581366e-27,6.3744813741205177e-29,4.2609156667092182e-41,5.5900986394277897e-40
