Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18)
4.8125248944245195e-09,0.11224548145941075,0.0,0.0,0.0,0.0,0.99999804927930747,1.9359679874219281e-06,6.601064430094469e-09,7.6470033121027554e-10,6.6394655706778463e-09,5.7451277725239944e-10,1.7296204313416142e-10,1.1562223254053887e-18,3.0576397739331312e-19,2.7404340699804266e-20,6.8241130570857715e-29,5.1557878896139069e-31,2.0719756053164823e-33,2.0550658265671137e-32,4.5861367249164333e-33,7.2607881243997887e-20
5.5730335129753185e-09,0.11224549876917905,0.0,0.0,0.0,0.0,0.99999774073174863,2.2417616787524795e-06,7.7077198944746158e-09,1.0254472209503443e-09,7.7650444962459033e-09,7.748734565039704e-10,2.3348754821893294e-10,1.9412080860500427e-18,5.3953457543466143e-19,5.5929618623295904e-20,1.7233463735243953e-28,1.4007049911542384e-30,5.6297215762633687e-33,6.4720411034647759e-32,1.4420544590187231e-32,1.4227344373063636e-19
6.3335421315261174e-09,0.1122455160824248,0.0,0.0,0.0,0.0,0.99999743210582859,2.5475166181851717e-06,8.830863333851393e-09,1.324366152754022e-09,8.9122945809496172e-09,1.0064639785634319e-09,3.0356528359252112e-10,3.0365707505616903e-18,8.8547578045775346e-19,1.0422191498710936e-19,3.8445582582318162e-28,3.3383707945725339e-30,1.3418766305689013e-32,1.7487698052537216e-31,3.8906248445043947e-32,2.5465661014357384e-19
7.094050750076916e-09,0.112245533399196,0.0,0.0,0.0,0.0,0.99999712340097113,2.8532327499352592e-06,9.970215281163291e-09,1.6614531717062179e-09,1.0081489501748865e-08,1.2697422559555977e-09,3.8337856737013378e-10,4.499866998346466e-18,1.3738051344749644e-18,1.8100138139115241e-19,7.8047404339347927e-28,7.2003094381373352e-30,2.8944016067891436e-32,4.2107377034178123e-31,9.354160695470486e-32,4.252356167526759e-19
7.854559368627714e-09,0.11224555071953973,0.0,0.0,0.0,0.0,0.99999681461660672,3.1589100182227486e-06,1.1125506201424236e-08,2.0367043408790284e-09,1.1272892971456376e-08,1.5651585168708041e-09,4.7311297246461475e-10,6.389912565472169e-18,2.0379297113600428e-18,2.9718098172491588e-19,1.4706766778163159e-27,1.4352283582673836e-29,5.7696922637031802e-32,9.2655849190367573e-31,2.055345416212718e-31,6.721505163594865e-19
8.615067987178513e-09,0.11224556804350222,0.0,0.0,0.0,0.0,0.99999650575216981,3.4645483672718563e-06,1.2296476137291609e-08,2.4501157416447608e-09,1.2486759092811419e-08,1.8931555786927191e-09,5.7295624570519027e-10,8.7667051989583658e-18,2.914337109204473e-18,4.6608016882510668e-19,2.6084615485438579e-27,2.6830721621209728e-29,1.0786583689758744e-31,1.8956982871443502e-30,4.1990157219873032e-31,1.0162563497303091e-18
9.375576605729312e-09,0.11224558537112897,0.0,0.0,0.0,0.0,0.99999619680710083,3.7701477413105879e-06,1.3482874399497467e-08,2.9016834739484625e-09,1.3723332667742593e-08,2.2541690867315428e-09,6.8309823701885282e-10,1.1691372881679417e-17,4.0425019462899412e-18,7.0361210106859116e-19,4.3995746816430544e-27,4.7534809140169055e-29,1.9110851298507464e-31,3.6475491574606152e-30,8.0677487276213865e-31,1.4811691113858446e-18
9.999999999999999e-09,0.11224560270246453,0.0,0.0,0.0,0.0,0.99999594308391504,4.0210340619460493e-06,1.4468342805338373e-08,3.300970735569224e-09,1.4755776268584966e-08,2.5755676631016443e-09,7.8136559090336608e-10,1.4545982741983591e-17,5.186689444280605e-18,9.6303088172896903e-19,6.5456793569139165e-27,7.3482395622217294e-29,2.9543603602404057e-31,6.0074181713060705e-30,1.3271550956021008e-30,1.9716998543029676e-18
1.0136085224280111e-08,0.11224560270246453,0.0,0.0,0.0,0.0,0.99999588778084447,4.0757080845703715e-06,1.4684459180692875e-08,3.391403656656645e-09,1.4982849583160953e-08,2.6486278112816752e-09,8.0373081033960248e-10,1.522610828346984e-17,5.4647706054900203e-18,1.0285183790648483e-18,7.1133353967378594e-27,8.0506389663995936e-29,3.2367780256804119e-31,6.6699382379963065e-30,1.4731362980161814e-30,2.0933239736445116e-18
1.089659384283091e-08,0.11224562003755292,0.0,0.0,0.0,0.0,0.99999557867285027,4.3812293412858864e-06,1.5900997245870259e-08,3.9192724278427706e-09,1.6265537120260589e-08,3.0769538852493007e-09,9.3504777165443111e-10,1.9434124785871355e-17,7.2262709113053456e-18,1.4625583958322849e-18,1.1094195787370456e-26,1.3120561278605983e-28,5.2753023963708672e-31,1.1679496278443486e-29,2.5757881700902284e-30,2.8820223563230392e-18
1.165710246138171e-08,0.11224563737643727,0.0,0.0,0.0,0.0,0.99999526948257278,4.6867114556949254e-06,1.7132263643906349e-08,4.4852859450494451e-09,1.7571614242722399e-08,3.5395630255291907e-09,1.0772448019189058e-09,2.4379629941955504e-17,9.3748300158907736e-18,2.030686607470596e-18,1.6772971590726788e-26,2.0682087091873176e-28,8.3157252361790588e-31,1.9696634898728663e-29,4.3374869030796263e-30,3.8794755697419073e-18
1.3178119698483307e-08,0.1122456720657633,0.0,0.0,0.0,0.0,0.99999465085300565,5.2975580345589875e-06,1.9638121351745412e-08,5.7317319465159817e-09,2.025477321112177e-08,4.569262600595491e-09,1.3950707742888626e-09,3.674479854969531e-17,1.5037458058354201e-17,3.6860521677796985e-18,3.5460471546786085e-26,4.7245257856461123e-28,1.8996867471767345e-30,5.096548923350048e-29,1.1189545761598164e-29,6.6443000802063958e-18
1.4699136935584905e-08,0.11224570677077479,0.0,0.0,0.0,0.0,0.99999403188786185,5.9082473751193402e-06,2.2200387541370396e-08,7.1307113202077884e-09,2.3033922669545112e-08,5.7409322748731091e-09,1.7588091664533532e-09,5.2854390791520559e-17,2.2886258172932328e-17,6.2648508199904083e-18,6.8862436587499284e-26,9.8404664581968639e-28,3.9568878782092456e-30,1.1871071208855681e-28,2.5984123339002836e-29,1.0705342603836594e-17
1.62201541726865e-08,0.11224574149179384,0.0,0.0,0.0,0.0,0.99999341258292351,6.5187790313697409e-06,2.4817532079493924e-08,8.6821940521839647e-09,2.591054361593848e-08,7.0576888959734787e-09,2.1700862698481479e-09,7.3255850002143793e-17,3.3393136816937798e-17,1.0099573906860882e-17,1.249545547090502e-25,1.9029135944570129e-27,7.6518900805578087e-30,2.5394842196927101e-28,5.541751391522376e-29,1.6429483755028354e-17
1.77411714097881e-08,0.11224577622913318,0.0,0.0,0.0,0.0,0.99999279293403176,7.1291525573355725e-06,2.7488131332512693e-08,1.0386150462122966e-08,2.888600998806401e-08,8.5225666671876663e-09,2.6305523449922718e-09,9.8510771115462207e-17,4.7066211222777388e-17,1.5590129815351364e-17,2.1451208372504388e-25,3.4624474528590096e-27,1.3923308366200214e-29,5.0660098658034978e-28,1.1021826581334471e-28,2.4234266917959886e-17
1.9262188646889697e-08,0.11224581098309692,0.0,0.0,0.0,0.0,0.99999217293708187,7.7393675070695219e-06,3.0210860719732703e-08,1.2242551209294486e-08,3.1961596104246544e-08,1.0138522867352414e-08,3.1418798946157382e-09,1.2919444233425746e-16,6.4447974286966771e-17,2.3208668036776516e-17,3.5165781816179879e-25,5.9881836586859127e-27,2.4080330274530146e-29,9.5347231886633735e-28,2.0681530512827112e-28,3.4589166708815302e-17
2.0783205883991295e-08,0.11224584575398114,0.0,0.0,0.0,0.0,0.99999155258802119,8.3494234346478059e-06,3.2984487799311315e-08,1.4251367297928463e-08,3.5138483572003379e-08,1.1908443160990479e-08,3.7057620597796593e-09,1.6589542423273131e-16,8.6113652847984841e-17,3.35041577197362e-17,5.5444933200583171e-25,9.920454795194393e-27,3.9893836321056822e-29,1.7082931827589459e-27,3.6942266638017155e-28,4.8016814852924763e-17
