Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38)
1e-12,0.1122453720250021,0.0,0.0,0.0,0.0,0.99999999959497055,4.0243687665401525e-10,1.2962142263985193e-12,4.601295219544389e-17,1.2962147691093626e-12,3.3258483158061554e-17,9.9806516386782198e-18,1.3253537072218194e-32,6.0802866146335983e-31,3.17962098473669e-35,2.7875655747999937e-50,5.8110427337044656e-53,1.1144573185733258e-55,2.0248301638637335e-57,4.563911962979471e-58,4.4868244685541674e-37,1.8632376884733645e-38,3.0406767059125993e-54
1.0998950669041977e-12,0.1122453720250021,0.0,0.0,0.0,0.0,0.99999999955451024,4.4263833269913324e-10,1.4257009478798218e-12,5.3270128862066667e-17,1.425701576209504e-12,3.8504037239650914e-17,1.1554807967491773e-17,1.5973685978646258e-32,7.2296121146849025e-31,3.8322958678710563e-35,3.3945419731455322e-50,7.076360137289181e-53,1.3587358581994472e-55,2.4699885890362705e-57,5.5672868651186233e-58,5.4449575584767578e-37,2.2611191414700249e-38,3.7091694624194949e-54
2.1997906000048934e-12,0.1122453720500042,0.0,0.0,0.0,0.0,0.99999999910901971,8.8527674614368219e-10,2.8514551391019553e-12,2.1308056358444664e-16,2.8514576558177183e-12,1.5401863507505497e-16,4.6219995401277343e-17,2.5546669392376316e-31,5.8018427132969263e-30,6.1502999518118717e-34,2.1771892415791412e-48,4.5395889837402707e-51,1.1805239864290693e-53,3.1690387578922667e-55,7.1428575847014415e-56,1.7416439041767075e-35,7.2313713499317302e-37,4.757929707237509e-52
3.2996861331055895e-12,0.11224537207500629,0.0,0.0,0.0,0.0,0.99999999866352951,1.3279150793867782e-09,4.277248808018925e-12,4.5279621167011732e-16,4.2772541610279688e-12,3.2729320963406247e-16,9.8218599277004225e-17,9.7376883032091813e-31,1.6624303169871701e-29,2.2674968214788628e-33,1.2158247709803564e-47,2.2540847742579427e-50,6.2581293870754211e-53,1.8781930201146069e-54,4.2333412494465178e-55,8.1727836626729009e-35,3.3931619502522332e-36,3.112087366149678e-51
4.399581666206286e-12,0.11224537210000839,0.0,0.0,0.0,0.0,0.99999999821803898,1.7705533324282524e-09,5.7030819535083305e-12,7.7241706077118093e-16,5.7030910929458525e-12,5.5832936019099009e-16,1.6755111104395444e-16,2.6195510081053377e-30,3.514620524992022e-29,5.7610530719314738e-33,4.5723733600056142e-47,9.550983172715042e-50,2.6964151160647132e-52,8.4936721360309654e-54,1.9144225196391071e-54,2.5473337550868707e-34,1.0575411795389983e-35,1.3026445545334012e-50
6.599372732407678e-12,0.11224537215001262,0.0,0.0,0.0,0.0,0.99999999732705769,2.6558296501534538e-09,8.5548408896892842e-12,1.5991913369569375e-15,8.5548598388021488e-12,1.1559695045669546e-15,3.468992796548669e-16,1.0592394068109047e-29,9.6487046817535119e-29,2.0225020732058082e-32,3.293943097982586e-46,8.6501535498133573e-49,2.555150192802042e-51,8.8383806060099128e-53,1.9921114561042887e-53,1.2548082185250938e-33,5.2089612981135097e-35,1.0867052281009058e-49
8.79916379860907e-12,0.11224537220001692,0.0,0.0,0.0,0.0,0.9999999964360754,3.5411056728833613e-09,1.1406744985778422e-11,2.7198054367836432e-15,1.1406777257055857e-11,1.9660328496011365e-15,5.8999449249180583e-16,2.8685023428224637e-29,2.0281694631692449e-28,5.0709364737774002e-32,1.2114455968743826e-45,3.421651679563955e-48,1.0484755721182245e-50,3.9672061290464066e-52,8.9417877460430089e-53,3.9365331123078973e-33,1.6340220706787606e-34,4.5471540111117642e-49
1e-11,0.11224537230002554,0.0,0.0,0.0,0.0,0.99999999594970002,4.0243657483610741e-09,1.2963627906780681e-11,3.4672385801973491e-15,1.2963669085601393e-11,2.5063489769901201e-15,7.5214027653784034e-16,4.965043333043765e-29,2.9357126993947883e-28,8.5042420231368123e-32,3.3286940343696428e-45,9.4550581920861591e-48,3.0892356747245199e-50,1.5748604638880547e-51,3.5495586552194649e-52,8.3785845885629042e-33,3.4772752794859935e-34,1.7547877324388307e-48
1.3198745931011854e-11,0.11224537230002554,0.0,0.0,0.0,0.0,0.99999999465410949,5.3116567498984574e-09,1.7111029786627749e-11,5.9259003980056478e-15,1.7111100328223352e-11,4.2837492721520815e-15,1.2855282753510119e-15,1.4371258777285631e-28,6.4804767555717789e-28,2.3746912559746831e-31,1.4605766328588544e-44,4.1509622575261034e-47,1.406656566145993e-49,8.1932637601760392e-51,1.8466583685204177e-51,3.0474599942867459e-32,1.2645515652855847e-33,9.0472629071865174e-48
1.759832806341464e-11,0.11224537240003428,0.0,0.0,0.0,0.0,0.99999999287214136,7.0822065502639275e-09,2.281594280729781e-11,1.0403885057550345e-14,2.2816067037963825e-11,7.5210975544786871e-15,2.2570396927007294e-15,4.3085647496323973e-28,1.4889261236574323e-27,6.9438971310655242e-31,6.7894711943338775e-44,1.9970667854277607e-46,6.9689270508939153e-49,4.7679486475221821e-50,1.074624549818295e-50,1.1520425429558186e-31,4.7793908300242154e-33,5.1169393948597052e-47
