Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19)
1.0746065546411842e-12,0.11224537202442723,0.0,0.0,0.0,0.0,0.99999999956475283,4.3246137966637512e-10,1.3929215919285166e-12,5.0848750586795509e-17,1.3929221916744372e-12,3.6753834422857657e-17,1.1029586169086831e-17,1.4554678565963893e-32,6.7418426689291904e-31,3.491577664204156e-35,2.9525381874527027e-50,6.154310001402128e-53,1.1673128225703115e-55,2.0987613745675152e-57,4.7305490088601238e-58,4.8471872145104979e-37,2.012892481817687e-38
2.1492135647601934e-12,0.11224537204885447,0.0,0.0,0.0,0.0,0.99999999912950521,8.6492284062232642e-10,2.7858940206735952e-12,2.0339504872550699e-16,2.7858964228253701e-12,1.4701765731674847e-16,4.411905706628343e-17,2.3277490293491543e-31,5.410014475501227e-30,5.603105861920402e-34,1.8938056424348418e-48,3.9477980946627204e-51,1.0181442483704379e-53,2.6925559920730956e-55,6.0688878361467206e-56,1.5504541154270634e-35,6.4375943868188971e-37
3.2238205748792024e-12,0.11224537207328177,0.0,0.0,0.0,0.0,0.99999999869425704,1.2973842250223672e-09,4.1789041327435789e-12,4.3221449257678428e-16,4.1789092419679704e-12,3.1241588924797348e-16,9.3754030763675223e-17,8.8727810473644893e-31,1.5500840214440158e-29,2.0656782759269277e-33,1.0575908252202283e-47,1.9602009078661138e-50,5.4024558812859761e-53,1.5957707783888932e-54,3.5967770903526629e-55,7.2756406246800683e-35,3.0207155411466647e-36
4.298427584998211e-12,0.11224537209770906,0.0,0.0,0.0,0.0,0.9999999982590092,1.729845532866341e-09,5.5719519270917215e-12,7.3730707062499189e-16,5.5719606501333279e-12,5.3295002170123476e-16,1.5993496558499128e-16,2.3868902677039727e-30,3.2769324034493648e-29,5.2480787739550253e-33,3.9773128039986903e-47,8.3054232641948136e-50,2.3283810485210217e-52,7.2162524187063869e-54,1.6264997240554824e-54,2.267715314795129e-34,9.4146571137422119e-36
6.447641605236229e-12,0.11224537214656362,0.0,0.0,0.0,0.0,0.99999999738851275,2.5947679687583328e-09,8.3581359501448203e-12,1.5265005687233964e-15,8.3581540353385142e-12,1.1034234959328655e-15,3.3113061472411277e-16,9.6516682745527547e-30,8.9951350354976969e-29,1.842252397412278e-32,2.8651597658191211e-46,7.5211052251318943e-49,2.2076832103063235e-51,7.5082852833891153e-53,1.6923169581734572e-53,1.1170750553987601e-33,4.6372609273263855e-35
8.596855625474247e-12,0.11224537219541822,0.0,0.0,0.0,0.0,0.99999999651801585,3.4596901230640418e-09,1.1144458535483749e-11,2.5961774920580986e-15,1.114448933450902e-11,1.8766637302736903e-15,5.6317547160879439e-16,2.6137608677163387e-29,1.8905912803626471e-28,4.6186472632292082e-32,1.0537482144379748e-45,2.9748452477898241e-48,9.0640492789038992e-51,3.3699710573634225e-52,7.5956649514437971e-53,3.5044571254288482e-33,1.4546913212277482e-34
1e-11,0.11224537229312749,0.0,0.0,0.0,0.0,0.99999999594969935,4.0243664589092029e-09,1.2963629952241755e-11,3.4601737613315961e-15,1.2963671046508854e-11,2.5012418502661353e-15,7.506078360498213e-16,4.9821660479699622e-29,2.9272800833841655e-28,8.4908874522706307e-32,3.3740449875002911e-45,9.580115934796643e-48,3.1350605272456199e-50,1.604501000979046e-51,3.6163629222046885e-52,8.4534372328212842e-33,3.5083286213850834e-34
1.2895283665950283e-11,0.11224537229312749,0.0,0.0,0.0,0.0,0.99999999477702028,5.189533507251549e-09,1.671755865364446e-11,5.6565403909260179e-15,1.6717625972065333e-11,4.0890210949037536e-15,1.2270916890056011e-15,1.3095286811395319e-28,6.0392830338081367e-28,2.1623430310048222e-31,1.2704456257155765e-44,3.6078361397915524e-47,1.2180574509319386e-49,6.9576523318141413e-51,1.5681680941309706e-51,2.7130258990013427e-32,1.1258017009872115e-33
1.719371170642632e-11,0.11224537239083687,0.0,0.0,0.0,0.0,0.99999999303602238,6.9193756728198935e-09,2.2291258440957574e-11,9.9309796609261183e-15,2.2291376986977804e-11,7.1792018481979932e-15,2.1544390076241432e-15,3.9260867378470846e-28,1.3872497750609654e-27,6.3217846934883631e-31,5.9056956753326989e-44,1.7354855543585233e-46,6.0371971432437984e-49,4.0483302721852334e-50,9.1243407024518648e-51,1.0256291197816571e-31,4.2550628027802587e-33
2.579056778737839e-11,0.11224537258625583,0.0,0.0,0.0,0.0,0.9999999895540197,1.0379056331246817e-08,3.3440464967947869e-11,2.2138862897639725e-14,3.3440730978039012e-11,1.6005654608070374e-14,4.8032181136910852e-15,2.0273126774257487e-27,4.7347833369160028e-27,3.2798802388018772e-30,7.6389186993656647e-43,2.2015189639506659e-45,8.0821577004663853e-48,8.484484641803994e-49,1.9121969027754929e-49,8.3329348824434601e-31,3.4547983221520404e-32
4.298427994928254e-11,0.11224537297709511,0.0,0.0,0.0,0.0,0.99999998258998524,1.7298402953194061e-08,5.5746105456738369e-11,6.1194352508248252e-14,5.5746850875262268e-11,4.4248781206287038e-14,1.3278895690267247e-14,1.6495824227878089e-26,2.3271345919461494e-26,2.8344676273000919e-29,2.0659087497444252e-41,5.6287449055935701e-44,2.1550050193268545e-46,4.1689592064209278e-47,9.3948887695176349e-48,1.2417702275887882e-29,5.1402816850899731e-31
7.737170427309082e-11,0.11224537375877831,0.0,0.0,0.0,0.0,0.99999996866180341,3.1137037398997918e-08,1.0038628604596692e-10,1.9787977060514155e-13,1.0038876393262896e-10,1.4313284129818988e-13,4.2954012665010961e-14,1.8114586891858498e-25,1.5124545774730312e-25,3.4961721647227338e-28,8.9001247356498334e-40,2.3160424956418762e-42,9.0816277366594755e-45,3.3953308842472077e-45,7.6499479196924582e-46,2.65058976516721e-28,1.0936726067611987e-29
9.999999999999999e-11,0.11224537454046782,0.0,0.0,0.0,0.0,0.99999995949642229,4.0243367637169761e-08,1.2978231228362628e-10,3.3042987583276899e-13,1.2978651814494065e-10,2.3905987257845337e-13,7.1742004005868555e-14,4.9087733801560332e-25,3.3817459298258772e-25,9.7257329951630839e-28,3.6675554988518946e-39,1.0285510306960219e-41,4.0474813257505528e-44,1.7345863674184654e-44,3.9079447953955799e-45,8.7648691080601475e-28,3.6119028285165268e-29
1.1175912859689911e-10,0.11224537454046782,0.0,0.0,0.0,0.0,0.99999995473347036,4.4975593443002775e-08,1.4506497658382611e-10,4.1266501200693245e-13,1.450702646860615e-10,2.9858112896686859e-13,8.9604571847138877e-14,7.1495225472287045e-25,4.6750878681443153e-25,1.4252888536494713e-27,5.8021890035516529e-39,1.6458701977627357e-41,6.4799453136951684e-44,2.8276189536643969e-44,6.3704546526268527e-45,1.3337532867415746e-27,5.4948435728912142e-29
1.8053397724451569e-10,0.11224537610386598,0.0,0.0,0.0,0.0,0.99999992687634986,7.2652470290972538e-08,2.3453771619363517e-10,1.076541129716407e-12,2.3455220605603381e-10,7.7942670380798679e-13,2.3391120775881899e-13,4.9170157676620703e-24,2.2669803153764523e-24,1.1284358668268619e-26,1.335449838599774e-37,3.8717247483022319e-40,1.5380082832341719e-42,1.1557519839025692e-42,2.6029205737216836e-43,1.5318590350501568e-26,6.2761232342941119e-28
2.424313410273706e-10,0.11224537751094607,0.0,0.0,0.0,0.0,0.99999990180442344,9.7561391259721793e-08,3.1519455306631823e-10,1.9411364525883854e-12,3.1522168007789458e-10,1.4061261419524882e-12,4.2199440989386643e-13,1.4792920307177448e-23,5.8353512248512309e-24,3.6115636449452596e-26,6.5732221764758345e-37,2.035104494218291e-39,8.0961045992625117e-42,6.7948631447444242e-42,1.5301759779190917e-42,5.6330794420635288e-26,2.3020403791524644e-27
3.0432870481022553e-10,0.11224537891804673,0.0,0.0,0.0,0.0,0.99999987673200519,1.2247005811621198e-07,3.9597563344908862e-10,3.0587787841324489e-12,3.960199483940968e-10,2.2168634578183042e-12,6.6531659330198485e-13,3.5053479135800768e-23,1.2331071569053096e-23,9.1367146019428769e-26,2.2800048542419503e-36,7.5055213192564493e-39,2.9910356038059616e-41,2.9172253824167481e-41,6.5685940928054923e-42,1.593137443505667e-25,6.4921153475869592e-27
3.6622606859308045e-10,0.11224538032516813,0.0,0.0,0.0,0.0,0.99999985165909566,1.4737847083157864e-07,4.7688076945137228e-10,4.4294662341116505e-12,4.7694719624183117e-10,3.2119082848982266e-12,9.6396177271923634e-13,7.0932385019010589e-23,2.2903495243951367e-23,1.9640292695573622e-25,6.5777762427640131e-36,2.2753464964093053e-38,9.0755598087958335e-41,9.8122971051384455e-41,2.2091498585929535e-41,3.7270282922722006e-25,1.5147154838198674e-26
4.2812343237593537e-10,0.11224538173231018,0.0,0.0,0.0,0.0,0.99999982658569431,1.7228662937585625e-07,5.579097657216737e-10,6.0531967147423641e-12,5.5800361608768441e-10,4.3915411529227053e-12,1.3180176127352863e-12,1.288385516985017e-22,3.8921520660845019e-23,3.7819412674980461e-25,1.6414700553765656e-35,5.9146870815853827e-38,2.3610189450321736e-40,2.7979072837306916e-40,6.2985745244344735e-41,7.6785399865660262e-25,3.1124553872001429e-26
5.519181599416453e-10,0.11224538454665652,0.0,0.0,0.0,0.0,0.999999776437415,2.2210218384389621e-07,7.2033864084841512e-10,1.0059778998633425e-11,7.2050465935139571e-10,7.3055751944837216e-12,2.1926764441620972e-12,3.3946190774331487e-22,9.3255615081396787e-23,1.112420985918212e-24,7.6330211737805986e-35,2.9341696905602269e-37,1.1727797157309524e-39,1.644509856934299e-39,3.7012767646723865e-40,2.4979348858136501e-24,1.0072104351270028e-25
6.757128875073551e-10,0.1122453873610859,0.0,0.0,0.0,0.0,0.99999972628716371,2.7191672128143599e-07,8.8326070671097579e-10,1.5078508364177638e-11,8.8352460662743392e-10,1.0961199924212473e-11,3.2899957849299009e-12,7.3570256339630998e-22,1.8958775313071672e-22,2.661633109520588e-24,2.5277963110073828e-34,1.024778744152748e-36,4.0991864854830782e-39,6.4978538157299752e-39,1.4622119368430519e-39,6.4053106338841889e-24,2.5703683414949384e-25
7.99507615073065e-10,0.11224539017559872,0.0,0.0,0.0,0.0,0.99999967613493834,3.2173024143636791e-07,1.0466743335649281e-09,2.1109366501139446e-11,1.0470650625601495e-09,1.5360767234042714e-11,4.6107194878173373e-12,1.4035315176160186e-21,3.4575774432190986e-22,5.5807189423788736e-24,6.9433992233685873e-34,2.9484034869456697e-36,1.1801036415249069e-38,2.0830917470001387e-38,4.6867772948196226e-39,1.4140304575307821e-23,5.6472891790453321e-25
9.233023426387748e-10,0.11224539299019505,0.0,0.0,0.0,0.0,0.99999962598073588,3.7154274406112206e-07,1.2105779315551548e-09,2.8152335353502816e-11,1.2111275922423708e-09,2.0506578812904681e-11,6.1555807959271076e-12,2.4432070451033952e-21,5.8281024688457621e-22,1.0655454640690808e-23,1.689285114797631e-33,7.4477236428605853e-36,2.9825980096095972e-38,5.8437276650410155e-38,1.3145492841489481e-38,2.8093738196733497e-23,1.1164311142572292e-24
9.999999999999999e-10,0.11224539580487526,0.0,0.0,0.0,0.0,0.99999959490644996,4.0240382452787343e-07,1.3123703923049096e-09,3.3023612880938884e-11,1.3130359594741619e-09,2.4070061059751101e-11,7.2254710392436165e-12,3.3228808344306107e-21,7.807531010117683e-22,1.5339534598314547e-23,2.8034983159786562e-33,1.2610984681799656e-35,5.0518893400438198e-38,1.0590774508526297e-37,2.3820906033324667e-38,4.126782360067946e-23,1.6346049940466389e-24
1.0470970702044846e-09,0.11224539580487526,0.0,0.0,0.0,0.0,0.99999957582455401,4.2135422891512548e-07,1.374969966526659e-09,3.6207397364883372e-11,1.3757137057186819e-09,2.6400863063429888e-11,7.925294790447547e-12,3.9665387422821032e-21,9.2470639350902553e-22,1.8932474397230864e-23,3.7401634331752719e-33,1.6995932909464845e-35,6.8095416735120783e-38,1.4783921638797372e-37,3.3249971231929309e-38,5.1482755076320577e-23,2.0352803337398677e-24
1.2946865253359043e-09,0.11224540143448805,0.0,0.0,0.0,0.0,0.99999947550624024,5.2097414434936878e-07,1.7052132600801439e-09,5.5353730912527922e-11,1.7064626750914677e-09,4.0443721327189075e-11,1.2142148377594109e-11,8.9580861335821068e-21,2.0330070790247161e-21,5.0826727519480659e-23,1.4909760693712669e-32,7.1394708373259828e-35,2.8627563742947486e-37,7.8485169544438532e-37,1.7641212228767986e-37,1.4409748652221557e-22,5.631810201761877e-24
