Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38)
4.399580897120272e-12,0.11224537210000839,0.0,0.0,0.0,0.0,0.99999999821803898,1.7705533324191209e-09,5.7030833920105952e-12,7.7241692574181945e-16,5.7030925313769061e-12,5.5832927004135778e-16,1.6755112401545093e-16,2.6195501273162999e-30,3.5146207992153e-29,5.7610501330550865e-33,4.5723703185775439e-47,9.5509806714505777e-50,2.6964177795095989e-52,8.4936753347853343e-54,1.9144220662425845e-54,2.5473308067503268e-34,1.0575406396724402e-35,1.302642496997802e-50
6.599371578778616e-12,0.11224537215001262,0.0,0.0,0.0,0.0,0.99999999732705769,2.6558296501398334e-09,8.5548430474245648e-12,1.599191057395847e-15,8.5548619963899763e-12,1.1559693179139215e-15,3.4689930650808443e-16,1.0592390506588259e-29,9.648705434414608e-29,2.0225010414465284e-32,3.2939408968282753e-46,8.6501512811242835e-49,2.5551528727028987e-51,8.8383839317263564e-53,1.9921109836627958e-53,1.25480676618466e-33,5.2089586395806656e-35,1.0867035087040911e-49
8.79916226043696e-12,0.11224537220001692,0.0,0.0,0.0,0.0,0.9999999964360754,3.5411056728653039e-09,1.1406747862734585e-11,2.7198049613235414e-15,1.1406780133761222e-11,1.9660325321375725e-15,5.8999453815785756e-16,2.8685013783452166e-29,2.0281696213476358e-28,5.0709338868329298e-32,1.211444786954239e-45,3.4216507809864085e-48,1.0484767286642335e-50,3.9672076206835695e-52,8.9417856228472861e-53,3.9365285560873239e-33,1.6340212368616373e-34,4.5471468135731393e-49
1e-11,0.11224537230002554,0.0,0.0,0.0,0.0,0.99999999594969946,4.024366451835122e-09,1.2963633442775204e-11,3.4672391318928205e-15,1.2963674621289976e-11,2.5063494092577181e-15,7.5214058592499308e-16,4.9650452856937292e-29,2.9357144176008872e-28,8.5042435919834576e-32,3.3286957344163738e-45,9.4550668691097277e-48,3.0892432161391641e-50,1.5748632887119236e-51,3.5495628445660254e-52,8.3785828883639769e-33,3.4772768243364279e-34,1.7547874197398006e-48
1.319874362375365e-11,0.11224537230002554,0.0,0.0,0.0,0.0,0.99999999465410949,5.311656749871694e-09,1.7111034101985882e-11,5.9258993620755408e-15,1.7111104643034915e-11,4.2837485803819212e-15,1.2855283748258567e-15,1.4371253945470077e-28,6.4804772607733926e-28,2.3746900444451904e-31,1.4605756581625084e-44,4.15096116252135e-47,1.4066583543857961e-49,8.1932668304399859e-51,1.8466579276953358e-51,3.0474564671153855e-32,1.2645509205739184e-33,9.0472485949050295e-48
1.7598324987070338e-11,0.11224537240003428,0.0,0.0,0.0,0.0,0.99999999287214136,7.0822065502286805e-09,2.2815948561005458e-11,1.0403883238806547e-14,2.2816072790711689e-11,7.5210963398262066e-15,2.2570398673079697e-15,4.3085633010855047e-28,1.4889262396899129e-27,6.9438935882390866e-31,6.7894666679146003e-44,1.997066257772674e-46,6.968936266768879e-49,4.7679504323324214e-50,1.0746242928612094e-50,1.152041209570934e-31,4.7793883947274932e-33,5.1169313029856762e-47
2.6397487713703715e-11,0.11224537260005203,0.0,0.0,0.0,0.0,0.99999998930819722,1.0623302303338374e-08,3.4227670453065511e-11,2.3193093747079953e-14,3.4227949259270786e-11,1.676792123222842e-14,5.0319712560535768e-15,2.2247119823990824e-27,5.0843055582182583e-27,3.6043257301645962e-30,8.7816263245818723e-43,2.5346737137306609e-45,9.3239843089609577e-48,9.9979604503794985e-49,2.2532920714232404e-49,9.3595957888627494e-31,3.8802851854647932e-32,1.0836122360242897e-45
4.3995813166970475e-11,0.1122453730000888,0.0,0.0,0.0,0.0,0.99999998218027919,1.7705478414871204e-08,5.7058685686210539e-11,6.410836592931927e-14,5.7059467206937122e-11,4.6356301298168433e-14,1.3911357970266398e-14,1.8100173095702928e-26,2.5013064376513746e-26,3.117781058411651e-29,2.3741743163480517e-41,6.4867058076545412e-44,2.4862324609327941e-46,4.9173527722034052e-47,1.1081365495238566e-47,1.3946240659197825e-29,5.7725636334777642e-31,5.6262054234683245e-44
7.919246407350398e-11,0.11224537380016736,0.0,0.0,0.0,0.0,0.99999996792432422,3.1869769039780521e-08,1.0275099089847286e-10,2.0730259672187692e-13,1.0275359039979195e-10,1.4995129215905296e-13,4.5000243139014032e-14,1.9872212423609252e-25,1.6283834684890224e-25,3.8519812141157598e-28,1.0218902886850586e-39,2.6734613531376407e-42,1.0489178047602125e-44,4.0114451226990857e-45,9.0380155914990129e-46,2.9762562266916597e-28,1.2278582101184769e-29,4.7964406943572949e-42
9.999999999999999e-11,0.11224537460025255,0.0,0.0,0.0,0.0,0.99999995949642217,4.0243367628493159e-08,1.2978231593887183e-10,3.3043844874878806e-13,1.2978652306025004e-10,2.3906690746549823e-13,7.1744122402992517e-14,4.9593520411990162e-25,3.3991727936088417e-25,9.8607784573967887e-28,3.794246559666025e-39,1.0673082539869652e-41,4.2015037229657759e-44,1.8325436613319314e-44,4.1286016874505924e-45,8.9624295767994904e-28,3.6928884412257951e-29,2.0601943129439629e-41
