Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550)
0.0002407760464500114,0.13736698871761205,0.0,0.0,0.0,0.0,0.62440376987021962,0.00049911226840670822,0.00013410839962182489,0.037563711406169688,7.0694751297297958e-05,0.16245278096674937,0.16440954311340752,1.6847689634079164e-07,4.8001160290457097e-06,0.0093014185070222667,1.1068865192748455e-08,3.3176957235409517e-08,1.3344286515087544e-10,0.00010368267471172121,3.6987126298939869e-07,0.00085275870470954106,1.5089624854997916e-07,0.00013378321019904142,2.9831119196879354e-08,2.1361149168353384e-05,3.0071840540052363e-05,1.7639565470123015e-05,1.4853798631927914e-12
0.00024333701853228838,0.1375753567935566,0.0,0.0,0.0,0.0,0.62191555465014392,0.00049796960896452899,0.00013431312456584307,0.037866553245476109,7.0471791621650823e-05,0.16338478127346914,0.16550600750353964,1.6909062995819945e-07,4.8513495524296285e-06,0.0094431692652543874,1.1213821299387146e-08,3.3786110682879462e-08,1.358929747578582e-10,0.00010640920845319163,3.7825055120222814e-07,0.00086271512257335078,1.5216907995625773e-07,0.00013627031173561318,3.0260452114218528e-08,2.1615102464372503e-05,3.0609823282334908e-05,1.7933710832033262e-05,1.5331632672125824e-12
0.0002458979906145654,0.13778276593187896,0.0,0.0,0.0,0.0,0.61944713875684865,0.00049683497724649936,0.00013451010136853928,0.038167970620382935,7.0250413603795242e-05,0.16430685604081488,0.16659378415423631,1.6969226424697544e-07,4.9023346070316336e-06,0.0095851520610973785,1.1358444040700056e-08,3.4397045333962358e-08,1.3835024864202301e-10,0.00010916812997908772,3.8668833310163476e-07,0.00087263380543461597,1.5342765286239378e-07,0.0001387665756890249,3.0688745600505397e-08,2.1867909900429412e-05,3.1149724270911531e-05,1.8228002102815764e-05,1.5817525387700672e-12
0.0002484589626968424,0.13798922400545072,0.0,0.0,0.0,0.0,0.61699827606216584,0.00049570826973408509,0.00013469949950393399,0.038467977365748272,7.0030601632513047e-05,0.16521914121970951,0.16767298019072993,1.7028201741189849e-07,4.953070222459162e-06,0.0097273569328345435,1.1502724952161165e-08,3.5009671797236434e-08,1.4081432725721253e-10,0.00011195916967257523,3.9518319558488733e-07,0.00088251450592906572,1.5467207093178141e-07,0.00014127173717840742,3.1115962599975724e-08,2.2119564152616501e-05,3.1691494243995223e-05,1.8522408453335963e-05,1.6311457418030442e-12
0.0002510199347791194,0.13819473882902758,0.0,0.0,0.0,0.0,0.61456872455290401,0.00049458938422219706,0.00013488148488516593,0.038766587109868245,6.9812339886797867e-05,0.16612177036197548,0.16874370096528907,1.7086010452613014e-07,5.0035555903319233e-06,0.0098697741588046773,1.1646656138814183e-08,3.5623902909232691e-08,1.4328486001843515e-10,0.00011478205548052172,4.0373372422898497e-07,0.00089235699621219929,1.5590244252513677e-07,0.00014378553742184735,3.1542068414632819e-08,2.2370058482132783e-05,3.2235085089703423e-05,1.8816900022613197e-05,1.6813408370243858e-12
0.0002535809068613964,0.138399318094205,0.0,0.0,0.0,0.0,0.61215824623790305,0.00049347822034533887,0.00013505621883852078,0.039063813277921959,6.9595613455422758e-05,0.16701487468207199,0.1698060500952987,1.7142672709083894e-07,5.0537898275910658e-06,0.010012394248221743,1.1790228969481911e-08,3.6239653006123205e-08,1.4576150237248974e-10,0.00011763651323250429,4.123384940743239e-07,0.00090216106648049815,1.5711887303016185e-07,0.00014630772348842909,3.1967028249884301e-08,2.2619386754173868e-05,3.27804497391478e-05,1.9111447922663689e-05,1.7323354886877818e-12
0.0002558857817354457,0.13858264580487317,0.0,0.0,0.0,0.0,0.61000492984741717,0.00049248469394663991,0.00013520740977076241,0.039330144806883578,6.9401859768105501e-05,0.16781063142395941,0.17075509081132442,1.7192705450159024e-07,5.0987853503537606e-06,0.01014091811983444,1.1919131962656994e-08,3.6795056271020041e-08,1.4799542041232456e-10,0.0001202322908924067,4.2012803193533311e-07,0.00091095172174736458,1.5820182946671965e-07,0.00014858465653428112,3.234848542341815e-08,2.2842780629541225e-05,3.3272756473792057e-05,1.9376566103707543e-05,1.7789123835691017e-12
0.0002579601691220901,0.13874700268444232,0.0,0.0,0.0,0.0,0.60807985328931768,0.00049159574209131065,0.00013533866179953226,0.039568902008622904,6.922852507031902e-05,0.16852038178058068,0.17160356073023728,1.7236967281082639e-07,5.1391065738498727e-06,0.010256718224383335,1.2034887135485082e-08,3.7295862555066806e-08,1.5000974093065156e-10,0.00012258999718725561,4.2717440473425874e-07,0.00091883646414350035,1.5916697642650253e-07,0.00015063938697117317,3.2690962372436435e-08,2.3043020679856264e-05,3.3717001938889786e-05,1.9615175805445117e-05,1.8213822367055283e-12
0.00026003455650873446,0.13891075917481907,0.0,0.0,0.0,0.0,0.60616688030910815,0.00049071168497227824,0.00013546543107602826,0.039806774670255528,6.9056170838498768e-05,0.16922410876276026,0.17244671672153766,1.7280512540336296e-07,5.1792619167579005e-06,0.010372635284778121,1.2150394281862619e-08,3.7797517333192176e-08,1.5202747422376918e-10,0.0001249679241181777,4.3425392173219905e-07,0.00092669568206400115,1.6012317070559125e-07,0.00015269918831235725,3.303263200830092e-08,2.3242486603427395e-05,3.4162330872418401e-05,1.9853774132910659e-05,1.8643723442694206e-12
0.00026210894389537884,0.13907391914507491,0.0,0.0,0.0,0.0,0.60426589178806256,0.00048983247290875246,0.0001355877963690352,0.040043769553419893,6.8884789190312899e-05,0.16992187783576462,0.1732846106760717,1.7323351469342367e-07,5.2192511267140641e-06,0.010488664673517809,1.2265649831161045e-08,3.8299977904988895e-08,1.5404844854401682e-10,0.00012736592265029728,4.4136586449279421e-07,0.00093452929541620021,1.61070471329259e-07,0.00015476393679863084,3.3373479131154338e-08,2.3441176155858571e-05,3.460872018761868e-05,2.0092347446300477e-05,1.9078812871884664e-12
