Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535)
9.92679381910381e-12,0.1122453722256496,0.0,0.0,0.0,0.0,0.99999999597935041,3.9949055823109379e-09,1.2868741373209784e-11,3.4615697354270112e-15,1.2868782483598461e-11,2.5022506218510154e-15,7.5091055979965527e-16,4.6454511086416086e-29,2.9196375882284834e-28,8.2316112530957121e-32,2.5011101357947487e-45,7.0687584510441341e-48,2.227132354390396e-50,9.2444474020717253e-52,2.0836203133249501e-52,7.1922316905634267e-33,2.985214872237029e-34,1.1002491640264715e-48,9.5301676694846028e-47,1.3674838796711207e-43,2.5887615953235794e-50,2.1367603114797896e-59,1.7176211494447029e-96,1.1015410089090348e-80
1e-11,0.11224537228206205,0.0,0.0,0.0,0.0,0.99999999594969946,4.0243664092962763e-09,1.2963654432953928e-11,3.50972563196166e-15,1.296369611727559e-11,2.5370623358526571e-15,7.6135735904228568e-16,4.7752695466497105e-29,2.9783624201168056e-28,8.443712041839381e-32,2.6023506261301459e-45,7.3767702751805158e-48,2.3266401821929212e-50,9.6982823041793628e-52,2.18591044945261e-52,7.4338397612507941e-33,3.0854863571590216e-34,1.1507882098235744e-48,9.9116163751786929e-47,1.4208306044921e-43,2.7039126254951863e-50,2.2467669468756876e-59,1.930446338120305e-96,1.1981388263485003e-80
1.2408492405364885e-11,0.11224537228206205,0.0,0.0,0.0,0.0,0.99999999497418568,4.9936310655579453e-09,1.6086401882861671e-11,5.2884959322247224e-15,1.608646478858656e-11,3.8229442039461037e-15,1.147243375390502e-15,1.0432890137830966e-28,5.3434050456133912e-28,1.7533802894329946e-31,7.4517130637516631e-45,2.2373978774717692e-47,7.1940468997608678e-50,3.2359069173620092e-51,7.2934348883977664e-52,1.8485141951428211e-32,7.6718326120296518e-34,3.6395821421614132e-48,2.8148238688828997e-46,3.9541218345655485e-43,8.343797942797848e-50,7.8011911995743879e-59,1.4300631395078296e-95,6.5764527230831676e-80
1.7371889577887035e-11,0.1122453723948871,0.0,0.0,0.0,0.0,0.99999999296385478,6.9910808002497238e-09,2.2522329053007725e-11,1.0169587860961856e-14,2.2522450457198295e-11,7.3517011883799413e-15,2.2062051626157366e-15,4.0415668523207505e-28,1.429281124167554e-27,6.5025348659724519e-31,6.242756341749515e-44,1.8711325381854788e-46,6.5034381816945419e-49,4.3236298157034169e-50,9.7448288470798759e-51,1.0418564691666494e-31,4.3224525057011044e-33,4.7165618700833003e-47,2.5450393106443521e-45,3.3008522689004536e-42,1.0781773065761291e-48,1.6004519218267096e-57,2.9832230496353457e-93,6.948423218118525e-78
2.7298683922931332e-11,0.11224537262053758,0.0,0.0,0.0,0.0,0.9999999889431832,1.0985975372423327e-08,3.5396592751210205e-11,2.4810701495230326e-14,3.5396891244666174e-11,1.793757843225901e-14,5.3829809566717694e-15,2.5930371849138568e-27,5.6750462397939275e-27,4.232578113106918e-30,1.1591841935257773e-42,3.2942182007494494e-45,1.2203778559935713e-47,1.4270821672489164e-48,3.2162519755388596e-49,1.1637399093976164e-30,4.8239001641751317e-32,1.6470139621502003e-45,5.733658121750491e-44,6.6453129806111106e-41,4.1614117673028168e-47,1.0677988303420689e-55,1.9633496980342876e-90,2.1881422885058962e-75
3.722547826797563e-11,0.11224537284618864,0.0,0.0,0.0,0.0,0.99999998492249875,1.4980863409298291e-08,4.8274071123653501e-11,4.5962641715277599e-14,4.8274628020022037e-11,3.3232790429366474e-14,9.9730213874929948e-15,8.5435581135372346e-27,1.4388281433812878e-26,1.4031953763275744e-29,6.1459584235608882e-42,1.8136537705473056e-44,6.8158767905113758e-47,9.4470015484477944e-48,2.1290494635749991e-48,4.9122085991362281e-30,2.0351973738848572e-31,1.0620543119232306e-44,3.2003663504611384e-43,3.5045940884909536e-40,2.7106938566164427e-46,8.1784656643270618e-55,2.4211111253292415e-89,2.5540197819273888e-74
5.7079066958064227e-11,0.11224537329749226,0.0,0.0,0.0,0.0,0.99999997688109221,2.2970619882408119e-08,7.4038664750663706e-11,1.0779306889668848e-13,7.4039990725201901e-11,7.7952999046679937e-14,2.3393477329377654e-14,4.8623900540762281e-26,5.4813998345276563e-26,8.4058254494713623e-29,9.697961280876776e-41,2.8042575840748366e-43,1.0823401093513374e-45,2.4632784379512731e-46,5.5508821498693624e-47,4.5164504032484873e-29,1.868270856791228e-30,2.8274101656076592e-43,5.8962190108418202e-42,5.3066103115540697e-39,7.3290597196274786e-45,3.7144160736727798e-53,1.8330403854422815e-86,6.3152562433843074e-72
9.678624433824143e-11,0.11224537420010586,0.0,0.0,0.0,0.0,0.99999996079812803,3.8950054423262362e-08,1.2560637162745519e-10,3.0955850155754185e-13,1.2561029894185902e-10,2.2395050762884504e-13,6.7207599649051335e-14,4.2293002262715889e-25,3.0042230729158066e-25,8.2703016910515058e-28,3.038756702385604e-39,8.4068616202685885e-42,3.3084638511775345e-44,1.432158564781562e-44,3.2265585811619765e-45,7.2988672231328676e-28,3.0083066697251758e-29,1.7467409200999586e-41,2.3856830169866468e-40,1.633911859747993e-37,4.8471370718173991e-43,4.5151512045907511e-51,2.6592204505884612e-83,4.0218756666281743e-69
9.999999999999999e-11,0.11224537510272789,0.0,0.0,0.0,0.0,0.99999995949642229,4.0243367623259356e-08,1.2978232079437916e-10,3.3044402129843598e-13,1.2978652378574736e-10,2.390679023728926e-13,7.1744396040570696e-14,4.8615256639401918e-25,3.3491480026204115e-25,9.5759831147364012e-28,3.825804172467829e-39,1.0746123281989638e-41,4.2325704929484138e-44,1.905947586872864e-44,4.2938907555119369e-45,8.7314919587098449e-28,3.5976167055091462e-29,2.2948318715664907e-41,3.0527474340708212e-40,2.0376396921921042e-37,6.3691331615810969e-43,6.1828953562580222e-51,4.0981683395096599e-83,6.272181510842484e-69
1.3649342171841863e-10,0.11224537510272789,0.0,0.0,0.0,0.0,0.99999994471496234,5.4929384419499736e-08,1.7722540136813122e-10,6.1546166597312857e-13,1.7723341901696447e-10,4.4540790709135196e-13,1.3366824969104852e-13,1.5499770613018858e-24,8.8011058995626589e-25,3.180175081286647e-27,1.8529828451704007e-38,5.497410583795701e-41,2.1713030053220444e-43,1.1066474300064984e-43,2.4930144553247873e-44,3.4227572522361547e-27,1.4081281448519514e-28,1.2815260169898129e-40,1.5656830472923396e-39,9.5192278014254962e-37,3.5581800338554144e-42,3.8833227039164227e-50,3.3294873333586744e-82,5.2050806124289007e-68
