Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806)
1e-12,0.11224537202870542,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243687436528255e-10,1.2962153558276831e-12,4.8298857924680094e-17,1.2962159255676034e-12,3.4910800434238926e-17,1.0476501511642846e-17,1.6924117492235143e-32,6.958783292854376e-31,4.0620625752923341e-35,4.5907639370861192e-50,9.5701081279616413e-53,1.9635194726706829e-55,3.8141025458637355e-57,8.5968709520507786e-58,6.4821239315380685e-37,2.6917647637547853e-38,5.9954373784613579e-54,2.1241111300055143e-51,3.3215806005139269e-48,1.779912634356257e-55,3.6447909158798873e-65,1.7707036279085581e-105,2.0904151005907877e-88,7.247975293847709e-91
1.2628126181411927e-12,0.11224537202870542,0.0,0.0,0.0,0.0,0.99999999948852381,5.0820235368802435e-10,1.6368816662252686e-12,7.0219714361435672e-17,1.6368824946438141e-12,5.0755440781312732e-17,1.5231374327619833e-17,2.7754120379242529e-32,1.0946614188880489e-30,6.6620059262742407e-35,7.7775013630669821e-50,1.6213303289042863e-52,3.3385871092444722e-55,6.4974595563267469e-57,1.4645075461203394e-57,1.0861888226274776e-36,4.5104955258326409e-38,1.0213462397513935e-53,3.5988753384326126e-51,5.6272085306474132e-48,3.0321549679485878e-55,6.2262635964155441e-65,3.032965762236756e-105,3.5796606894878571e-88,1.2413706446388086e-90
2.5256257715323724e-12,0.11224537205741086,0.0,0.0,0.0,0.0,0.99999999897704706,1.0164047819072253e-09,3.2738334135910447e-12,2.8087891707102694e-16,3.2738367324061889e-12,2.030255161097472e-16,6.0926650002005652e-17,4.4384193361089362e-31,8.7888331293062553e-30,1.0696367885021511e-33,4.9898424739333599e-48,1.0405884730140807e-50,2.8355943116459141e-53,8.3401975066627915e-55,1.8798341200147761e-55,3.4741035521150186e-35,1.4423943793147775e-36,1.3113624936250677e-51,2.3420666853062939e-49,3.5998703457451343e-46,3.895042171937963e-53,1.5989739768362526e-62,2.3142601605660507e-101,7.2944239142312402e-85,5.0150359671123887e-87
3.788438924923552e-12,0.11224537208611628,0.0,0.0,0.0,0.0,0.99999999846557019,1.5246071044062479e-09,4.9108371990789523e-12,5.9686771177850179e-16,4.9108442591099737e-12,4.3143467934805452e-16,1.2947080794749051e-16,1.6917525595062711e-30,2.5190792035340657e-29,3.9445105587529814e-33,2.786849510957453e-47,5.1675491225838729e-50,1.494946853228699e-52,4.9434880083193706e-54,1.1142306165053083e-54,1.6302062852569011e-34,6.7678878567305197e-36,8.5823795304502906e-51,1.3241147461970436e-48,2.0228434340839734e-45,2.5643086890773771e-52,1.2023956621819625e-61,1.3254816744950942e-100,5.7846107643288839e-84,4.4687986540419185e-86
5.051252078314732e-12,0.11224537211482179,0.0,0.0,0.0,0.0,0.999999997954093,2.032809321184837e-09,6.5478930209903676e-12,1.0181860797962007e-15,6.5479050764283657e-12,7.3598535084874797e-16,2.2086459195130619e-16,4.5508958020332018e-30,5.3274958440221551e-29,1.002446153546505e-32,1.0482200908310837e-46,2.1901279670489547e-49,6.4312377624315135e-52,2.2360379791225975e-53,5.0398767207763523e-54,5.0809988226486666e-34,2.1092745317203966e-35,3.5876292024510882e-50,4.7633092818513855e-48,7.2058219579764957e-45,1.032955349639141e-51,5.5584343824302724e-61,2.2706433858937143e-99,4.8404589208337525e-83,3.7661662404014848e-85
7.576878385097091e-12,0.11224537217223275,0.0,0.0,0.0,0.0,0.99999999693113817,3.0492135064518561e-09,9.8221267852974814e-12,2.1080248201828755e-15,9.8221517855153982e-12,1.5237936597123921e-15,4.5728114066192914e-16,1.8401236526186577e-29,1.4636507263290939e-28,3.5212308899483021e-32,7.5551857647875675e-46,1.9851996237161766e-48,6.0743765653426889e-51,2.3284449525274116e-52,5.2481367757769291e-53,2.5027972799624932e-33,1.0388825533500956e-34,2.9770367438231533e-49,2.9279445688897427e-47,4.2718315562097758e-44,7.3411460026272238e-51,5.2983933698009165e-60,2.4730871064183046e-97,1.9350580752535481e-81,1.6011788839759087e-83
1e-11,0.11224537222964369,0.0,0.0,0.0,0.0,0.99999999594970013,4.0243656978329887e-09,1.2963652838345193e-11,3.5177043609527574e-15,1.2963694619415628e-11,2.542831061511109e-15,7.6308834581700997e-16,4.8212395102251911e-29,2.9998053213894182e-28,8.5630573841657244e-32,2.6705337292025711e-45,7.5378578684995149e-48,2.382508964053731e-50,1.0008508844543812e-51,2.2558334563927386e-52,7.5690794893953591e-33,3.141596953373165e-34,1.1926028117759995e-48,1.0192908528677805e-46,1.4605896087263333e-43,2.8086571037221658e-50,2.3527301282725955e-59,2.0423051293428908e-96,1.259756993125095e-80,1.1603684586973489e-82
1.0102504691879451e-11,0.11224537222964369,0.0,0.0,0.0,0.0,0.99999999590818245,4.0656173028606944e-09,1.3096551891713261e-11,3.58519781796647e-15,1.3096594476821201e-11,2.5916215557804207e-15,7.7773009282673268e-16,4.98302107903424e-29,3.078671666979676e-28,8.8330186787755566e-32,2.7794102698619271e-45,7.8560460967961613e-48,2.4846723323613994e-50,1.0455607126962283e-51,2.3566054899269676e-52,7.8514588703456987e-33,3.2587944156046131e-34,1.2443566142020949e-48,1.0606302363295851e-46,1.5192604559825288e-43,2.9281379302138783e-50,2.4593753179699849e-59,2.1519159146937089e-96,1.3239742839047931e-80,1.2210381435349852e-82
1.262813099866181e-11,0.11224537228705474,0.0,0.0,0.0,0.0,0.99999999488522617,5.0820206827082761e-09,1.63711819964188e-11,5.4773716814836839e-15,1.6371247160495967e-11,3.959486614414706e-15,1.1882187350923486e-15,1.1190958328204503e-28,5.6349790889006834e-28,1.881613048093352e-31,8.2812570723060677e-45,2.4867611715260219e-47,8.0240495898891373e-50,3.6600690101852202e-51,8.2494565385177786e-52,2.0179378193177992e-32,8.3748715443175642e-34,4.1164743134572192e-48,3.1337121265247923e-46,4.3929803892674282e-43,9.4383346328980532e-50,8.9794138229025255e-59,1.7918266609960941e-95,7.9023317092317886e-80,7.5306452481320493e-82
1.7679383612226528e-11,0.11224537240187683,0.0,0.0,0.0,0.0,0.99999999283931107,7.1148261666074139e-09,2.2921070000796582e-11,1.0532789103349423e-14,2.2921195771426276e-11,7.6142844263211333e-15,2.2850045598020656e-15,4.3351536860977558e-28,1.5076075792777341e-27,6.9795549492678435e-31,6.9391451935239759e-44,2.0802139892388532e-46,7.2473930695827593e-49,4.8916916049560172e-50,1.1025151686239293e-50,1.1373273797697095e-31,4.7184477860623155e-33,5.3359339018775082e-47,2.8367128092831518e-45,3.6671643231017179e-42,1.2200478122286751e-48,1.842673372647549e-57,3.7310640463125129e-93,8.2839429468916784e-78,1.4850082480681106e-79
