Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309)
7.463077933246032e-06,0.11302829248366304,0.0,0.0,0.0,0.0,0.98557348125358923,0.00066433386967572176,3.8426835611083279e-05,0.0012237891575972509,9.804022381066224e-05,0.0065049752453833582,0.0058854589052301631,8.6248563900708714e-09,4.5115922808127328e-08,9.8604441734449868e-06,1.3988181182234802e-11,9.0351824866445031e-12,3.634087242920914e-14,1.1932205126043036e-09,1.3810751691362562e-11,1.5576493475229277e-06,4.580065143547563e-10,8.4124863287583392e-09,1.1696668720725729e-11,1.0833066523000414e-08,1.5206443650046237e-09,2.0881107426023264e-10
7.52054556133795e-06,0.11303593085371867,0.0,0.0,0.0,0.0,0.98543339115236606,0.00066423659858095131,3.849337628225351e-05,0.0012358619684727714,9.8049560694372099e-05,0.0065716532601384735,0.0059465842330805778,8.7121800052979677e-09,4.5643346041060139e-08,1.0063696304100733e-05,1.4275668023685818e-11,9.2363055706227453e-12,3.7149820021645061e-14,1.2316753491908763e-09,1.4174808742537996e-11,1.588462470391171e-06,4.6633420634045021e-10,8.6655032351787309e-09,1.1955677150973327e-11,1.1132577603382699e-08,1.5728540535565721e-09,2.1745988711014997e-10
7.578013189429868e-06,0.11304356937762408,0.0,0.0,0.0,0.0,0.98529331904216988,0.00066413987837387462,3.8559600538343454e-05,0.0012479329854925879,9.8058035082317506e-05,0.0066383194030770918,0.0060077034802617224,8.7994724765145937e-09,4.6171703231370662e-08,1.0269020016252185e-05,1.4566071861424818e-11,9.4398406850171858e-12,3.7968469168718137e-14,1.2709696990634247e-09,1.4544947187061176e-11,1.6195740338154186e-06,4.7473206749624101e-10,8.923514147179482e-09,1.2217904127118754e-11,1.1437071018260046e-08,1.6263103319678362e-09,2.263743732114497e-10
7.64551316679728e-06,0.11305254150879698,0.0,0.0,0.0,0.0,0.98512881833171817,0.00066402700668564258,3.8637001152757695e-05,0.0012621089439017359,9.8066947308811099e-05,0.0067166078465979318,0.0060794840814282717,8.9019641803436139e-09,4.6793493338994334e-08,1.0512831134456259e-05,1.4910893228976863e-11,9.6819960487012936e-12,3.8942454824926095e-14,1.3182089463065246e-09,1.4987533729150885e-11,1.6564975445537956e-06,4.8468547895267358e-10,9.2330068404416505e-09,1.2530034945978206e-11,1.1801115693654524e-08,1.6907124001513776e-09,2.3719148631012989e-10
7.713013144164692e-06,0.11306151369019381,0.0,0.0,0.0,0.0,0.98496434537822908,0.00066391495529136797,3.8714007143214869e-05,0.0012762823158311452,9.8074798908224037e-05,0.0067948783860470475,0.0061512547689864371,9.0044127242952905e-09,4.7416577855640735e-08,1.0759495012515729e-05,1.5259731791989636e-11,9.9274969692855311e-12,3.99298968200917e-14,1.3666352626126021e-09,1.5438654830115261e-11,1.6938317731492391e-06,4.9473544982171454e-10,9.549526792699179e-09,1.284664027337875e-11,1.2172103997112208e-08,1.7568824650382513e-09,2.4839095922929581e-10
7.780513121532104e-06,0.11307048584010199,0.0,0.0,0.0,0.0,0.98479990163375541,0.00066380374770606213,3.8790639293643982e-05,0.0012904530485105688,9.8081653835135771e-05,0.0068731302698432318,0.0062230147901552709,9.1068175491771677e-09,4.8040959985910249e-08,1.1009008862534336e-05,1.5612586916664955e-11,1.0176353074518825e-11,4.0930833880695148e-14,1.4162642753080203e-09,1.5898388756434754e-11,1.7315761697408727e-06,5.0488184914801678e-10,9.8731479838145397e-09,1.3167738469040478e-11,1.2550072831661957e-08,1.8248465452220911e-09,2.5998145593439101e-10
7.848013098899517e-06,0.11307945788373319,0.0,0.0,0.0,0.0,0.98463548846322413,0.00066369340192964791,3.8866917171058682e-05,0.0013046210939270378,9.8087572231621935e-05,0.0069513627933581396,0.0062947634380846693,9.2091785282784073e-09,4.8666642832371568e-08,1.126136992665971e-05,1.5969453488917969e-11,1.0428574198092811e-11,4.1945305556874009e-14,1.4671116416544811e-09,1.6366814035117148e-11,1.7697301842944475e-06,5.1512454589465007e-10,1.0203944224338298e-08,1.3493347888273239e-11,1.2935058514050495e-08,1.8946306552107783e-09,2.7197171932024857e-10
7.91551307626693e-06,0.11308842974927624,0.0,0.0,0.0,0.0,0.9844711071491814,0.00066358393096646194,3.8942859200392428e-05,0.0013187864084837657,9.8092610622407152e-05,0.0070295752962640174,0.0063665000493137855,9.3114955837025772e-09,4.9293629427059998e-08,1.1516575477347348e-05,1.6330327658906131e-11,1.0684170081552235e-11,4.2973351029814709e-14,1.5191930480040073e-09,1.6844009323488706e-11,1.8082932666649556e-06,5.2546340865957083e-10,1.0541989156397268e-08,1.3823486814099785e-11,1.3327096784415147e-08,1.9662608032136071e-09,2.8437057052738345e-10
7.983013053634342e-06,0.11309740136996498,0.0,0.0,0.0,0.0,0.98430675889682995,0.00066347534337702697,3.9018482728068874e-05,0.0013329489526357388,9.8096822145724022e-05,0.0071077671597274059,0.0064382240010604245,9.4137681648087487e-09,4.9921922720967065e-08,1.1774622816188706e-05,1.6695209315021695e-11,1.0943150464359333e-11,4.4015009476116716e-14,1.572524210559329e-09,1.7330053455401877e-11,1.8472648665890889e-06,5.3589830722760802e-10,1.0887356253397871e-08,1.4158173433977954e-11,1.3726222812989057e-08,2.039762988571212e-09,2.9718690804076075e-10
8.050513031001754e-06,0.1131063726823246,0.0,0.0,0.0,0.0,0.98414244483782665,0.00066336764367354751,3.9093804079958547e-05,0.0013471086906234233,9.8100256712460059e-05,0.0071859378042949795,0.0065099347091897497,9.5159959835497096e-09,5.0551525665539395e-08,1.2035509273685676e-05,1.7064094416985361e-11,1.120552522509984e-11,4.5070320627393715e-14,1.6271208750871107e-09,1.7825025424615831e-11,1.8866444336370132e-06,5.4642911326965513e-10,1.124011882175913e-08,1.4497425968245737e-11,1.4132471207559738e-08,2.1151631998120093e-09,3.1042970703793786e-10
