,base.py,chemkin.py,model.py,~,~,~,~,~,~,~,~,~,~
,1260,1659,234,0,0,0,0,0,0,0,0,0,0
,isMoleculeForbidden,markDuplicateReaction,checkForExistingSpecies,<gc.collect>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'getLabeledAtoms' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'getSymmetryNumber' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isSubgraphIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'split' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'update' of 'rmgpy.molecule.molecule.Molecule' objects>
,,,,,,,,,,,,,
48,1572.426964,1126.306765,1422.155544,0.0,8190.705234,21596.501814,1867.152459,9527.42331,5215.017838,8223.436943,0.0,3717.537873,1906.92884
49,1580.541537,1127.445338,1428.426563,0.0,8246.959325,21696.25036,1878.170629,9608.935771,5256.130771,8272.680366,0.0,3742.954203,1918.387625
50,1588.552764,1128.577214,1434.972449,0.0,8291.153062,21839.561589,1888.77355,9686.460745,5303.469913,8319.246233,0.0,3767.735176,1929.524064
51,1590.668759,1128.916005,1436.725565,0.0,8300.197829,21866.878689,1891.75058,9704.208725,5318.548655,8332.725576,0.0,3774.47597,1932.54441
52,1598.639148,1130.007809,1443.217061,0.0,8355.750142,21998.285881,1902.293079,9771.707755,5365.66463,8378.937398,0.0,3799.301464,1943.649727
53,1605.661888,1130.857631,1448.931743,0.0,8407.570124,22113.93206,1911.977252,9835.379397,5413.372265,8422.242772,0.0,3820.864474,1953.494316
54,1623.146103,1136.738429,1462.197878,0.0,8490.992956,22272.613089,1933.089016,9957.659667,5474.577388,8519.896905,0.0,3855.855475,1973.073183
55,1665.265026,1143.756095,1479.409421,0.0,8699.115988,22653.836242,1977.773295,10034.054224,5546.868439,8711.871122,0.0,3958.316787,2023.18023
56,1672.125732,1152.313715,1486.64731,0.0,8707.063873,22699.203887,1984.08645,10059.322404,5555.955503,8748.697379,0.0,3962.773813,2027.882212
57,1683.714828,1158.86162,1496.096852,0.0,8726.404451,22761.110826,1995.734269,10105.423044,5579.599007,8804.809324,0.0,3975.258389,2037.959695
