Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28)
9.379935007502715e-13,0.11224537202132187,0.0,0.0,0.0,0.0,0.9999999996200849,3.7748324517730999e-10,1.2158388563283571e-12,3.8741905651617946e-17,1.215839313200931e-12,2.8002866426232685e-17,8.4034773134758999e-18,8.4496919983214403e-33,4.481880867574587e-31,2.0260921445628908e-35,1.218111376975826e-50,2.7261881564663344e-53
1e-12,0.1122453720426437,0.0,0.0,0.0,0.0,0.99999999959497055,4.0243694658885544e-10,1.2962149835542875e-12,4.6425060250121575e-17,1.2962155311714341e-12,3.3556394113608251e-17,1.0070055415154639e-17,1.6825173242101315e-32,6.5621652182891117e-31,4.0406821321206779e-35,6.3008132530507879e-50,1.4110198939161833e-52
1.8759873990741826e-12,0.1122453720426437,0.0,0.0,0.0,0.0,0.9999999992401698,7.5496657262989963e-10,2.4317165112144132e-12,1.5496765971285454e-16,2.4317183408117282e-12,1.1201301289535233e-16,3.3614384381164028e-17,1.3514851221647118e-31,3.5951066372533114e-30,3.25014961503242e-34,7.8105911907545318e-49,1.7493608195682339e-51
2.813981297398094e-12,0.11224537206396556,0.0,0.0,0.0,0.0,0.99999999886025415,1.1324498417542142e-09,3.6476228775093221e-12,3.2930629013796107e-16,3.6476267684974121e-12,2.3802989475520637e-16,7.14312556413525e-17,5.1517159624165354e-31,1.0298090671857261e-29,1.1979750858669187e-33,4.3589976017079542e-48,8.6869454716080961e-51
4.689969094045917e-12,0.11224537210660934,0.0,0.0,0.0,0.0,0.99999999810042295,1.8874161468325456e-09,6.0795504506277418e-12,9.104349926667137e-16,6.0795612301186246e-12,6.5809853522850761e-16,1.9749129345435425e-16,4.23395258389112e-30,4.7592315265787718e-29,9.2666928293109605e-33,1.1380990471709233e-46,2.7654461480164224e-49
6.326133962360402e-12,0.11224537214380159,0.0,0.0,0.0,0.0,0.99999999743772694,2.5458687315915116e-09,8.2006716915561401e-12,1.5932667080438004e-15,8.20069058005899e-12,1.1516939511378818e-15,3.4561634569083246e-16,1.1889906014070468e-29,1.0458078807633814e-28,2.4605020321766621e-32,4.5944471445245374e-46,1.2034653652777033e-48
7.962298830674886e-12,0.11224537218099387,0.0,0.0,0.0,0.0,0.99999999677503038,3.2043211259047829e-09,1.0321886679027327e-11,2.4658708103774059e-15,1.0321915951455695e-11,1.7824846030365541e-15,5.349129836627651e-16,2.6837779740277785e-29,1.961946605456712e-28,5.4949721071767613e-32,1.3584116781534843e-45,3.4311466591530059e-48
9.59846369898937e-12,0.11224537221818617,0.0,0.0,0.0,0.0,0.99999999611233337,3.8627733436281452e-09,1.2443188572944974e-11,3.5144081532325625e-15,1.2443230345357912e-11,2.5404706162739969e-15,7.6238033318894429e-16,5.251264077645695e-29,3.264593723334565e-28,1.0489314655168846e-31,3.4466467049087345e-45,9.0008326063616658e-48
1e-11,0.11224537229257082,0.0,0.0,0.0,0.0,0.99999999594969879,4.0243661266313787e-09,1.2963793887631163e-11,3.792038326692368e-15,1.2963838972954455e-11,2.7411713340750808e-15,8.2260950908305674e-16,6.0878549579215386e-29,3.638783644690022e-28,1.2039553705243585e-31,4.3103234753391794e-45,1.1464911370604734e-47
1.287079343561834e-11,0.11224537229257082,0.0,0.0,0.0,0.0,0.99999999478693891,5.1796773786518635e-09,1.6685989253881525e-11,6.0100953604674557e-15,1.6686060840746642e-11,4.3446441161951223e-15,1.3038030034031941e-15,1.4439940085495644e-28,6.9398354016751599e-28,2.68494405822879e-31,1.4517418415956974e-44,4.1679315932761299e-47
1.614312317224731e-11,0.11224537236695549,0.0,0.0,0.0,0.0,0.999999993461543,6.4965807586658152e-09,2.0929112193181153e-11,9.1582239155651281e-15,2.0929221502250072e-11,6.6205601243417307e-15,1.9867936321021015e-15,3.2058767477345538e-28,1.2625652988494374e-27,5.6706684703414285e-31,4.2592434389620695e-44,1.2897546297026919e-46
1.941545290887628e-11,0.11224537244134024,0.0,0.0,0.0,0.0,0.99999999213614588,7.8134834407025789e-09,2.517257856028008e-11,1.3001702984792691e-14,2.5172734069126773e-11,9.3992796894168377e-15,2.8206737736766888e-15,6.2977962054901222e-28,2.0938852783594418e-27,1.0726853340022099e-30,1.0794131710097818e-43,3.41888635106513e-46
2.5960112382134217e-11,0.11224537259010989,0.0,0.0,0.0,0.0,0.99999998948534774,1.0447286671995107e-08,3.3660560571015084e-11,2.2813487184326848e-14,3.3660834699406191e-11,1.6493394202975626e-14,4.9495864152683743e-15,1.986890001248645e-27,4.8744147147787904e-27,3.2627603534443607e-30,6.3258786714428477e-43,2.0406265785116362e-45
3.2504771855392155e-11,0.11224537273887977,0.0,0.0,0.0,0.0,0.99999998683454394,1.3081087066554533e-08,4.2149938011862617e-11,3.5451381919559993e-14,4.2150365938896235e-11,2.5631573942169498e-14,7.6919194655977931e-15,4.7623433503594912e-27,9.4641052156269706e-27,7.7245396246079667e-30,2.241156156990023e-42,7.3725238299565257e-45
4.559409080190803e-11,0.11224537303642027,0.0,0.0,0.0,0.0,0.99999998153291958,1.8348679337365247e-08,5.91328818740483e-11,6.9213404556850762e-14,5.9133725451997302e-11,5.0047590530673279e-14,1.5019099277803278e-14,1.8827210198047238e-26,2.6746761047396195e-26,3.1034645629127248e-29,1.9329578405852208e-41,6.2934019073765986e-44
7.177272869493979e-11,0.1122453736315039,0.0,0.0,0.0,0.0,0.99999997092960591,2.8883829802813606e-08,9.3115518570557219e-11,1.7068405523570628e-13,9.3117641206106512e-11,1.2345067681959333e-13,3.704733142737924e-14,1.2231276617776224e-25,1.1294887832919875e-25,2.1832641554664908e-28,3.8299519148515172e-40,1.1880227267841069e-42
9.999999999999999e-11,0.11224537482168226,0.0,0.0,0.0,0.0,0.99999995949642162,4.0243367254384892e-08,1.2978249734973698e-10,3.3081167761389168e-13,1.2978671486493226e-10,2.3934101827077783e-13,7.1826421867279576e-14,5.4243806144592821e-25,3.5187205137046099e-25,1.1003120750230065e-27,5.5346873115641987e-39,1.6449385435842163e-41
1.241300044810033e-10,0.11224537482168226,0.0,0.0,0.0,0.0,0.99999994972271478,4.9953994412048266e-08,1.611477284196185e-10,5.094185082903253e-13,1.6115432553659593e-10,3.6863651148840036e-13,1.106286988567172e-13,1.1554051224009171e-24,6.7620259208051661e-25,2.4137132920645535e-27,1.3854094589795122e-38,4.1052410837120723e-41
1.764872802670668e-10,0.11224537601187533,0.0,0.0,0.0,0.0,0.99999992851547292,7.1023977246268368e-08,2.2926910509539349e-10,1.02920998034083e-12,2.2928289456651541e-10,7.4511262537994736e-13,2.2361289965601002e-13,4.3401934472835147e-24,2.0563858064193649e-24,9.6322724642750395e-27,8.7400544826229611e-38,2.7971865606061473e-40
2.288445560531303e-10,0.11224537720208312,0.0,0.0,0.0,0.0,0.9999999073078798,9.2093778287177593e-08,2.9747953468728275e-10,1.7300581597218822e-12,2.9750346143529558e-10,1.2530432457303977e-12,3.7605079188175529e-13,1.1541787004296936e-23,4.7294646982044738e-24,2.6957312690301588e-26,3.58568805435843e-37,1.2321364492027638e-39
2.812018318391938e-10,0.11224537839230571,0.0,0.0,0.0,0.0,0.99999988609993495,1.1316339751653271e-07,3.6577889937481019e-10,2.611962055551399e-12,3.658161424966519e-10,1.8925974530931603e-12,5.6799486443588795e-13,2.5239407420288076e-23,9.27616323582582e-24,6.1993507380204471e-26,1.1533890573821947e-36,4.191709933035291e-39
3.859163834113208e-10,0.11224538077279517,0.0,0.0,0.0,0.0,0.99999984368299066,1.5530209047393659e-07,5.0264399820333979e-10,4.9189323250939691e-12,5.0271827658926228e-10,3.5672016568453854e-12,1.0705963014622653e-12,8.4524074509620944e-23,2.667692762795617e-23,2.297847817193387e-25,7.7275209212431399e-36,3.0470348744498292e-38
4.906309349834478e-10,0.11224538315334393,0.0,0.0,0.0,0.0,0.99999980126463806,1.9744005597429614e-07,6.3986346040108562e-10,7.9501107193036651e-12,6.399902241211403e-10,5.7702760529825734e-12,1.7318388336075525e-12,2.119668194467341e-22,6.0589543892367054e-23,6.2998428595076745e-25,3.0821879312627913e-35,1.2891559853026617e-37
5.953454865555748e-10,0.11224538553395201,0.0,0.0,0.0,0.0,0.99999975884487602,2.3957729386607621e-07,7.7743629940265898e-10,1.1705486385755718e-11,7.7763295675506877e-10,8.5032391741661805e-12,2.5521673057117371e-12,4.4678108397724157e-22,1.1910043938426839e-22,1.4475080597227235e-24,9.6061923557443346e-35,4.2326964044745653e-37
7.000600381277018e-10,0.11224538791461962,0.0,0.0,0.0,0.0,0.99999971642370256,2.8171380399926476e-07,9.1536154259587853e-10,1.6185048325684768e-11,9.1564743206986445e-10,1.1767492976468143e-11,3.532024077794343e-12,8.3744040681597176e-22,2.1205173534949998e-22,2.9587061278414133e-24,2.5816944206248906e-34,1.1853021037236891e-36
9.094891412719559e-10,0.11224539267613401,0.0,0.0,0.0,0.0,0.99999963157711491,3.6598464041446142e-07,1.1922655496428266e-09,2.7316688701681329e-11,1.1927952447180556e-09,1.9895220806356942e-11,5.9720289210821799e-12,2.3322803410463561e-21,5.5196827282752213e-22,1.0019052373020737e-23,1.5377285863413611e-33,7.4646897706023056e-36
9.999999999999999e-10,0.11224539696170206,0.0,0.0,0.0,0.0,0.99999959490644974,4.024038241916464e-07,1.312370875102037e-09,3.3023996664322682e-11,1.3130358615990485e-09,2.4069917538341516e-11,7.225425962256205e-12,3.3747012150701693e-21,7.837867577518444e-22,1.5637985825537461e-23,2.8856613969378812e-33,1.429288418683971e-35
1.0979753341017844e-09,0.11224539696170206,0.0,0.0,0.0,0.0,0.99999955521034289,4.4182590279777485e-07,1.4426750483082346e-09,3.9811775530209027e-11,1.4435088199895871e-09,2.904071209758128e-11,8.7179384983499417e-12,4.8409251557341794e-21,1.1067740002472909e-21,2.4069842503427381e-23,5.1535510196227559e-33,2.5922551172368024e-35
1.286461526931613e-09,0.11224540124746518,0.0,0.0,0.0,0.0,0.999999478838973,5.1766480498327772e-07,1.6942119144691788e-09,5.4653060881217558e-11,1.6954410370825184e-09,3.9928527023622793e-11,1.1987435288345078e-11,8.9065719630170069e-21,1.9955078915433952e-21,5.0434322412135834e-23,1.4090859965059631e-32,7.3655647298647422e-35
