Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470),C7H9(588),C5H9(108)
1.2841992543774827e-05,0.11374072874462829,0.0,0.0,0.0,0.0,0.97259528270414752,0.00065715228975668429,4.4105260718569759e-05,0.0023445212808324936,9.7671988434587753e-05,0.012666156802179572,0.011551489719231069,1.6644311490920795e-08,9.8662900449653458e-08,3.7664009970067792e-05,5.3284932226150287e-11,3.9111175901353841e-11,1.5731109087854995e-13,9.7482298759901293e-09,8.0820671831885698e-11,5.6899551440101081e-06,1.5305539303169402e-09,5.9545386250536992e-08,5.1292174642894291e-11,6.2775000000034706e-08,1.3887383573939085e-08,2.9710754754364576e-09,1.0130691180557265e-18,8.7727782663814138e-16,3.455004249976712e-16,4.2646112662783062e-19,5.3210951987463565e-21,7.6961918115677089e-14
1.3070144906597416e-05,0.11377078071316206,0.0,0.0,0.0,0.0,0.97205170412476571,0.00065688825862894064,4.433573828385264e-05,0.0023916350929550942,9.7643060949823056e-05,0.012923484396592111,0.011788885323294973,1.6976958508947032e-08,1.0112143003588166e-07,3.9227407763272213e-05,5.5493229438816875e-11,4.0926541523564448e-11,1.6461276757488763e-13,1.0396877112673578e-08,8.5452798586154786e-11,5.9188941947219627e-06,1.5885972091759745e-09,6.3202318271919613e-08,5.3718168340930398e-11,6.6123182083592968e-08,1.4839880568370684e-08,3.2174890512848637e-09,1.1426298384102408e-18,9.6933984026236559e-16,3.8175769009002075e-16,4.6496920204684214e-19,6.1458467363893666e-21,8.2050967678312927e-14
1.3298297269420006e-05,0.11380081779993634,0.0,0.0,0.0,0.0,0.97150870462229,0.00065662516930181398,4.4565710779791203e-05,0.0024387149750128958,9.7614026719949784e-05,0.013180479165490056,0.012026033151395166,1.7308969675081252e-08,1.0359490535013557e-07,4.0821402044200579e-05,5.7744540821385381e-11,4.278884985495619e-11,1.7210325499808595e-13,1.1074468232040498e-08,9.0258313032792925e-11,6.1520204514936155e-06,1.6476126384928044e-09,6.7001617757551851e-08,5.620956482088368e-11,6.9568681459238447e-08,1.5834705437571031e-08,3.4782918734634419e-09,1.2854430695469216e-18,1.0687529033591787e-15,4.2091007900895479e-16,5.0600562809456015e-19,7.0770260160807522e-21,8.7364440438239965e-14
1.3526449632242596e-05,0.11383083998499749,0.0,0.0,0.0,0.0,0.97096628386654993,0.0006563629328769794,4.4795183874708591e-05,0.0024857609860814206,9.7584900019640066e-05,0.013437141425208327,0.012262933317878536,1.7640344711572135e-08,1.0608327294524981e-07,4.2445918314754098e-05,6.0038744235118443e-11,4.4698439142248662e-11,1.7978391362801051e-13,1.178169129451552e-08,9.5240519334308374e-11,6.3893132525729087e-06,1.7075943604279138e-09,7.0945650867760313e-08,5.8766852526710318e-11,7.3111745721630144e-08,1.6872664165321049e-08,3.7539600951725845e-09,1.4425288970993385e-18,1.1759187611579559e-15,4.6311581562391846e-16,5.4967338595135511e-19,8.1256725958332307e-21,9.2907500876708381e-14
1.3754601995065185e-05,0.11386084724894359,0.0,0.0,0.0,0.0,0.97042444145927131,0.00065610147401099904,4.5024162188638314e-05,0.002532773182105724,9.755569227914213e-05,0.013693471521285149,0.012499585969208226,1.7971083590268392e-08,1.0858647828348927e-07,4.4100882294722797e-05,6.2375718004681162e-11,4.6655644372347148e-11,1.8765609083311132e-13,1.2519237217786073e-08,1.0040272769675993e-10,6.6307520255052281e-06,1.7685365197411857e-09,7.5036765258481706e-08,6.1390511983007531e-11,7.6752594631594824e-08,1.7954550695599927e-08,4.0449714535446757e-09,1.6149597821496018e-18,1.2912504196060525e-15,5.0853755877502792e-16,5.9607686265316046e-19,9.303695819215175e-21,9.8685328553264102e-14
1.3982754357887775e-05,0.11389083957681037,0.0,0.0,0.0,0.0,0.96988317694796045,0.00065584072892502763,4.5252649538185126e-05,0.0025797516162441398,9.7526412639381568e-05,0.013949469822124421,0.012735991277275148,1.8301186445862658e-08,1.111044664600528e-07,4.5786219906919929e-05,6.475534063273501e-11,4.8660798290264681e-11,1.9572112496454926e-13,1.3287799725758815e-08,1.057482542566565e-10,6.8763162892714951e-06,1.8304332870300382e-09,7.9277290225261513e-08,6.4081016691325934e-11,8.0491421349358231e-08,1.9081146875199917e-08,4.3518049831007925e-09,1.8038616292117027e-18,1.4151719931211965e-15,5.5734234238764892e-16,6.4532180044158447e-19,1.0623920458351264e-20,1.0470311700715735e-13
1.4210906720710365e-05,0.11392081695610684,0.0,0.0,0.0,0.0,0.96934248983760229,0.0006555806436186316,4.5480649103007162e-05,0.0026266963391988417,9.7497068463046923e-05,0.014205136713718218,0.012972149433763142,1.8630653577823955e-08,1.1363718202314459e-07,4.7501857265204189e-05,6.7177490902320891e-11,5.0714232114520932e-11,2.0398034823366928e-13,1.4088075297901115e-08,1.1128042117659879e-10,7.1259856561441393e-06,1.8932788448080031e-09,8.366953684603974e-08,6.6838832682252271e-11,8.4328393638481811e-08,2.0253222412161505e-08,4.6749407334732687e-09,2.010415063856537e-18,1.5481186544530765e-15,6.0970155561198187e-16,6.9751525488188864e-19,1.2100134834286079e-20,1.1096607369837241e-13
1.4439059083532954e-05,0.11395077937669439,0.0,0.0,0.0,0.0,0.96880237959937698,0.00065532117237867063,4.5708163538873629e-05,0.0026736073995232154,9.7467665725964041e-05,0.014460472595786178,0.01320806064598147,1.8959485469393754e-08,1.1618456886794925e-07,4.924772066569388e-05,6.9642048084576062e-11,5.2816273313954668e-11,2.1243507777016798e-13,1.4920763117179291e-08,1.1700255610235904e-10,7.379739833093558e-06,1.9570673843356689e-09,8.8215798118528797e-08,6.9664418463214434e-11,8.8263655004139762e-08,2.1471534854595581e-08,5.0148595006830961e-09,2.235856699727472e-18,1.690536584864827e-15,6.6579092322342001e-16,7.527655541677399e-19,1.3747140408680164e-20,1.1747942011225473e-13
1.4895363809178134e-05,0.1140106593087172,0.0,0.0,0.0,0.0,0.96772388748695259,0.00065480392408328594,4.6161745622557621e-05,0.0027673287173148767,9.7408702777879307e-05,0.014970152985081298,0.013679143130036176,1.9615245956733689e-08,1.2132313139350931e-07,5.2829831652278468e-05,7.4697901048842205e-11,5.7167478432596842e-11,2.2993628683352099e-13,1.668618546418341e-08,1.2903006714054462e-10,7.899421923497693e-06,2.087450317991565e-09,9.7779446969675465e-08,7.5520699810425304e-11,9.6429503890037916e-08,2.4049839893543022e-08,5.7469715140675705e-09,2.7486369870063787e-18,2.0056250095615629e-15,7.8988430116907859e-16,8.7287607447189738e-19,1.7618093633176225e-20,1.3127823196252261e-13
1.5300497864182622e-05,0.11406377400006683,0.0,0.0,0.0,0.0,0.96676826721905729,0.00065434641794580013,4.6562854982175748e-05,0.0028504275860797628,9.7356194373092133e-05,0.015421571545848571,0.014096572166635492,2.0195345749007638e-08,1.2593407749667533e-07,5.6110847053503378e-05,7.9327764374016797e-11,6.119685017323576e-11,2.4614303310933953e-13,1.836919516902874e-08,1.4037836190262038e-10,8.3743225543583329e-06,2.2063166243726907e-09,1.0680904741317216e-07,8.0951794388435631e-11,1.040100761679351e-07,2.6501196393241064e-08,6.4579663359457256e-09,3.2805129833419318e-18,2.3217198132427072e-15,9.1437412377585231e-16,9.9085082543104407e-19,2.179460002699338e-20,1.4442046444466092e-13
1.5705631919187112e-05,0.11411684142363791,0.0,0.0,0.0,0.0,0.96581445701137592,0.00065389041639045268,4.6962460587949781e-05,0.0029334209726364592,9.7303552042633137e-05,0.015871952769024478,0.014513226104041339,2.0773454098924769e-08,1.3059043332421532e-07,5.9486067917932061e-05,8.4089535900672896e-11,6.5384326326723974e-11,2.6298569941857605e-13,2.0165049212708798e-08,1.5237599433137385e-10,8.8618019547774777e-06,2.3280699093868578e-09,1.1635802822682172e-07,8.6603183149945833e-11,1.1190176720105574e-07,2.9109218877625054e-08,7.2291288927441821e-09,3.8931437773158607e-18,2.6748696622903149e-15,1.0534576879821133e-15,1.120147146622227e-18,2.6782333739015313e-20,1.5843140007838913e-13
1.6110765974191603e-05,0.11416986156608885,0.0,0.0,0.0,0.0,0.96486245331901377,0.00065343582825617822,4.7360568725840484e-05,0.0030163091035371528,9.7250785445398451e-05,0.016321299115992054,0.014929106369194879,2.1349576588312226e-08,1.3529188104763288e-07,6.2955087243516362e-05,8.8982547605010824e-11,6.9731664359949833e-11,2.8047135456081817e-13,2.2077749740346944e-08,1.6504176442033089e-10,9.3617498474230664e-06,2.4526784957874113e-09,1.2643861973953939e-07,9.2477201663521953e-11,1.2010466814411939e-07,3.1877731831796962e-08,8.0631468418856664e-09,4.595519859109176e-18,3.0679369084036217e-15,1.2082623093561913e-15,1.2614100868738374e-18,3.2705643966341955e-20,1.7334069223429146e-13
1.6515900029196093e-05,0.11422283440177174,0.0,0.0,0.0,0.0,0.96391225252541624,0.0006529825861804337,4.7757184692464512e-05,0.0030990921984404632,9.7197901462093867e-05,0.016769613072442527,0.015344214421191035,2.1923719356612774e-08,1.4003810275589297e-07,6.6517499565402121e-05,9.4006134000491318e-11,7.4240598024502127e-11,2.9860697194918352e-13,2.4111322248428967e-08,1.7839451222037243e-10,9.8740569234671748e-06,2.5801109342529391e-09,1.3706288136006887e-07,9.8576121082846326e-11,1.2861869930294278e-07,3.4810441688322138e-08,8.9626980861883588e-09,5.3972677013302609e-18,3.503884065300624e-15,1.3799547514758231e-15,1.4152942365407561e-18,3.9702997564846773e-20,1.8917810096381619e-13
1.6921034084200583e-05,0.11427575992281665,0.0,0.0,0.0,0.0,0.9629638509663494,0.00065253064000343666,4.8152313153928884e-05,0.0031817704719188707,9.7144905224400121e-05,0.017216897138730893,0.015758551740360418,2.2495888963952557e-08,1.4482878071091171e-07,7.0172900929576579e-05,9.9159632087165208e-11,7.8912837926401436e-11,3.1739943190240581e-13,2.6269814776154617e-08,1.9245311468623779e-10,1.0398614839308722e-05,2.7103360164915031e-09,1.4824270336749233e-07,1.0490214965195178e-10,1.3744362373073334e-07,3.7910938271068881e-08,9.9304473429799958e-09,6.3086664218485319e-18,3.9857712813213064e-15,1.5697402308171048e-15,1.5824630608464215e-18,4.7928019457834251e-20,2.0597348696144153e-13
1.7326168139205073e-05,0.11432863811593344,0.0,0.0,0.0,0.0,0.96201724494531826,0.00065207995200986782,4.8545958390606022e-05,0.0032643441348169143,9.7091800744439867e-05,0.017663153823875097,0.016172119821383651,2.3066092053369825e-08,1.4966359874819938e-07,7.3920888879352336e-05,1.0444238014215586e-10,8.3750074852121593e-11,3.3685553502120914e-13,2.8557297122899836e-08,2.0723648262123973e-10,1.0935316210065766e-05,2.8433228566100364e-09,1.5998980858641508e-07,1.1145743672128608e-10,1.4657905976371255e-07,4.1182696467553036e-08,1.0969042969585073e-08,7.3406627579440641e-18,4.5167533592200501e-15,1.7788612440148907e-15,1.7635882380257593e-18,5.7550572250183553e-20,2.2375680272956296e-13
1.7731302194209564e-05,0.11438146897392142,0.0,0.0,0.0,0.0,0.96107243074314508,0.00065163049342724226,4.8938124446919381e-05,0.0033468133953035157,9.7038591309277735e-05,0.018108385642051115,0.016584920169129266,2.3634335528588673e-08,1.5454224153462857e-07,7.776106244708135e-05,1.098537186859217e-10,8.8753977174225542e-11,3.5698199175408038e-13,3.0977860087408555e-08,2.2276355659197325e-10,1.1484054601755663e-05,2.9790408077602242e-09,1.7231575397347927e-07,1.1824407125377051e-10,1.5602449259799968e-07,4.4629078088780905e-08,1.2081114006722443e-08,8.5048869600381588e-18,5.1000774825981665e-15,2.0085966709995244e-15,1.9593490630414356e-18,6.8757860676628472e-20,2.425580883742838e-13
1.8136436249214054e-05,0.11443425248946822,0.0,0.0,0.0,0.0,0.96012940462349994,0.00065118224200449396,4.932881521095326e-05,0.0034291784596300902,9.6985279704909483e-05,0.018552595110734788,0.016996954296343441,2.4200626572841781e-08,1.5946439419345426e-07,8.1693022151316783e-05,1.1539299087661693e-10,9.3926188406518418e-11,3.7778541256490069e-13,3.353561470186167e-08,2.3905330263654994e-10,1.2044724521831138e-05,3.1174594450738751e-09,1.8523193211027534e-07,1.2526408227718004e-10,1.6577928496350831e-07,4.8253333890295445e-08,1.3269267448326569e-08,9.8136671785669408e-18,5.7390805301797191e-15,2.2602607173337448e-15,2.1704318592182549e-18,8.1755562911256025e-20,2.6240746666590254e-13
