Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356)
1e-11,0.11224537226652354,0.0,0.0,0.0,0.0,0.99999999594970002,4.0243657283628206e-09,1.2963637776325425e-11,3.4872124963367911e-15,1.296367918982158e-11,2.5207856044819255e-15,7.5647260823517544e-16,4.7022880442425516e-29,2.9267899221367794e-28,8.1766032966925689e-32,2.4934508436147439e-45,7.2103192101193433e-48,2.2621320249210339e-50,9.277145486052388e-52,2.0909925893953633e-52,7.1994732507473745e-33,2.9882466842500549e-34,1.0793086460350184e-48,9.4220601049148164e-47,1.3492694273299126e-43,2.5119437458879435e-50
1.1724925281703082e-11,0.11224537226652354,0.0,0.0,0.0,0.0,0.99999999525105265,4.7185381115490857e-09,1.5200081204007682e-11,4.7218723624943071e-15,1.520013734018124e-11,3.4133219934881765e-15,1.0243177254625216e-15,8.3180782259479345e-29,4.5011490336181225e-28,1.3960410197703389e-31,5.2994241268562814e-45,1.5905892084747384e-47,5.0546814225273754e-50,2.1739798784167899e-51,4.8999628041422902e-52,1.3925995782424481e-32,5.7798951794565614e-34,2.4455368353892354e-48,1.9907753943073332e-46,2.8146873867855811e-43,5.6040725848772979e-50
1.641489559317117e-11,0.11224537237313317,0.0,0.0,0.0,0.0,0.99999999335146872,6.6059509574251154e-09,2.1281333733879761e-11,9.0799911925252629e-15,2.128144205188855e-11,6.5639629599628428e-15,1.969808359308411e-15,3.222498807700507e-28,1.2031562899017564e-27,5.1739403440043411e-31,4.4368006980415395e-44,1.3291314106503548e-46,4.5829863570974789e-49,2.9022975316234971e-50,6.5413801765751091e-51,7.8493620312411613e-32,3.2567359629491907e-33,3.1666631072552932e-47,1.7932914753770796e-45,2.3497495243271084e-42,7.233461162642188e-49
2.579483621610734e-11,0.11224537258635277,0.0,0.0,0.0,0.0,0.99999998955229263,1.0380772276677312e-08,3.344599007117284e-11,2.2152417629610042e-14,3.3446256278198116e-11,1.6015477170681736e-14,4.8061648432423042e-15,2.06780766467938e-27,4.770597524715353e-27,3.363166953287048e-30,8.2290381206057877e-43,2.336704413542572e-45,8.6167860335074175e-48,9.5656758672853555e-49,2.1558564999502381e-49,8.7687814653839616e-31,3.635200644894953e-32,1.1042267693544019e-45,4.021080938630886e-44,4.7310409232374079e-41,2.7874663557331332e-47
3.517477683904352e-11,0.11224537279957288,0.0,0.0,0.0,0.0,0.99999998575310511,1.4155587760857663e-08,4.5613516767995483e-11,4.1038084366149485e-14,4.5614013238895682e-11,2.9671592087287679e-14,8.904314454137094e-15,6.813629726654047e-27,1.2081977510701241e-26,1.1139619617792944e-29,4.3606223384941202e-42,1.2855534165657733e-44,4.8127946519919568e-47,6.3282994998367944e-48,1.426206463520736e-48,3.7016197280239091e-30,1.5338397857651261e-31,7.1164179871890288e-45,2.2395416506967566e-43,2.4951669915080403e-40,1.8144853985295584e-46
5.393465808491587e-11,0.11224537322601447,0.0,0.0,0.0,0.0,0.99999997815469643,2.1705201228726903e-08,6.9957175072470044e-11,9.6243843692091967e-14,6.9958356222016431e-11,6.9598917103849033e-14,2.0886420484711529e-14,3.8787913078224076e-26,4.5919353715529976e-26,6.6580970722279901e-29,6.8673705749517426e-41,1.9826351809594772e-43,7.6342758709357103e-46,1.6458426321485613e-46,3.7088801645950196e-47,3.4041921320567195e-29,1.4084871278364292e-30,1.8900912894183984e-43,4.0987096983459918e-42,3.7788132247963415e-39,4.8916916957386264e-45
9.145442057666056e-11,0.11224537407890328,0.0,0.0,0.0,0.0,0.99999996295774418,3.680435816019742e-08,1.1867888774538303e-10,2.7639164422533803e-13,1.1868238050134735e-10,1.9994592442096849e-13,6.0003724326830672e-14,3.3756134187669481e-25,2.5060159060448625e-25,6.5230140582594184e-28,2.1449440300599256e-39,5.9186067497463844e-42,2.3263066382247048e-44,9.5281038259022249e-45,2.1466756583774591e-45,5.5043173321906936e-28,2.2696177358020585e-29,1.1632358212383167e-41,1.6467331643279427e-40,1.1640037103503277e-37,3.2216382104008554e-43
9.999999999999999e-11,0.11224537493179965,0.0,0.0,0.0,0.0,0.9999999594964295,4.0243360609643971e-08,1.2978225468778846e-10,3.3042286674781009e-13,1.2978645802540379e-10,2.390530176986019e-13,7.1739915518019664e-14,4.8966714410450757e-25,3.3591084645125825e-25,9.6246784826794344e-28,3.8540060218227161e-39,1.0995619662931158e-41,4.3301015384833529e-44,1.9297030703082221e-44,4.3474417271948973e-45,8.7988273693362083e-28,3.6254233117484624e-29,2.2929227046564274e-41,3.0649653689739817e-40,2.0486450932280918e-37,6.3514709187853402e-43
1.2897418306840526e-10,0.11224537493179965,0.0,0.0,0.0,0.0,0.99999994776061174,5.1903421749224362e-08,1.6744643089097851e-10,5.4951965030279108e-13,1.6745355185248894e-10,3.9765858550284697e-13,1.193382795985802e-13,1.2375166228451645e-24,7.3200193957622336e-25,2.5022402234826918e-27,1.3062415070137512e-38,3.8631992565376704e-41,1.5242490825640585e-43,7.3507101040643775e-44,1.6559914164372087e-44,2.581903484817996e-27,1.0627538494387787e-28,8.5231196929521044e-41,1.0780107220206832e-39,6.7826912797428693e-37,2.361097550338452e-42
2.0401370805189467e-10,0.11224537663761508,0.0,0.0,0.0,0.0,0.99999991736580585,8.2101268867550647e-08,2.651187799540479e-10,1.3747116858568807e-12,2.6513755891057218e-10,9.9550468408477565e-13,2.9875936290718947e-13,7.857371900307395e-24,3.3680154112793096e-24,1.8541000726283995e-26,2.6795323849757613e-37,8.0710216678346384e-40,3.209723877259705e-42,2.6410170107339086e-42,5.947496582083355e-43,2.7048007578630727e-26,1.1066765748355893e-27,3.0339238347255733e-39,2.7864832904202493e-38,1.1932720463426571e-35,8.4887999497606321e-41
2.7154928053703513e-10,0.11224537817287486,0.0,0.0,0.0,0.0,0.99999989000986345,1.0927901197884045e-07,3.5318019532423826e-10,2.4353696232215747e-12,3.5321483829445301e-10,1.7645811119340618e-12,5.2957481525190669e-13,2.2978387820746535e-23,8.5161142943159969e-24,5.8186145685013963e-26,1.2816805880489361e-36,4.105380077657306e-39,1.6348683614276506e-41,1.5078514861460687e-41,3.3953224120894963e-42,9.6805711042177367e-26,3.9496027566256603e-27,1.659613941197853e-38,1.4268448431616412e-37,5.0964609453421476e-35,4.5618852478772822e-40
3.390848530221756e-10,0.11224537970815918,0.0,0.0,0.0,0.0,0.99999986265333596,1.3645645255791719e-07,4.4138940800776137e-10,3.7972733140152833e-12,4.414455547069994e-10,2.7529110471011496e-12,8.2620104055540025e-13,5.3441360756475907e-23,1.7812582199860268e-23,1.4540711471405519e-25,4.3652771752439835e-36,1.4847657837409228e-38,5.92193920102786e-41,6.3430788815148344e-41,1.4281005736723033e-41,2.6850188393454657e-25,1.0920496817955626e-26,6.6563968495420332e-38,5.1898749836950954e-37,1.6660760996091769e-34,1.845793347270244e-39
4.0662042550731604e-10,0.11224538124346822,0.0,0.0,0.0,0.0,0.99999983529622338,1.6363359056760442e-07,5.2974617417013744e-10,5.4604199876318403e-12,5.2982994821957128e-10,3.9608442044903866e-12,1.1887471861152198e-12,1.0674182319437621e-22,3.2874160659958768e-23,3.1010356500375636e-25,1.2411797513073191e-35,4.4348916681082423e-38,1.7702683788183567e-40,2.1023000744792938e-40,4.7326093835261578e-41,6.1960575474360243e-25,2.5126423589858306e-26,2.1196301868653354e-37,1.5603327729259015e-36,4.4000848161797537e-34,5.8870667425376471e-39
4.741559979924565e-10,0.11224538277880185,0.0,0.0,0.0,0.0,0.99999980793852461,1.9081042596912402e-07,6.1825024045059996e-10,7.4248067880766708e-12,6.183682683000345e-10,5.3887445129586633e-12,1.6173271944816499e-12,1.9200723208049455e-22,5.5627724116266916e-23,5.9386206808485546e-25,3.0624613040480756e-35,1.1405289983680713e-37,4.5558676570966701e-40,5.9286997688271869e-40,1.3344904556616645e-40,1.2633678010649406e-24,5.1084583819220344e-26,5.7772583232130666e-37,4.0435394893487287e-36,1.0091578572584413e-33,1.6052623098096638e-38
6.092271429627375e-10,0.11224538584954327,0.0,0.0,0.0,0.0,0.99999975322136814,2.4516318880844327e-07,7.9569936837095416e-10,1.2257290592616237e-11,7.959075792468576e-10,8.9057493446116907e-12,2.6729986110595841e-12,4.9908351843468033e-22,1.3260910490809428e-22,1.7347861631184381e-24,1.3997805517835391e-34,5.5756313698349398e-37,2.2298035056219504e-39,3.4294845642653097e-39,7.7176023014692373e-40,4.0495181846813874e-24,1.6280313731122664e-25,3.1526133241719379e-36,2.014844454152548e-35,3.9610595789600247e-33,8.755490444111575e-38
7.442982879330184e-10,0.11224538892038369,0.0,0.0,0.0,0.0,0.99999969850186343,2.9951474076579984e-07,9.7373478033314275e-10,1.8294702070687109e-11,9.7406546799124628e-10,1.3306823934262549e-11,3.9941290713662258e-12,1.07173076894604e-21,2.6884266526710087e-22,4.1342166652699581e-24,4.5865668298291917e-34,1.9320120283741442e-36,7.7319261787856239e-39,1.3436714383062582e-38,3.0231868297644763e-39,1.0281833709370064e-23,4.111934353473787e-25,1.1869023761229988e-35,7.0056904132751942e-35,1.1757378247744498e-32,3.3082175652043911e-37
