Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806)
1e-12,0.11224537202870542,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243694471273666e-10,1.2962159093894642e-12,4.8298864061939543e-17,1.2962164791251046e-12,3.4910805336858015e-17,1.0476505485600585e-17,1.6924119004718857e-32,6.9587864883259369e-31,4.062062232471668e-35,4.5907630967046937e-50,9.5701100650637597e-53,1.9635209139387823e-55,3.8141032771801384e-57,8.5968673268168335e-58,6.4821224748394477e-37,2.6917645981754731e-38,5.9954252405097917e-54,2.1241113170837666e-51,3.3215803854633077e-48,1.7799131685512758e-55,3.6447868292446736e-65,1.7707004931733272e-105,2.0904120640234292e-88,7.2479634877087708e-91
1.2628123973903131e-12,0.11224537202870542,0.0,0.0,0.0,0.0,0.99999999948852381,5.0820235368537685e-10,1.6368820791250576e-12,7.0219702086039116e-17,1.6368829075371308e-12,5.0755432586765869e-17,1.5231375507082205e-17,2.7754111046390391e-32,1.0946615043022295e-30,6.6620025278126871e-35,7.7774963483328629e-50,1.6213299084699954e-52,3.3385880104242378e-55,6.4974577616124837e-57,1.4645062432213611e-57,1.0861880903801076e-36,4.5104932212955069e-38,1.0213436940613914e-53,3.5988739932639236e-51,5.6272055682290533e-48,3.0321544590360806e-55,6.226253682188797e-65,3.0329589547864058e-105,3.5796537933632936e-88,1.2413680341035505e-90
2.5256253300305196e-12,0.11224537205741086,0.0,0.0,0.0,0.0,0.99999999897704706,1.0164047819019547e-09,3.2738342393849964e-12,2.8087886796943717e-16,3.2738375581742476e-12,2.0302548332971509e-16,6.0926654719359426e-17,4.43841784356379e-31,8.7888338150967701e-30,1.0696362428546281e-33,4.9898392606413016e-48,1.0405882021654557e-50,2.8355957218392694e-53,8.3401951948802964e-55,1.879832445794995e-55,3.4741012100200538e-35,1.44239364255844e-36,1.311359226100501e-51,2.3420657935402385e-49,3.5998684504996777e-46,3.8950415116305231e-53,1.5989714318783616e-62,2.314255032380781e-101,7.2944098819416313e-85,5.0150254264783479e-87
3.7884382626707265e-12,0.11224537208611628,0.0,0.0,0.0,0.0,0.99999999846557019,1.5246071043983729e-09,4.9108384377627143e-12,5.9686760743763148e-16,4.9108454977387112e-12,4.3143460968778576e-16,1.2947081797113797e-16,1.6917519905988753e-30,2.519079400093439e-29,3.9445085465590488e-33,2.7868477178798773e-47,5.1675477760888337e-50,1.494947678215356e-52,4.9434866368595787e-54,1.1142296238772423e-54,1.6302051862309826e-34,6.7678844001574204e-36,8.5823581508843591e-51,1.3241142387669363e-48,2.0228423690837315e-45,2.5643082530135089e-52,1.2023937490664032e-61,1.3254787494469419e-100,5.784599641304722e-84,4.4687892631976063e-86
5.0512511953109334e-12,0.11224537211482179,0.0,0.0,0.0,0.0,0.999999997954093,2.032809321174376e-09,6.5478946725595948e-12,1.0181859018029704e-15,6.5479067279037176e-12,7.3598523201228766e-16,2.208646090493232e-16,4.5508942716254988e-30,5.32749625969099e-29,1.0024456421702972e-32,1.0482194145098021e-46,2.1901273961764682e-49,6.431241420888681e-52,2.2360373585422017e-53,5.039872230382906e-54,5.0809953971967703e-34,2.1092734545482891e-35,3.5876202576626193e-50,4.7633074375957428e-48,7.2058181641054141e-45,1.0329551731457331e-51,5.5584255284548222e-61,2.2706383631796024e-99,4.8404496116001523e-83,3.7661583249967674e-85
7.576877060591346e-12,0.11224537217223271,0.0,0.0,0.0,0.0,0.99999999693113828,3.0492135064362666e-09,9.8221292626274285e-12,2.1080244516705801e-15,9.8221542626509659e-12,1.5237934136619626e-15,4.5728117605723897e-16,1.8401230337931733e-29,1.4636508404993634e-28,3.521229093621597e-32,7.5551808443588455e-46,1.9851991057686579e-48,6.0743802592623666e-51,2.3284443058195095e-52,5.2481320987389074e-53,2.5027955926292426e-33,1.0388820228889827e-34,2.9770292960855028e-49,2.9279433932585071e-47,4.2718293068967217e-44,7.341144726211018e-51,5.2983848864239927e-60,2.4730816285324863e-97,1.9350543408741952e-81,1.6011755090348971e-83
1e-11,0.11224537222964369,0.0,0.0,0.0,0.0,0.99999999594969935,4.0243664013070549e-09,1.2963658374331586e-11,3.517704891584825e-15,1.2963700155091271e-11,2.5428314790270127e-15,7.6308865339226113e-16,4.8212406231254559e-29,2.9998068906918656e-28,8.5630575803081866e-32,2.6705338259452981e-45,7.5378612689259465e-48,2.3825122169769285e-50,1.0008513603102848e-51,2.2558331451113472e-52,7.5690791549426185e-33,3.1415973285415567e-34,1.1926006986736052e-48,1.019291134191195e-46,1.460589829830602e-43,2.808658626006095e-50,2.3527281527101113e-59,2.0423024563367598e-96,1.2597556408168807e-80,1.1603670315193418e-82
1.010250292587176e-11,0.11224537222964369,0.0,0.0,0.0,0.0,0.99999999590818245,4.0656173028400422e-09,1.3096555194787942e-11,3.5851971912237154e-15,1.309659777956526e-11,2.5916211372894135e-15,7.7773015301846945e-16,4.9830194032347076e-29,3.0786719070726282e-28,8.8330141725718704e-32,2.7794084581496692e-45,7.8560440454577442e-48,2.4846739289744845e-50,1.0455604221116928e-51,2.3566033893394627e-52,7.8514535769990212e-33,3.2587927518381085e-34,1.2443534984961524e-48,1.0606298029674021e-46,1.5192596559850876e-43,2.9281374157698657e-50,2.4593713729723131e-59,2.151911153241018e-96,1.3239717255551493e-80,1.2210355663289197e-82
1.2628128791152174e-11,0.11224537228705474,0.0,0.0,0.0,0.0,0.99999999488522617,5.0820206826826352e-09,1.6371186125221093e-11,5.4773707239626013e-15,1.6371251288793085e-11,3.959485975017997e-15,1.1882188270416894e-15,1.1190954564589637e-28,5.6349795282465919e-28,1.8816120881547556e-31,8.2812516707989697e-45,2.4867605218211172e-47,8.024054934368356e-50,3.660067992407802e-51,8.2494491839915191e-52,2.0179364588361885e-32,8.3748672690966353e-34,4.1164640021964199e-48,3.1337108206287448e-46,4.3929780759280079e-43,9.4383329571476255e-50,8.9793994049499114e-59,1.7918226919107087e-95,7.9023164215534357e-80,7.5306293348061661e-82
1.7679380521713e-11,0.11224537240187683,0.0,0.0,0.0,0.0,0.99999999283931107,7.1148261665720172e-09,2.2921075781001691e-11,1.0532787262071401e-14,2.2921201550659719e-11,7.6142831966188575e-15,2.2850047365726177e-15,4.3351522280538864e-28,1.5076076967665866e-27,6.9795513882665919e-31,6.9391406825084657e-44,2.0802134445126323e-46,7.2473985383000108e-49,4.8916902416250933e-50,1.1025141850136875e-50,1.1373266129548661e-31,4.7184453787076522e-33,5.3359205443372091e-47,2.8367115450854926e-45,3.6671623915369189e-42,1.2200475845794124e-48,1.8426704143083723e-57,3.7310559846655614e-93,8.2839269521321157e-78,1.485005108445692e-79
2.7781883982834654e-11,0.11224537263152144,0.0,0.0,0.0,0.0,0.9999999887474712,1.1180432062236823e-08,3.6023350474763263e-11,2.5696797340696472e-14,3.6023659743133215e-11,1.8578288395847976e-14,5.5752555405339324e-15,2.7812791010922958e-27,5.9886984930274028e-27,4.5450682510180953e-30,1.288963895811932e-42,3.663966671796216e-45,1.3592251118140646e-47,1.6153252494555011e-48,3.6404926393510273e-49,1.2703253837423948e-30,5.26552932161815e-32,1.8641374102733954e-45,6.4002710879660005e-44,7.3825226832683369e-41,4.711366547604149e-47,1.2299870242485052e-55,2.4507096842389949e-90,2.5710070821143239e-75,8.7789094687818881e-77
3.788438744395631e-11,0.11224537286116663,0.0,0.0,0.0,0.0,0.9999999846556179,1.5246031189193044e-08,4.912895460991133e-11,4.7604163056322197e-14,4.9129531679357327e-11,3.4419879680909616e-14,1.0329263429782901e-14,9.1635190424255573e-27,1.5188801671342319e-26,1.5072269572873751e-29,6.8352417828571146e-42,2.0176898742252726e-44,7.5913260256651841e-47,1.0695287122755343e-47,2.4103668094047719e-48,5.3619859713272999e-30,2.2214488643807096e-31,1.202281064282567e-44,3.5749118453796273e-43,3.8933231253069592e-40,3.0695952737429389e-46,9.4222228973673921e-55,3.0209002738411594e-89,2.9918283770095539e-74,1.1265281050045404e-75
5.808939436619962e-11,0.11224537332045867,0.0,0.0,0.0,0.0,0.99999997647187233,2.3377209142411555e-08,7.5350143731315487e-11,1.1164281563517839e-13,7.5351518092658653e-11,8.0737774975904359e-14,2.4229186486861089e-14,5.214815992659555e-26,5.7907226525395417e-26,9.035544160730725e-29,1.0792328051437188e-40,3.1222821512634303e-43,1.205930980896017e-45,2.7910563694623098e-46,6.2894876684200712e-47,4.929619790919898e-29,2.0390355714207273e-30,3.2031191675631258e-43,6.5999436858294438e-42,5.8948860472366738e-39,8.3071204566753755e-45,4.2826637614407567e-53,2.2857718836226316e-86,7.2494670430562905e-72,4.560487516608178e-73
9.849940821068623e-11,0.11224537423904922,0.0,0.0,0.0,0.0,0.99999996010422521,3.9639483843092226e-08,1.2783241597819227e-10,3.2061413375492731e-13,1.2783648869690151e-10,2.3195243655364659e-13,6.9609010322486232e-14,4.5350436433798486e-25,3.1780550682911783e-25,8.9018574544901479e-28,3.385092865078246e-39,9.372854429018604e-42,3.6900017975411332e-44,1.6249365871951872e-44,3.6608442973316032e-45,7.9652140692118379e-28,3.282503005788418e-29,1.9812351005470551e-41,2.6762356361383386e-40,1.8147912702695611e-37,5.5012658303019525e-43,5.2124687205095559e-51,3.3166497315105966e-83,4.4781095063258024e-69,4.8506268639637755e-70
